NO;kode_provinsi;kode_kabupaten_kota;komoditi;luas_panen;satuan;tahun
1;15;1501;JAHE;347.523,00;M²;2022
2;15;1501;KENCUR;18.143,00;M²;2022
3;15;1501;KUNYIT;110.182,00;M²;2022
4;15;1501;LAOS;62.620,00;M²;2022
5;15;1502;JAHE;379.165,00;M²;2022
6;15;1502;KENCUR;38.103,00;M²;2022
7;15;1502;KUNYIT;73.353,00;M²;2022
8;15;1502;LAOS;116.975,00;M²;2022
9;15;1503;JAHE;18.003,00;M²;2022
10;15;1503;KENCUR;7.395,00;M²;2022
11;15;1503;KUNYIT;15.500,00;M²;2022
12;15;1503;LAOS;10.610,00;M²;2022
13;15;1504;JAHE;4.300,00;M²;2022
14;15;1504;KENCUR;300,00;M²;2022
15;15;1504;KUNYIT;15.261,00;M²;2022
16;15;1504;LAOS;159,00;M²;2022
17;15;1505;JAHE;7.557,00;M²;2022
18;15;1505;KENCUR;4.043,00;M²;2022
19;15;1505;KUNYIT;41.431,00;M²;2022
20;15;1505;LAOS;15.983,00;M²;2022
21;15;1506;JAHE;12.632,00;M²;2022
22;15;1506;KENCUR;35,00;M²;2022
23;15;1506;KUNYIT;1.483,00;M²;2022
24;15;1506;LAOS;1.257,00;M²;2022
25;15;1507;JAHE;42.264,00;M²;2022
26;15;1507;KENCUR;5.296,00;M²;2022
27;15;1507;KUNYIT;10.962,00;M²;2022
28;15;1507;LAOS;47.004,00;M²;2022
29;15;1508;JAHE;14.107,00;M²;2022
30;15;1508;KENCUR;15.454,00;M²;2022
31;15;1508;KUNYIT;7.810,00;M²;2022
32;15;1508;LAOS;5.230,00;M²;2022
33;15;1509;JAHE;1.909,00;M²;2022
34;15;1509;KENCUR;1.452,00;M²;2022
35;15;1509;KUNYIT;1.997,00;M²;2022
36;15;1509;LAOS;2.704,00;M²;2022
37;15;1571;JAHE;2.027,00;M²;2022
38;15;1571;KENCUR;786,00;M²;2022
39;15;1571;KUNYIT;13.042,00;M²;2022
40;15;1571;LAOS;345,00;M²;2022
41;15;1572;JAHE;6.420,00;M²;2022
42;15;1572;KENCUR;2.595,00;M²;2022
43;15;1572;KUNYIT;3.791,00;M²;2022
44;15;1572;LAOS;1.363,00;M²;2022
45;15;1501;JAHE;31.753,00;M²;2023
46;15;1501;KENCUR;1.904,00;M²;2023
47;15;1501;KUNYIT;115.781,00;M²;2023
48;15;1501;LAOS;61.541,00;M²;2023
49;15;1502;JAHE;451.623,00;M²;2023
50;15;1502;KENCUR;37.605,00;M²;2023
51;15;1502;KUNYIT;76.485,00;M²;2023
52;15;1502;LAOS;1.116,00;M²;2023
53;15;1503;JAHE;14.912,00;M²;2023
54;15;1503;KENCUR;10.705,00;M²;2023
55;15;1503;KUNYIT;13.566,00;M²;2023
56;15;1503;LAOS;12.113,00;M²;2023
57;15;1504;JAHE;245,00;M²;2023
58;15;1504;KENCUR;0,00;M²;2023
59;15;1504;KUNYIT;52,00;M²;2023
60;15;1504;LAOS;3,00;M²;2023
61;15;1505;JAHE;15.845,00;M²;2023
62;15;1505;KENCUR;1.383,00;M²;2023
63;15;1505;KUNYIT;4.425,00;M²;2023
64;15;1505;LAOS;17.355,00;M²;2023
65;15;1506;JAHE;3.363,00;M²;2023
66;15;1506;KENCUR;8,00;M²;2023
67;15;1506;KUNYIT;420,00;M²;2023
68;15;1506;LAOS;813,00;M²;2023
69;15;1507;JAHE;104.845,00;M²;2023
70;15;1507;KENCUR;4.026,00;M²;2023
71;15;1507;KUNYIT;10.964,00;M²;2023
72;15;1507;LAOS;2.775,00;M²;2023
73;15;1508;JAHE;10.348,00;M²;2023
74;15;1508;KENCUR;13.887,00;M²;2023
75;15;1508;KUNYIT;9.993,00;M²;2023
76;15;1508;LAOS;612,00;M²;2023
77;15;1509;JAHE;1.915,00;M²;2023
78;15;1509;KENCUR;1.191,00;M²;2023
79;15;1509;KUNYIT;1.634,00;M²;2023
80;15;1509;LAOS;1.884,00;M²;2023
81;15;1571;JAHE;1.755,00;M²;2023
82;15;1571;KENCUR;554,00;M²;2023
83;15;1571;KUNYIT;2.986,00;M²;2023
84;15;1571;LAOS;3.518,00;M²;2023
85;15;1572;JAHE;1.595,00;M²;2023
86;15;1572;KENCUR;685,00;M²;2023
87;15;1572;KUNYIT;1.603,00;M²;2023
88;15;1572;LAOS;805,00;M²;2023
