NO;kode_provinsi;kode_kabupaten_kota;komoditi;jumlah_produktivitas;satuan;tahun
1;15;1501;BAWANG MERAH;75,95;KUINTAL/HEKTAR;2022
2;15;1501;CABE MERAH;189,05;KUINTAL/HEKTAR;2022
3;15;1501;CABE RAWIT;109,99;KUINTAL/HEKTAR;2022
4;15;1501;KENTANG;198,72;KUINTAL/HEKTAR;2022
5;15;1501;KUBIS;257,85;KUINTAL/HEKTAR;2022
6;15;1501;SAWI;224,58;KUINTAL/HEKTAR;2022
7;15;1501;SEMANGKA;0,00;KUINTAL/HEKTAR;2022
8;15;1501;TOMAT;480,90;KUINTAL/HEKTAR;2022
9;15;1501;WORTEL;184,22;KUINTAL/HEKTAR;2022
10;15;1502;BAWANG MERAH;84,15;KUINTAL/HEKTAR;2022
11;15;1502;CABE MERAH;68,47;KUINTAL/HEKTAR;2022
12;15;1502;CABE RAWIT;63,20;KUINTAL/HEKTAR;2022
13;15;1502;KENTANG;183,82;KUINTAL/HEKTAR;2022
14;15;1502;KUBIS;194,04;KUINTAL/HEKTAR;2022
15;15;1502;SAWI;37,02;KUINTAL/HEKTAR;2022
16;15;1502;SEMANGKA;181,27;KUINTAL/HEKTAR;2022
17;15;1502;TOMAT;76,43;KUINTAL/HEKTAR;2022
18;15;1502;WORTEL;0,00;KUINTAL/HEKTAR;2022
19;15;1503;BAWANG MERAH;10,00;KUINTAL/HEKTAR;2022
20;15;1503;CABE MERAH;18,28;KUINTAL/HEKTAR;2022
21;15;1503;CABE RAWIT;19,54;KUINTAL/HEKTAR;2022
22;15;1503;KENTANG;0,00;KUINTAL/HEKTAR;2022
23;15;1503;KUBIS;0,00;KUINTAL/HEKTAR;2022
24;15;1503;SAWI;17,71;KUINTAL/HEKTAR;2022
25;15;1503;SEMANGKA;10,74;KUINTAL/HEKTAR;2022
26;15;1503;TOMAT;7,92;KUINTAL/HEKTAR;2022
27;15;1503;WORTEL;0,00;KUINTAL/HEKTAR;2022
28;15;1504;BAWANG MERAH;4,00;KUINTAL/HEKTAR;2022
29;15;1504;CABE MERAH;39,03;KUINTAL/HEKTAR;2022
30;15;1504;CABE RAWIT;46,60;KUINTAL/HEKTAR;2022
31;15;1504;KENTANG;0,00;KUINTAL/HEKTAR;2022
32;15;1504;KUBIS;0,00;KUINTAL/HEKTAR;2022
33;15;1504;SAWI;0,00;KUINTAL/HEKTAR;2022
34;15;1504;SEMANGKA;25,32;KUINTAL/HEKTAR;2022
35;15;1504;TOMAT;43,33;KUINTAL/HEKTAR;2022
36;15;1504;WORTEL;0,00;KUINTAL/HEKTAR;2022
37;15;1505;BAWANG MERAH;28,00;KUINTAL/HEKTAR;2022
38;15;1505;CABE MERAH;26,30;KUINTAL/HEKTAR;2022
39;15;1505;CABE RAWIT;39,79;KUINTAL/HEKTAR;2022
40;15;1505;KENTANG;0,00;KUINTAL/HEKTAR;2022
41;15;1505;KUBIS;0,00;KUINTAL/HEKTAR;2022
42;15;1505;SAWI;40,68;KUINTAL/HEKTAR;2022
43;15;1505;SEMANGKA;53,93;KUINTAL/HEKTAR;2022
44;15;1505;TOMAT;60,02;KUINTAL/HEKTAR;2022
45;15;1505;WORTEL;0,00;KUINTAL/HEKTAR;2022
46;15;1506;BAWANG MERAH;0,00;KUINTAL/HEKTAR;2022
47;15;1506;CABE MERAH;45,03;KUINTAL/HEKTAR;2022
48;15;1506;CABE RAWIT;35,99;KUINTAL/HEKTAR;2022
49;15;1506;KENTANG;0,00;KUINTAL/HEKTAR;2022
50;15;1506;KUBIS;0,00;KUINTAL/HEKTAR;2022
51;15;1506;SAWI;0,00;KUINTAL/HEKTAR;2022
52;15;1506;SEMANGKA;102,73;KUINTAL/HEKTAR;2022
53;15;1506;TOMAT;12,60;KUINTAL/HEKTAR;2022
54;15;1506;WORTEL;0,00;KUINTAL/HEKTAR;2022
55;15;1507;BAWANG MERAH;0,00;KUINTAL/HEKTAR;2022
56;15;1507;CABE MERAH;38,57;KUINTAL/HEKTAR;2022
57;15;1507;CABE RAWIT;29,62;KUINTAL/HEKTAR;2022
58;15;1507;KENTANG;0,00;KUINTAL/HEKTAR;2022
59;15;1507;KUBIS;0,00;KUINTAL/HEKTAR;2022
60;15;1507;SAWI;0,00;KUINTAL/HEKTAR;2022
61;15;1507;SEMANGKA;48,25;KUINTAL/HEKTAR;2022
62;15;1507;TOMAT;4,94;KUINTAL/HEKTAR;2022
63;15;1507;WORTEL;0,00;KUINTAL/HEKTAR;2022
64;15;1508;BAWANG MERAH;18,00;KUINTAL/HEKTAR;2022
65;15;1508;CABE MERAH;40,08;KUINTAL/HEKTAR;2022
66;15;1508;CABE RAWIT;24,62;KUINTAL/HEKTAR;2022
67;15;1508;KENTANG;0,00;KUINTAL/HEKTAR;2022
68;15;1508;KUBIS;0,00;KUINTAL/HEKTAR;2022
69;15;1508;SAWI;10,00;KUINTAL/HEKTAR;2022
70;15;1508;SEMANGKA;231,16;KUINTAL/HEKTAR;2022
71;15;1508;TOMAT;90,50;KUINTAL/HEKTAR;2022
72;15;1508;WORTEL;0,00;KUINTAL/HEKTAR;2022
73;15;1509;BAWANG MERAH;55,29;KUINTAL/HEKTAR;2022
74;15;1509;CABE MERAH;34,57;KUINTAL/HEKTAR;2022
75;15;1509;CABE RAWIT;36,37;KUINTAL/HEKTAR;2022
76;15;1509;KENTANG;0,00;KUINTAL/HEKTAR;2022
77;15;1509;KUBIS;0,00;KUINTAL/HEKTAR;2022
78;15;1509;SAWI;32,79;KUINTAL/HEKTAR;2022
79;15;1509;SEMANGKA;64,92;KUINTAL/HEKTAR;2022
80;15;1509;TOMAT;0,00;KUINTAL/HEKTAR;2022
81;15;1509;WORTEL;0,00;KUINTAL/HEKTAR;2022
82;15;1571;BAWANG MERAH;0,00;KUINTAL/HEKTAR;2022
83;15;1571;CABE MERAH;28,88;KUINTAL/HEKTAR;2022
84;15;1571;CABE RAWIT;16,18;KUINTAL/HEKTAR;2022
85;15;1571;KENTANG;0,00;KUINTAL/HEKTAR;2022
86;15;1571;KUBIS;0,00;KUINTAL/HEKTAR;2022
87;15;1571;SAWI;58,45;KUINTAL/HEKTAR;2022
88;15;1571;SEMANGKA;0,00;KUINTAL/HEKTAR;2022
89;15;1571;TOMAT;20,13;KUINTAL/HEKTAR;2022
90;15;1571;WORTEL;0,00;KUINTAL/HEKTAR;2022
91;15;1572;BAWANG MERAH;76,52;KUINTAL/HEKTAR;2022
92;15;1572;CABE MERAH;88,63;KUINTAL/HEKTAR;2022
93;15;1572;CABE RAWIT;39,22;KUINTAL/HEKTAR;2022
94;15;1572;KENTANG;89,17;KUINTAL/HEKTAR;2022
95;15;1572;KUBIS;50,00;KUINTAL/HEKTAR;2022
96;15;1572;SAWI;54,98;KUINTAL/HEKTAR;2022
97;15;1572;SEMANGKA;0,00;KUINTAL/HEKTAR;2022
98;15;1572;TOMAT;30,42;KUINTAL/HEKTAR;2022
99;15;1572;WORTEL;0,00;KUINTAL/HEKTAR;2022
100;15;1501;BAWANG MERAH;86,88;KUINTAL/HEKTAR;2023
101;15;1501;CABE MERAH;253,39;KUINTAL/HEKTAR;2023
102;15;1501;CABE RAWIT;141,56;KUINTAL/HEKTAR;2023
103;15;1501;KENTANG;192,65;KUINTAL/HEKTAR;2023
104;15;1501;KUBIS;269,63;KUINTAL/HEKTAR;2023
105;15;1501;SAWI;166,58;KUINTAL/HEKTAR;2023
106;15;1501;SEMANGKA;0,00;KUINTAL/HEKTAR;2023
107;15;1501;TOMAT;341,83;KUINTAL/HEKTAR;2023
108;15;1501;WORTEL;192,67;KUINTAL/HEKTAR;2023
109;15;1502;BAWANG MERAH;84,90;KUINTAL/HEKTAR;2023
110;15;1502;CABE MERAH;69,13;KUINTAL/HEKTAR;2023
111;15;1502;CABE RAWIT;62,10;KUINTAL/HEKTAR;2023
112;15;1502;KENTANG;198,37;KUINTAL/HEKTAR;2023
113;15;1502;KUBIS;136,67;KUINTAL/HEKTAR;2023
114;15;1502;SAWI;36,28;KUINTAL/HEKTAR;2023
115;15;1502;SEMANGKA;196,02;KUINTAL/HEKTAR;2023
116;15;1502;TOMAT;45,19;KUINTAL/HEKTAR;2023
117;15;1502;WORTEL;0,00;KUINTAL/HEKTAR;2023
118;15;1503;BAWANG MERAH;43,00;KUINTAL/HEKTAR;2023
119;15;1503;CABE MERAH;58,56;KUINTAL/HEKTAR;2023
120;15;1503;CABE RAWIT;52,64;KUINTAL/HEKTAR;2023
121;15;1503;KENTANG;0,00;KUINTAL/HEKTAR;2023
122;15;1503;KUBIS;0,00;KUINTAL/HEKTAR;2023
123;15;1503;SAWI;19,74;KUINTAL/HEKTAR;2023
124;15;1503;SEMANGKA;24,67;KUINTAL/HEKTAR;2023
125;15;1503;TOMAT;40,13;KUINTAL/HEKTAR;2023
126;15;1503;WORTEL;0,00;KUINTAL/HEKTAR;2023
127;15;1504;BAWANG MERAH;0,00;KUINTAL/HEKTAR;2023
128;15;1504;CABE MERAH;72,79;KUINTAL/HEKTAR;2023
129;15;1504;CABE RAWIT;58,78;KUINTAL/HEKTAR;2023
130;15;1504;KENTANG;0,00;KUINTAL/HEKTAR;2023
131;15;1504;KUBIS;0,00;KUINTAL/HEKTAR;2023
132;15;1504;SAWI;0,00;KUINTAL/HEKTAR;2023
133;15;1504;SEMANGKA;35,22;KUINTAL/HEKTAR;2023
134;15;1504;TOMAT;43,75;KUINTAL/HEKTAR;2023
135;15;1504;WORTEL;0,00;KUINTAL/HEKTAR;2023
136;15;1505;BAWANG MERAH;134,50;KUINTAL/HEKTAR;2023
137;15;1505;CABE MERAH;28,00;KUINTAL/HEKTAR;2023
138;15;1505;CABE RAWIT;44,51;KUINTAL/HEKTAR;2023
139;15;1505;KENTANG;0,00;KUINTAL/HEKTAR;2023
140;15;1505;KUBIS;0,00;KUINTAL/HEKTAR;2023
141;15;1505;SAWI;99,52;KUINTAL/HEKTAR;2023
142;15;1505;SEMANGKA;120,07;KUINTAL/HEKTAR;2023
143;15;1505;TOMAT;39,23;KUINTAL/HEKTAR;2023
144;15;1505;WORTEL;0,00;KUINTAL/HEKTAR;2023
145;15;1506;BAWANG MERAH;40,00;KUINTAL/HEKTAR;2023
146;15;1506;CABE MERAH;31,34;KUINTAL/HEKTAR;2023
147;15;1506;CABE RAWIT;33,08;KUINTAL/HEKTAR;2023
148;15;1506;KENTANG;0,00;KUINTAL/HEKTAR;2023
149;15;1506;KUBIS;0,00;KUINTAL/HEKTAR;2023
150;15;1506;SAWI;0,00;KUINTAL/HEKTAR;2023
151;15;1506;SEMANGKA;80,11;KUINTAL/HEKTAR;2023
152;15;1506;TOMAT;6,86;KUINTAL/HEKTAR;2023
153;15;1506;WORTEL;0,00;KUINTAL/HEKTAR;2023
154;15;1507;BAWANG MERAH;25,00;KUINTAL/HEKTAR;2023
155;15;1507;CABE MERAH;31,72;KUINTAL/HEKTAR;2023
156;15;1507;CABE RAWIT;28,19;KUINTAL/HEKTAR;2023
157;15;1507;KENTANG;0,00;KUINTAL/HEKTAR;2023
158;15;1507;KUBIS;0,00;KUINTAL/HEKTAR;2023
159;15;1507;SAWI;0,00;KUINTAL/HEKTAR;2023
160;15;1507;SEMANGKA;19,03;KUINTAL/HEKTAR;2023
161;15;1507;TOMAT;3,75;KUINTAL/HEKTAR;2023
162;15;1507;WORTEL;0,00;KUINTAL/HEKTAR;2023
163;15;1508;BAWANG MERAH;306,60;KUINTAL/HEKTAR;2023
164;15;1508;CABE MERAH;27,27;KUINTAL/HEKTAR;2023
165;15;1508;CABE RAWIT;15,98;KUINTAL/HEKTAR;2023
166;15;1508;KENTANG;0,00;KUINTAL/HEKTAR;2023
167;15;1508;KUBIS;0,00;KUINTAL/HEKTAR;2023
168;15;1508;SAWI;10,67;KUINTAL/HEKTAR;2023
169;15;1508;SEMANGKA;177,67;KUINTAL/HEKTAR;2023
170;15;1508;TOMAT;52,29;KUINTAL/HEKTAR;2023
171;15;1508;WORTEL;0,00;KUINTAL/HEKTAR;2023
