NO;kode_provinsi;kode_kabupaten_kota;komoditi;jumlah_produksi;satuan;tahun
1;15;1501;ALPUKAT;99.529,50;KUINTAL;2022
2;15;1501;DUKU;14.971,00;KUINTAL;2022
3;15;1501;DURIAN;52.639,00;KUINTAL;2022
4;15;1501;JENGKOL;13.791,00;KUINTAL;2022
5;15;1501;JERUK;685.752,00;KUINTAL;2022
6;15;1501;MANGGIS;118.255,00;KUINTAL;2022
7;15;1501;NANAS;45,00;KUINTAL;2022
8;15;1501;PISANG;74.479,33;KUINTAL;2022
9;15;1502;ALPUKAT;15.653,00;KUINTAL;2022
10;15;1502;DUKU;54.016,20;KUINTAL;2022
11;15;1502;DURIAN;70.180,76;KUINTAL;2022
12;15;1502;JENGKOL;19.598,90;KUINTAL;2022
13;15;1502;JERUK;20.847,50;KUINTAL;2022
14;15;1502;MANGGIS;27.791,40;KUINTAL;2022
15;15;1502;NANAS;195.943,76;KUINTAL;2022
16;15;1502;PISANG;30.805,23;KUINTAL;2022
17;15;1503;ALPUKAT;386,30;KUINTAL;2022
18;15;1503;DUKU;3.516,00;KUINTAL;2022
19;15;1503;DURIAN;39.476,00;KUINTAL;2022
20;15;1503;JENGKOL;4.135,70;KUINTAL;2022
21;15;1503;JERUK;10.176,20;KUINTAL;2022
22;15;1503;MANGGIS;1.937,00;KUINTAL;2022
23;15;1503;NANAS;327,00;KUINTAL;2022
24;15;1503;PISANG;77.015,90;KUINTAL;2022
25;15;1504;ALPUKAT;81,95;KUINTAL;2022
26;15;1504;DUKU;1.983,95;KUINTAL;2022
27;15;1504;DURIAN;3.991,85;KUINTAL;2022
28;15;1504;JENGKOL;3.434,02;KUINTAL;2022
29;15;1504;JERUK;4.454,47;KUINTAL;2022
30;15;1504;MANGGIS;2.406,17;KUINTAL;2022
31;15;1504;NANAS;1.876,34;KUINTAL;2022
32;15;1504;PISANG;32.039,72;KUINTAL;2022
33;15;1505;ALPUKAT;5.372,86;KUINTAL;2022
34;15;1505;DUKU;14.379,04;KUINTAL;2022
35;15;1505;DURIAN;20.737,04;KUINTAL;2022
36;15;1505;JENGKOL;11.679,00;KUINTAL;2022
37;15;1505;JERUK;15.256,70;KUINTAL;2022
38;15;1505;MANGGIS;1.361,05;KUINTAL;2022
39;15;1505;NANAS;957.850,26;KUINTAL;2022
40;15;1505;PISANG;29.459,04;KUINTAL;2022
41;15;1506;ALPUKAT;232,00;KUINTAL;2022
42;15;1506;DUKU;282,00;KUINTAL;2022
43;15;1506;DURIAN;942,00;KUINTAL;2022
44;15;1506;JENGKOL;8.873,79;KUINTAL;2022
45;15;1506;JERUK;7.027,00;KUINTAL;2022
46;15;1506;MANGGIS;240,70;KUINTAL;2022
47;15;1506;NANAS;40.831,07;KUINTAL;2022
48;15;1506;PISANG;54.862,88;KUINTAL;2022
49;15;1507;ALPUKAT;381,80;KUINTAL;2022
50;15;1507;DUKU;2.477,00;KUINTAL;2022
51;15;1507;DURIAN;4.287,00;KUINTAL;2022
52;15;1507;JENGKOL;2.100,20;KUINTAL;2022
53;15;1507;JERUK;115.133,80;KUINTAL;2022
54;15;1507;MANGGIS;883,40;KUINTAL;2022
55;15;1507;NANAS;1.361,00;KUINTAL;2022
56;15;1507;PISANG;126.145,60;KUINTAL;2022
57;15;1508;ALPUKAT;3.407,00;KUINTAL;2022
58;15;1508;DUKU;28.552,58;KUINTAL;2022
59;15;1508;DURIAN;18.739,32;KUINTAL;2022
60;15;1508;JENGKOL;5.596,50;KUINTAL;2022
61;15;1508;JERUK;8.758,30;KUINTAL;2022
62;15;1508;MANGGIS;1.213,00;KUINTAL;2022
63;15;1508;NANAS;238,38;KUINTAL;2022
64;15;1508;PISANG;15.883,60;KUINTAL;2022
65;15;1509;ALPUKAT;1.209,42;KUINTAL;2022
66;15;1509;DUKU;2.991,80;KUINTAL;2022
67;15;1509;DURIAN;7.146,00;KUINTAL;2022
68;15;1509;JENGKOL;5.733,62;KUINTAL;2022
69;15;1509;JERUK;10.769,99;KUINTAL;2022
70;15;1509;MANGGIS;410,00;KUINTAL;2022
71;15;1509;NANAS;131,75;KUINTAL;2022
72;15;1509;PISANG;8.424,78;KUINTAL;2022
73;15;1571;ALPUKAT;447,31;KUINTAL;2022
74;15;1571;DUKU;56,00;KUINTAL;2022
75;15;1571;DURIAN;252,90;KUINTAL;2022
76;15;1571;JENGKOL;563,25;KUINTAL;2022
77;15;1571;JERUK;16,00;KUINTAL;2022
78;15;1571;MANGGIS;21,00;KUINTAL;2022
79;15;1571;NANAS;8,00;KUINTAL;2022
80;15;1571;PISANG;490,47;KUINTAL;2022
81;15;1572;ALPUKAT;2.153,78;KUINTAL;2022
82;15;1572;DUKU;455,00;KUINTAL;2022
83;15;1572;DURIAN;3.434,00;KUINTAL;2022
84;15;1572;JENGKOL;21,20;KUINTAL;2022
85;15;1572;JERUK;10.671,50;KUINTAL;2022
86;15;1572;MANGGIS;1.965,00;KUINTAL;2022
87;15;1572;NANAS;12,00;KUINTAL;2022
88;15;1572;PISANG;5.948,40;KUINTAL;2022
89;15;1501;ALPUKAT;153.343,00;KUINTAL;2023
90;15;1501;DUKU;920,00;KUINTAL;2023
91;15;1501;DURIAN;53.537,00;KUINTAL;2023
92;15;1501;JENGKOL;18.669,00;KUINTAL;2023
93;15;1501;JERUK;453.141,00;KUINTAL;2023
94;15;1501;MANGGIS;87.199,00;KUINTAL;2023
95;15;1501;NANAS;39,00;KUINTAL;2023
96;15;1501;PISANG;33.351,48;KUINTAL;2023
97;15;1502;ALPUKAT;12.339,62;KUINTAL;2023
98;15;1502;DUKU;38.534,74;KUINTAL;2023
99;15;1502;DURIAN;24.461,00;KUINTAL;2023
100;15;1502;JENGKOL;18.265,00;KUINTAL;2023
101;15;1502;JERUK;12.987,00;KUINTAL;2023
102;15;1502;MANGGIS;15.218,00;KUINTAL;2023
103;15;1502;NANAS;146.107,60;KUINTAL;2023
104;15;1502;PISANG;18.553,00;KUINTAL;2023
105;15;1503;ALPUKAT;208,90;KUINTAL;2023
106;15;1503;DUKU;357,25;KUINTAL;2023
107;15;1503;DURIAN;60.879,80;KUINTAL;2023
108;15;1503;JENGKOL;4.495,20;KUINTAL;2023
109;15;1503;JERUK;18.861,75;KUINTAL;2023
110;15;1503;MANGGIS;148,00;KUINTAL;2023
111;15;1503;NANAS;598,98;KUINTAL;2023
112;15;1503;PISANG;71.548,60;KUINTAL;2023
113;15;1504;ALPUKAT;90,05;KUINTAL;2023
114;15;1504;DUKU;1.080,94;KUINTAL;2023
115;15;1504;DURIAN;15.954,39;KUINTAL;2023
116;15;1504;JENGKOL;4.177,03;KUINTAL;2023
117;15;1504;JERUK;13.557,92;KUINTAL;2023
118;15;1504;MANGGIS;1.823,77;KUINTAL;2023
119;15;1504;NANAS;1.679,17;KUINTAL;2023
120;15;1504;PISANG;32.120,71;KUINTAL;2023
121;15;1505;ALPUKAT;11.090,60;KUINTAL;2023
122;15;1505;DUKU;9.591,36;KUINTAL;2023
123;15;1505;DURIAN;39.503,48;KUINTAL;2023
124;15;1505;JENGKOL;15.194,50;KUINTAL;2023
125;15;1505;JERUK;12.523,02;KUINTAL;2023
126;15;1505;MANGGIS;657,80;KUINTAL;2023
127;15;1505;NANAS;1.701.979,00;KUINTAL;2023
128;15;1505;PISANG;86.925,06;KUINTAL;2023
129;15;1506;ALPUKAT;296,00;KUINTAL;2023
130;15;1506;DUKU;203,00;KUINTAL;2023
131;15;1506;DURIAN;3.410,48;KUINTAL;2023
132;15;1506;JENGKOL;6.152,50;KUINTAL;2023
133;15;1506;JERUK;6.957,00;KUINTAL;2023
134;15;1506;MANGGIS;2.506,00;KUINTAL;2023
135;15;1506;NANAS;12.455,00;KUINTAL;2023
136;15;1506;PISANG;159.111,32;KUINTAL;2023
137;15;1507;ALPUKAT;1.044,55;KUINTAL;2023
138;15;1507;DUKU;17.532,35;KUINTAL;2023
139;15;1507;DURIAN;38.107,94;KUINTAL;2023
140;15;1507;JENGKOL;3.251,69;KUINTAL;2023
141;15;1507;JERUK;11.214,90;KUINTAL;2023
142;15;1507;MANGGIS;1.210,31;KUINTAL;2023
143;15;1507;NANAS;2.552,37;KUINTAL;2023
144;15;1507;PISANG;35.805,30;KUINTAL;2023
145;15;1508;ALPUKAT;640,30;KUINTAL;2023
146;15;1508;DUKU;3.046,70;KUINTAL;2023
147;15;1508;DURIAN;16.979,50;KUINTAL;2023
