no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;semester;jumlah;satuan;tahun
1;15;JAMBI;1504;150407;AKTA LAHIR;MEMILIKI;1;12165;JIWA;2022
2;15;JAMBI;1504;150404;AKTA LAHIR;MEMILIKI;1;9473;JIWA;2022
3;15;JAMBI;1504;150408;AKTA LAHIR;MEMILIKI;1;4390;JIWA;2022
4;15;JAMBI;1504;150406;AKTA LAHIR;MEMILIKI;1;11870;JIWA;2022
5;15;JAMBI;1504;150401;AKTA LAHIR;MEMILIKI;1;10044;JIWA;2022
6;15;JAMBI;1504;150403;AKTA LAHIR;MEMILIKI;1;20959;JIWA;2022
7;15;JAMBI;1504;150402;AKTA LAHIR;MEMILIKI;1;10552;JIWA;2022
8;15;JAMBI;1504;150405;AKTA LAHIR;MEMILIKI;1;10998;JIWA;2022
9;15;JAMBI;1508;150815;AKTA LAHIR;MEMILIKI;1;2780;JIWA;2022
10;15;JAMBI;1508;150811;AKTA LAHIR;MEMILIKI;1;8360;JIWA;2022
11;15;JAMBI;1508;150814;AKTA LAHIR;MEMILIKI;1;2979;JIWA;2022
12;15;JAMBI;1508;150810;AKTA LAHIR;MEMILIKI;1;4471;JIWA;2022
13;15;JAMBI;1508;150812;AKTA LAHIR;MEMILIKI;1;8369;JIWA;2022
14;15;JAMBI;1508;150804;AKTA LAHIR;MEMILIKI;1;5985;JIWA;2022
15;15;JAMBI;1508;150816;AKTA LAHIR;MEMILIKI;1;2547;JIWA;2022
16;15;JAMBI;1508;150807;AKTA LAHIR;MEMILIKI;1;5147;JIWA;2022
17;15;JAMBI;1508;150808;AKTA LAHIR;MEMILIKI;1;4959;JIWA;2022
18;15;JAMBI;1508;150803;AKTA LAHIR;MEMILIKI;1;6226;JIWA;2022
19;15;JAMBI;1508;150806;AKTA LAHIR;MEMILIKI;1;10900;JIWA;2022
20;15;JAMBI;1508;150809;AKTA LAHIR;MEMILIKI;1;15477;JIWA;2022
21;15;JAMBI;1508;150802;AKTA LAHIR;MEMILIKI;1;3195;JIWA;2022
22;15;JAMBI;1508;150813;AKTA LAHIR;MEMILIKI;1;10775;JIWA;2022
23;15;JAMBI;1508;150805;AKTA LAHIR;MEMILIKI;1;6868;JIWA;2022
24;15;JAMBI;1508;150817;AKTA LAHIR;MEMILIKI;1;7053;JIWA;2022
25;15;JAMBI;1508;150801;AKTA LAHIR;MEMILIKI;1;4198;JIWA;2022
26;15;JAMBI;1501;150105;AKTA LAHIR;MEMILIKI;1;2491;JIWA;2022
27;15;JAMBI;1501;150121;AKTA LAHIR;MEMILIKI;1;2283;JIWA;2022
28;15;JAMBI;1501;150111;AKTA LAHIR;MEMILIKI;1;4331;JIWA;2022
29;15;JAMBI;1501;150107;AKTA LAHIR;MEMILIKI;1;3091;JIWA;2022
30;15;JAMBI;1501;150120;AKTA LAHIR;MEMILIKI;1;3258;JIWA;2022
31;15;JAMBI;1501;150102;AKTA LAHIR;MEMILIKI;1;3320;JIWA;2022
32;15;JAMBI;1501;150123;AKTA LAHIR;MEMILIKI;1;2626;JIWA;2022
33;15;JAMBI;1501;150117;AKTA LAHIR;MEMILIKI;1;3857;JIWA;2022
34;15;JAMBI;1501;150106;AKTA LAHIR;MEMILIKI;1;3439;JIWA;2022
35;15;JAMBI;1501;150101;AKTA LAHIR;MEMILIKI;1;2108;JIWA;2022
36;15;JAMBI;1501;150115;AKTA LAHIR;MEMILIKI;1;4641;JIWA;2022
37;15;JAMBI;1501;150109;AKTA LAHIR;MEMILIKI;1;5842;JIWA;2022
38;15;JAMBI;1501;150119;AKTA LAHIR;MEMILIKI;1;5718;JIWA;2022
39;15;JAMBI;1501;150108;AKTA LAHIR;MEMILIKI;1;2914;JIWA;2022
40;15;JAMBI;1501;150104;AKTA LAHIR;MEMILIKI;1;2360;JIWA;2022
41;15;JAMBI;1501;150116;AKTA LAHIR;MEMILIKI;1;5830;JIWA;2022
42;15;JAMBI;1501;150118;AKTA LAHIR;MEMILIKI;1;2872;JIWA;2022
43;15;JAMBI;1501;150122;AKTA LAHIR;MEMILIKI;1;1953;JIWA;2022
44;15;JAMBI;1571;157109;AKTA LAHIR;MEMILIKI;1;32773;JIWA;2022
45;15;JAMBI;1571;157110;AKTA LAHIR;MEMILIKI;1;12075;JIWA;2022
46;15;JAMBI;1571;157106;AKTA LAHIR;MEMILIKI;1;3675;JIWA;2022
47;15;JAMBI;1571;157102;AKTA LAHIR;MEMILIKI;1;16056;JIWA;2022
48;15;JAMBI;1571;157103;AKTA LAHIR;MEMILIKI;1;18078;JIWA;2022
