no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;semester;jumlah;satuan;tahun
1;15;JAMBI;1504;150407;JUMLAH PENDUDUK;LAKI-LAKI;1;22170;JIWA;2022
2;15;JAMBI;1504;150404;JUMLAH PENDUDUK;LAKI-LAKI;1;16577;JIWA;2022
3;15;JAMBI;1504;150408;JUMLAH PENDUDUK;LAKI-LAKI;1;8029;JIWA;2022
4;15;JAMBI;1504;150406;JUMLAH PENDUDUK;LAKI-LAKI;1;20452;JIWA;2022
5;15;JAMBI;1504;150401;JUMLAH PENDUDUK;LAKI-LAKI;1;17197;JIWA;2022
6;15;JAMBI;1504;150403;JUMLAH PENDUDUK;LAKI-LAKI;1;36028;JIWA;2022
7;15;JAMBI;1504;150402;JUMLAH PENDUDUK;LAKI-LAKI;1;17903;JIWA;2022
8;15;JAMBI;1504;150405;JUMLAH PENDUDUK;LAKI-LAKI;1;19344;JIWA;2022
9;15;JAMBI;1508;150815;JUMLAH PENDUDUK;LAKI-LAKI;1;4604;JIWA;2022
10;15;JAMBI;1508;150811;JUMLAH PENDUDUK;LAKI-LAKI;1;13320;JIWA;2022
11;15;JAMBI;1508;150814;JUMLAH PENDUDUK;LAKI-LAKI;1;4847;JIWA;2022
12;15;JAMBI;1508;150810;JUMLAH PENDUDUK;LAKI-LAKI;1;7226;JIWA;2022
13;15;JAMBI;1508;150812;JUMLAH PENDUDUK;LAKI-LAKI;1;13713;JIWA;2022
14;15;JAMBI;1508;150804;JUMLAH PENDUDUK;LAKI-LAKI;1;9638;JIWA;2022
15;15;JAMBI;1508;150816;JUMLAH PENDUDUK;LAKI-LAKI;1;5210;JIWA;2022
16;15;JAMBI;1508;150807;JUMLAH PENDUDUK;LAKI-LAKI;1;8460;JIWA;2022
17;15;JAMBI;1508;150808;JUMLAH PENDUDUK;LAKI-LAKI;1;7773;JIWA;2022
18;15;JAMBI;1508;150803;JUMLAH PENDUDUK;LAKI-LAKI;1;10746;JIWA;2022
19;15;JAMBI;1508;150806;JUMLAH PENDUDUK;LAKI-LAKI;1;18032;JIWA;2022
20;15;JAMBI;1508;150809;JUMLAH PENDUDUK;LAKI-LAKI;1;26074;JIWA;2022
21;15;JAMBI;1508;150802;JUMLAH PENDUDUK;LAKI-LAKI;1;5312;JIWA;2022
22;15;JAMBI;1508;150813;JUMLAH PENDUDUK;LAKI-LAKI;1;16663;JIWA;2022
23;15;JAMBI;1508;150805;JUMLAH PENDUDUK;LAKI-LAKI;1;12161;JIWA;2022
24;15;JAMBI;1508;150817;JUMLAH PENDUDUK;LAKI-LAKI;1;12393;JIWA;2022
25;15;JAMBI;1508;150801;JUMLAH PENDUDUK;LAKI-LAKI;1;7544;JIWA;2022
26;15;JAMBI;1501;150105;JUMLAH PENDUDUK;LAKI-LAKI;1;5719;JIWA;2022
27;15;JAMBI;1501;150121;JUMLAH PENDUDUK;LAKI-LAKI;1;4929;JIWA;2022
28;15;JAMBI;1501;150111;JUMLAH PENDUDUK;LAKI-LAKI;1;10090;JIWA;2022
29;15;JAMBI;1501;150107;JUMLAH PENDUDUK;LAKI-LAKI;1;6367;JIWA;2022
30;15;JAMBI;1501;150120;JUMLAH PENDUDUK;LAKI-LAKI;1;6716;JIWA;2022
31;15;JAMBI;1501;150102;JUMLAH PENDUDUK;LAKI-LAKI;1;6769;JIWA;2022
32;15;JAMBI;1501;150123;JUMLAH PENDUDUK;LAKI-LAKI;1;6045;JIWA;2022
33;15;JAMBI;1501;150117;JUMLAH PENDUDUK;LAKI-LAKI;1;8299;JIWA;2022
34;15;JAMBI;1501;150106;JUMLAH PENDUDUK;LAKI-LAKI;1;6620;JIWA;2022
35;15;JAMBI;1501;150101;JUMLAH PENDUDUK;LAKI-LAKI;1;4325;JIWA;2022
36;15;JAMBI;1501;150115;JUMLAH PENDUDUK;LAKI-LAKI;1;7896;JIWA;2022
37;15;JAMBI;1501;150109;JUMLAH PENDUDUK;LAKI-LAKI;1;10467;JIWA;2022
38;15;JAMBI;1501;150119;JUMLAH PENDUDUK;LAKI-LAKI;1;10766;JIWA;2022
39;15;JAMBI;1501;150108;JUMLAH PENDUDUK;LAKI-LAKI;1;6675;JIWA;2022
40;15;JAMBI;1501;150104;JUMLAH PENDUDUK;LAKI-LAKI;1;5024;JIWA;2022
41;15;JAMBI;1501;150116;JUMLAH PENDUDUK;LAKI-LAKI;1;11505;JIWA;2022
42;15;JAMBI;1501;150118;JUMLAH PENDUDUK;LAKI-LAKI;1;5956;JIWA;2022
43;15;JAMBI;1501;150122;JUMLAH PENDUDUK;LAKI-LAKI;1;4650;JIWA;2022
44;15;JAMBI;1571;157109;JUMLAH PENDUDUK;LAKI-LAKI;1;55665;JIWA;2022
45;15;JAMBI;1571;157110;JUMLAH PENDUDUK;LAKI-LAKI;1;21749;JIWA;2022
46;15;JAMBI;1571;157106;JUMLAH PENDUDUK;LAKI-LAKI;1;6662;JIWA;2022
47;15;JAMBI;1571;157102;JUMLAH PENDUDUK;LAKI-LAKI;1;29175;JIWA;2022
48;15;JAMBI;1571;157103;JUMLAH PENDUDUK;LAKI-LAKI;1;33703;JIWA;2022
49;15;JAMBI;1571;157108;JUMLAH PENDUDUK;LAKI-LAKI;1;30283;JIWA;2022
50;15;JAMBI;1571;157107;JUMLAH PENDUDUK;LAKI-LAKI;1;42441;JIWA;2022
51;15;JAMBI;1571;157111;JUMLAH PENDUDUK;LAKI-LAKI;1;55099;JIWA;2022
52;15;JAMBI;1571;157104;JUMLAH PENDUDUK;LAKI-LAKI;1;5681;JIWA;2022
53;15;JAMBI;1571;157105;JUMLAH PENDUDUK;LAKI-LAKI;1;6839;JIWA;2022
54;15;JAMBI;1571;157101;JUMLAH PENDUDUK;LAKI-LAKI;1;25104;JIWA;2022
55;15;JAMBI;1572;157203;JUMLAH PENDUDUK;LAKI-LAKI;1;7951;JIWA;2022
56;15;JAMBI;1572;157207;JUMLAH PENDUDUK;LAKI-LAKI;1;4948;JIWA;2022
57;15;JAMBI;1572;157205;JUMLAH PENDUDUK;LAKI-LAKI;1;5521;JIWA;2022
58;15;JAMBI;1572;157202;JUMLAH PENDUDUK;LAKI-LAKI;1;6259;JIWA;2022
59;15;JAMBI;1572;157206;JUMLAH PENDUDUK;LAKI-LAKI;1;9390;JIWA;2022
60;15;JAMBI;1572;157208;JUMLAH PENDUDUK;LAKI-LAKI;1;5509;JIWA;2022
61;15;JAMBI;1572;157201;JUMLAH PENDUDUK;LAKI-LAKI;1;5274;JIWA;2022
62;15;JAMBI;1572;157204;JUMLAH PENDUDUK;LAKI-LAKI;1;5485;JIWA;2022
63;15;JAMBI;1502;150202;JUMLAH PENDUDUK;LAKI-LAKI;1;25302;JIWA;2022
64;15;JAMBI;1502;150210;JUMLAH PENDUDUK;LAKI-LAKI;1;5819;JIWA;2022
65;15;JAMBI;1502;150212;JUMLAH PENDUDUK;LAKI-LAKI;1;6050;JIWA;2022
66;15;JAMBI;1502;150201;JUMLAH PENDUDUK;LAKI-LAKI;1;5350;JIWA;2022
67;15;JAMBI;1502;150218;JUMLAH PENDUDUK;LAKI-LAKI;1;5286;JIWA;2022
68;15;JAMBI;1502;150209;JUMLAH PENDUDUK;LAKI-LAKI;1;8202;JIWA;2022
69;15;JAMBI;1502;150221;JUMLAH PENDUDUK;LAKI-LAKI;1;7048;JIWA;2022
70;15;JAMBI;1502;150203;JUMLAH PENDUDUK;LAKI-LAKI;1;5462;JIWA;2022
71;15;JAMBI;1502;150211;JUMLAH PENDUDUK;LAKI-LAKI;1;9628;JIWA;2022
72;15;JAMBI;1502;150206;JUMLAH PENDUDUK;LAKI-LAKI;1;17965;JIWA;2022
73;15;JAMBI;1502;150213;JUMLAH PENDUDUK;LAKI-LAKI;1;9087;JIWA;2022
74;15;JAMBI;1502;150220;JUMLAH PENDUDUK;LAKI-LAKI;1;5504;JIWA;2022
75;15;JAMBI;1502;150217;JUMLAH PENDUDUK;LAKI-LAKI;1;3381;JIWA;2022
76;15;JAMBI;1502;150219;JUMLAH PENDUDUK;LAKI-LAKI;1;7419;JIWA;2022
77;15;JAMBI;1502;150216;JUMLAH PENDUDUK;LAKI-LAKI;1;6983;JIWA;2022
78;15;JAMBI;1502;150204;JUMLAH PENDUDUK;LAKI-LAKI;1;5547;JIWA;2022
79;15;JAMBI;1502;150205;JUMLAH PENDUDUK;LAKI-LAKI;1;15498;JIWA;2022
80;15;JAMBI;1502;150223;JUMLAH PENDUDUK;LAKI-LAKI;1;4861;JIWA;2022
81;15;JAMBI;1502;150214;JUMLAH PENDUDUK;LAKI-LAKI;1;4834;JIWA;2022
82;15;JAMBI;1502;150222;JUMLAH PENDUDUK;LAKI-LAKI;1;4290;JIWA;2022
83;15;JAMBI;1502;150208;JUMLAH PENDUDUK;LAKI-LAKI;1;15385;JIWA;2022
84;15;JAMBI;1502;150215;JUMLAH PENDUDUK;LAKI-LAKI;1;4073;JIWA;2022
85;15;JAMBI;1502;150207;JUMLAH PENDUDUK;LAKI-LAKI;1;4216;JIWA;2022
86;15;JAMBI;1502;150224;JUMLAH PENDUDUK;LAKI-LAKI;1;2458;JIWA;2022
87;15;JAMBI;1505;150510;JUMLAH PENDUDUK;LAKI-LAKI;1;9153;JIWA;2022
88;15;JAMBI;1505;150509;JUMLAH PENDUDUK;LAKI-LAKI;1;7342;JIWA;2022
89;15;JAMBI;1505;150501;JUMLAH PENDUDUK;LAKI-LAKI;1;36047;JIWA;2022
90;15;JAMBI;1505;150503;JUMLAH PENDUDUK;LAKI-LAKI;1;13602;JIWA;2022
91;15;JAMBI;1505;150506;JUMLAH PENDUDUK;LAKI-LAKI;1;31957;JIWA;2022
92;15;JAMBI;1505;150504;JUMLAH PENDUDUK;LAKI-LAKI;1;11757;JIWA;2022
93;15;JAMBI;1505;150505;JUMLAH PENDUDUK;LAKI-LAKI;1;21947;JIWA;2022
94;15;JAMBI;1505;150502;JUMLAH PENDUDUK;LAKI-LAKI;1;24740;JIWA;2022
95;15;JAMBI;1505;150507;JUMLAH PENDUDUK;LAKI-LAKI;1;15471;JIWA;2022
96;15;JAMBI;1505;150508;JUMLAH PENDUDUK;LAKI-LAKI;1;37905;JIWA;2022
97;15;JAMBI;1505;150511;JUMLAH PENDUDUK;LAKI-LAKI;1;7381;JIWA;2022
98;15;JAMBI;1503;150307;JUMLAH PENDUDUK;LAKI-LAKI;1;13209;JIWA;2022
99;15;JAMBI;1503;150301;JUMLAH PENDUDUK;LAKI-LAKI;1;9376;JIWA;2022
100;15;JAMBI;1503;150308;JUMLAH PENDUDUK;LAKI-LAKI;1;10467;JIWA;2022
101;15;JAMBI;1503;150310;JUMLAH PENDUDUK;LAKI-LAKI;1;6864;JIWA;2022
102;15;JAMBI;1503;150302;JUMLAH PENDUDUK;LAKI-LAKI;1;9276;JIWA;2022
103;15;JAMBI;1503;150306;JUMLAH PENDUDUK;LAKI-LAKI;1;12245;JIWA;2022
104;15;JAMBI;1503;15030;JUMLAH PENDUDUK;LAKI-LAKI;1;6686;JIWA;2022
105;15;JAMBI;1503;150304;JUMLAH PENDUDUK;LAKI-LAKI;1;12580;JIWA;2022
106;15;JAMBI;1503;150305;JUMLAH PENDUDUK;LAKI-LAKI;1;17542;JIWA;2022
107;15;JAMBI;1503;150303;JUMLAH PENDUDUK;LAKI-LAKI;1;28952;JIWA;2022
108;15;JAMBI;1503;150309;JUMLAH PENDUDUK;LAKI-LAKI;1;20642;JIWA;2022
109;15;JAMBI;1506;150607;JUMLAH PENDUDUK;LAKI-LAKI;1;17614;JIWA;2022
110;15;JAMBI;1506;150604;JUMLAH PENDUDUK;LAKI-LAKI;1;15559;JIWA;2022
111;15;JAMBI;1506;150611;JUMLAH PENDUDUK;LAKI-LAKI;1;9886;JIWA;2022
112;15;JAMBI;1506;150612;JUMLAH PENDUDUK;LAKI-LAKI;1;7145;JIWA;2022
113;15;JAMBI;1506;150605;JUMLAH PENDUDUK;LAKI-LAKI;1;8277;JIWA;2022
114;15;JAMBI;1506;150609;JUMLAH PENDUDUK;LAKI-LAKI;1;5381;JIWA;2022
115;15;JAMBI;1506;150603;JUMLAH PENDUDUK;LAKI-LAKI;1;13665;JIWA;2022
116;15;JAMBI;1506;150608;JUMLAH PENDUDUK;LAKI-LAKI;1;8151;JIWA;2022
117;15;JAMBI;1506;150610;JUMLAH PENDUDUK;LAKI-LAKI;1;4738;JIWA;2022
118;15;JAMBI;1506;150613;JUMLAH PENDUDUK;LAKI-LAKI;1;12915;JIWA;2022
