no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;semester;jumlah;satuan;tahun
1;15;JAMBI;1504;150407;KARTU IDENTITAS ANAK;MEMILIKI;1;4365;JIWA;2022
2;15;JAMBI;1504;150404;KARTU IDENTITAS ANAK;MEMILIKI;1;2992;JIWA;2022
3;15;JAMBI;1504;150408;KARTU IDENTITAS ANAK;MEMILIKI;1;1386;JIWA;2022
4;15;JAMBI;1504;150406;KARTU IDENTITAS ANAK;MEMILIKI;1;4662;JIWA;2022
5;15;JAMBI;1504;150401;KARTU IDENTITAS ANAK;MEMILIKI;1;3135;JIWA;2022
6;15;JAMBI;1504;150403;KARTU IDENTITAS ANAK;MEMILIKI;1;10113;JIWA;2022
7;15;JAMBI;1504;150402;KARTU IDENTITAS ANAK;MEMILIKI;1;3649;JIWA;2022
8;15;JAMBI;1504;150405;KARTU IDENTITAS ANAK;MEMILIKI;1;3227;JIWA;2022
9;15;JAMBI;1508;150815;KARTU IDENTITAS ANAK;MEMILIKI;1;949;JIWA;2022
10;15;JAMBI;1508;150811;KARTU IDENTITAS ANAK;MEMILIKI;1;2492;JIWA;2022
11;15;JAMBI;1508;150814;KARTU IDENTITAS ANAK;MEMILIKI;1;965;JIWA;2022
12;15;JAMBI;1508;150810;KARTU IDENTITAS ANAK;MEMILIKI;1;1612;JIWA;2022
13;15;JAMBI;1508;150812;KARTU IDENTITAS ANAK;MEMILIKI;1;2708;JIWA;2022
14;15;JAMBI;1508;150804;KARTU IDENTITAS ANAK;MEMILIKI;1;3266;JIWA;2022
15;15;JAMBI;1508;150816;KARTU IDENTITAS ANAK;MEMILIKI;1;628;JIWA;2022
16;15;JAMBI;1508;150807;KARTU IDENTITAS ANAK;MEMILIKI;1;1345;JIWA;2022
17;15;JAMBI;1508;150808;KARTU IDENTITAS ANAK;MEMILIKI;1;1162;JIWA;2022
18;15;JAMBI;1508;150803;KARTU IDENTITAS ANAK;MEMILIKI;1;1824;JIWA;2022
19;15;JAMBI;1508;150806;KARTU IDENTITAS ANAK;MEMILIKI;1;1936;JIWA;2022
20;15;JAMBI;1508;150809;KARTU IDENTITAS ANAK;MEMILIKI;1;7958;JIWA;2022
21;15;JAMBI;1508;150802;KARTU IDENTITAS ANAK;MEMILIKI;1;739;JIWA;2022
22;15;JAMBI;1508;150813;KARTU IDENTITAS ANAK;MEMILIKI;1;3860;JIWA;2022
23;15;JAMBI;1508;150805;KARTU IDENTITAS ANAK;MEMILIKI;1;945;JIWA;2022
24;15;JAMBI;1508;150817;KARTU IDENTITAS ANAK;MEMILIKI;1;1360;JIWA;2022
25;15;JAMBI;1508;150801;KARTU IDENTITAS ANAK;MEMILIKI;1;977;JIWA;2022
