no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;semester;jumlah;satuan;tahun
1;15;JAMBI;1504;150407;PEREKAMAN KTP;WAJIB KTP;1;31118;JIWA;2022
2;15;JAMBI;1504;150404;PEREKAMAN KTP;WAJIB KTP;1;23267;JIWA;2022
3;15;JAMBI;1504;150408;PEREKAMAN KTP;WAJIB KTP;1;11284;JIWA;2022
4;15;JAMBI;1504;150406;PEREKAMAN KTP;WAJIB KTP;1;28307;JIWA;2022
5;15;JAMBI;1504;150401;PEREKAMAN KTP;WAJIB KTP;1;24043;JIWA;2022
6;15;JAMBI;1504;150403;PEREKAMAN KTP;WAJIB KTP;1;50842;JIWA;2022
7;15;JAMBI;1504;150402;PEREKAMAN KTP;WAJIB KTP;1;24749;JIWA;2022
8;15;JAMBI;1504;150405;PEREKAMAN KTP;WAJIB KTP;1;27336;JIWA;2022
9;15;JAMBI;1508;150815;PEREKAMAN KTP;WAJIB KTP;1;6172;JIWA;2022
10;15;JAMBI;1508;150811;PEREKAMAN KTP;WAJIB KTP;1;17824;JIWA;2022
11;15;JAMBI;1508;150814;PEREKAMAN KTP;WAJIB KTP;1;6543;JIWA;2022
12;15;JAMBI;1508;150810;PEREKAMAN KTP;WAJIB KTP;1;9692;JIWA;2022
13;15;JAMBI;1508;150812;PEREKAMAN KTP;WAJIB KTP;1;18714;JIWA;2022
14;15;JAMBI;1508;150804;PEREKAMAN KTP;WAJIB KTP;1;12805;JIWA;2022
15;15;JAMBI;1508;150816;PEREKAMAN KTP;WAJIB KTP;1;7674;JIWA;2022
16;15;JAMBI;1508;150807;PEREKAMAN KTP;WAJIB KTP;1;11582;JIWA;2022
17;15;JAMBI;1508;150808;PEREKAMAN KTP;WAJIB KTP;1;10726;JIWA;2022
18;15;JAMBI;1508;150803;PEREKAMAN KTP;WAJIB KTP;1;14857;JIWA;2022
19;15;JAMBI;1508;150806;PEREKAMAN KTP;WAJIB KTP;1;23869;JIWA;2022
20;15;JAMBI;1508;150809;PEREKAMAN KTP;WAJIB KTP;1;35745;JIWA;2022
21;15;JAMBI;1508;150802;PEREKAMAN KTP;WAJIB KTP;1;7287;JIWA;2022
