NO;kode_provinsi;kode_kabupaten_kota;kategori;uraian;jumlah;satuan;tahun
1;15;1501;TERNAK BESAR;SAPI PERAH;0;EKOR;2020
2;15;1501;TERNAK BESAR;SAPI POTONG;10.759;EKOR;2020
3;15;1501;TERNAK BESAR;KERBAU;3.735;EKOR;2020
4;15;1501;TERNAK BESAR;KUDA;74;EKOR;2020
5;15;1501;TERNAK KECIL;KAMBING;9.554;EKOR;2020
6;15;1501;TERNAK KECIL;DOMBA;1.025;EKOR;2020
7;15;1501;TERNAK KECIL;BABI;0;EKOR;2020
8;15;1501;TERNAK UNGGAS;AYAM KAMPUNG;220.310;EKOR;2020
9;15;1501;TERNAK UNGGAS;AYAM PETELUR;197.294;EKOR;2020
10;15;1501;TERNAK UNGGAS;AYAM PEDAGING;1.496.811;EKOR;2020
11;15;1501;TERNAK UNGGAS;ITIK;110.045;EKOR;2020
12;15;1501;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2020
13;15;1502;TERNAK BESAR;SAPI PERAH;0;EKOR;2020
14;15;1502;TERNAK BESAR;SAPI POTONG;17.078;EKOR;2020
15;15;1502;TERNAK BESAR;KERBAU;4.601;EKOR;2020
16;15;1502;TERNAK BESAR;KUDA;0;EKOR;2020
17;15;1502;TERNAK KECIL;KAMBING;40.033;EKOR;2020
18;15;1502;TERNAK KECIL;DOMBA;5.749;EKOR;2020
19;15;1502;TERNAK KECIL;BABI;48;EKOR;2020
20;15;1502;TERNAK UNGGAS;AYAM KAMPUNG;1.357.700;EKOR;2020
21;15;1502;TERNAK UNGGAS;AYAM PETELUR;53.138;EKOR;2020
22;15;1502;TERNAK UNGGAS;AYAM PEDAGING;2.188.504;EKOR;2020
23;15;1502;TERNAK UNGGAS;ITIK;26.426;EKOR;2020
24;15;1502;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2020
25;15;1503;TERNAK BESAR;SAPI PERAH;0;EKOR;2020
26;15;1503;TERNAK BESAR;SAPI POTONG;9.758;EKOR;2020
27;15;1503;TERNAK BESAR;KERBAU;9.016;EKOR;2020
28;15;1503;TERNAK BESAR;KUDA;0;EKOR;2020
29;15;1503;TERNAK KECIL;KAMBING;46.279;EKOR;2020
30;15;1503;TERNAK KECIL;DOMBA;16.292;EKOR;2020
31;15;1503;TERNAK KECIL;BABI;0;EKOR;2020
32;15;1503;TERNAK UNGGAS;AYAM KAMPUNG;302.544;EKOR;2020
33;15;1503;TERNAK UNGGAS;AYAM PETELUR;25.811;EKOR;2020
34;15;1503;TERNAK UNGGAS;AYAM PEDAGING;1.763.862;EKOR;2020
35;15;1503;TERNAK UNGGAS;ITIK;35.663;EKOR;2020
36;15;1503;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2020
37;15;1504;TERNAK BESAR;SAPI PERAH;0;EKOR;2020
