NO;kode_provinsi;kode_kabupaten_kota;kategori;uraian;jumlah;satuan;tahun
1;15;1501;TERNAK BESAR;SAPI;648.317,00;KG;2020
2;15;1501;TERNAK BESAR;KERBAU;166.664,00;KG;2020
3;15;1501;TERNAK BESAR;KUDA;3.675,00;KG;2020
4;15;1501;TERNAK KECIL;KAMBING;83.409,00;KG;2020
5;15;1501;TERNAK KECIL;DOMBA;1.454,00;KG;2020
6;15;1501;TERNAK KECIL;BABI;0;KG;2020
7;15;1501;TERNAK UNGGAS;AYAM KAMPUNG;94.082,00;KG;2020
8;15;1501;TERNAK UNGGAS;AYAM PETELUR;133.197,00;KG;2020
9;15;1501;TERNAK UNGGAS;AYAM PEDAGING;1.654.081,00;KG;2020
10;15;1501;TERNAK UNGGAS;ITIK;75.215,00;KG;2020
11;15;1501;TERNAK UNGGAS;ITIK MANILA;0;KG;2020
12;15;1502;TERNAK BESAR;SAPI;675.838,00;KG;2020
13;15;1502;TERNAK BESAR;KERBAU;138.218,00;KG;2020
14;15;1502;TERNAK BESAR;KUDA;0;KG;2020
15;15;1502;TERNAK KECIL;KAMBING;87.562,00;KG;2020
16;15;1502;TERNAK KECIL;DOMBA;20.380,00;KG;2020
17;15;1502;TERNAK KECIL;BABI;6.555,00;KG;2020
18;15;1502;TERNAK UNGGAS;AYAM KAMPUNG;579.634,00;KG;2020
19;15;1502;TERNAK UNGGAS;AYAM PETELUR;35.875,00;KG;2020
20;15;1502;TERNAK UNGGAS;AYAM PEDAGING;2.418.450,00;KG;2020
21;15;1502;TERNAK UNGGAS;ITIK;18.062,00;KG;2020
22;15;1502;TERNAK UNGGAS;ITIK MANILA;0;KG;2020
23;15;1503;TERNAK BESAR;SAPI;329.010,00;KG;2020
24;15;1503;TERNAK BESAR;KERBAU;271.877,00;KG;2020
25;15;1503;TERNAK BESAR;KUDA;0;KG;2020
26;15;1503;TERNAK KECIL;KAMBING;41.081,00;KG;2020
27;15;1503;TERNAK KECIL;DOMBA;15.643,00;KG;2020
28;15;1503;TERNAK KECIL;BABI;0;KG;2020
29;15;1503;TERNAK UNGGAS;AYAM KAMPUNG;359.041,00;KG;2020
30;15;1503;TERNAK UNGGAS;AYAM PETELUR;17.426,00;KG;2020
31;15;1503;TERNAK UNGGAS;AYAM PEDAGING;1.949.192,00;KG;2020
32;15;1503;TERNAK UNGGAS;ITIK;24.375,00;KG;2020
33;15;1503;TERNAK UNGGAS;ITIK MANILA;0;KG;2020
34;15;1504;TERNAK BESAR;SAPI;77.269,00;KG;2020
35;15;1504;TERNAK BESAR;KERBAU;40.116,00;KG;2020
36;15;1504;TERNAK BESAR;KUDA;0;KG;2020
37;15;1504;TERNAK KECIL;KAMBING;2.238,00;KG;2020
38;15;1504;TERNAK KECIL;DOMBA;31.792,00;KG;2020
39;15;1504;TERNAK KECIL;BABI;4.227,00;KG;2020
40;15;1504;TERNAK UNGGAS;AYAM KAMPUNG;234.498,00;KG;2020
41;15;1504;TERNAK UNGGAS;AYAM PETELUR;0;KG;2020
42;15;1504;TERNAK UNGGAS;AYAM PEDAGING;2.495.184,00;KG;2020
43;15;1504;TERNAK UNGGAS;ITIK;47.715,00;KG;2020
44;15;1504;TERNAK UNGGAS;ITIK MANILA;0;KG;2020
45;15;1505;TERNAK BESAR;SAPI;1.032.015,00;KG;2020
