NO;kode_provinsi;kode_kabupaten_kota;kategori;jumlah;satuan;tahun
1;15;1501;AYAM KAMPUNG;240.372,00;KG;2020
2;15;1501;AYAM PETELUR;2.372.934,00;KG;2020
3;15;1501;ITIK;669.700,00;KG;2020
4;15;1502;AYAM KAMPUNG;1.481.338,00;KG;2020
5;15;1502;AYAM PETELUR;639.112,00;KG;2020
6;15;1502;ITIK;160.821,00;KG;2020
7;15;1503;AYAM KAMPUNG;330.095,00;KG;2020
8;15;1503;AYAM PETELUR;310.439,00;KG;2020
9;15;1503;ITIK;217.034,00;KG;2020
10;15;1504;AYAM KAMPUNG;4.666.914,00;KG;2020
11;15;1504;AYAM PETELUR;0,00;KG;2020
12;15;1504;ITIK;424.848,00;KG;2020
13;15;1505;AYAM KAMPUNG;2.008.002,00;KG;2020
14;15;1505;AYAM PETELUR;9.016.617,00;KG;2020
15;15;1505;ITIK;182.656,00;KG;2020
16;15;1506;AYAM KAMPUNG;4.388.243,00;KG;2020
17;15;1506;AYAM PETELUR;7.041.766,00;KG;2020
18;15;1506;ITIK;296.812,00;KG;2020
19;15;1507;AYAM KAMPUNG;1.312.418,00;KG;2020
20;15;1507;AYAM PETELUR;0,00;KG;2020
21;15;1507;ITIK;580.703,00;KG;2020
22;15;1508;AYAM KAMPUNG;560.926,00;KG;2020
23;15;1508;AYAM PETELUR;102.233,00;KG;2020
24;15;1508;ITIK;453.317,00;KG;2020
25;15;1509;AYAM KAMPUNG;402.379,00;KG;2020
26;15;1509;AYAM PETELUR;232.249,00;KG;2020
27;15;1509;ITIK;405.563,00;KG;2020
28;15;1571;AYAM KAMPUNG;79.386,00;KG;2020
29;15;1571;AYAM PETELUR;416.785,00;KG;2020
30;15;1571;ITIK;40.147,00;KG;2020
31;15;1572;AYAM KAMPUNG;470.315,00;KG;2020
32;15;1572;AYAM PETELUR;4.367.750,00;KG;2020
33;15;1572;ITIK;1.141.427,00;KG;2020
34;15;1501;AYAM KAMPUNG;245.181,00;KG;2021
35;15;1501;AYAM PETELUR;928.099,00;KG;2021
36;15;1501;ITIK;685.973,00;KG;2021
37;15;1502;AYAM KAMPUNG;2.090.337,00;KG;2021
38;15;1502;AYAM PETELUR;257.914,00;KG;2021
39;15;1502;ITIK;183.283,00;KG;2021
40;15;1503;AYAM KAMPUNG;307.803,00;KG;2021
41;15;1503;AYAM PETELUR;248.210,00;KG;2021
42;15;1503;ITIK;203.999,00;KG;2021
43;15;1504;AYAM KAMPUNG;1.833.631,00;KG;2021
44;15;1504;AYAM PETELUR;242.891,00;KG;2021
45;15;1504;ITIK;425.664,00;KG;2021
46;15;1505;AYAM KAMPUNG;1.425.756,00;KG;2021
47;15;1505;AYAM PETELUR;30.724.558,00;KG;2021
48;15;1505;ITIK;198.248,00;KG;2021
49;15;1506;AYAM KAMPUNG;4.349.519,00;KG;2021
50;15;1506;AYAM PETELUR;3.370.878,00;KG;2021
51;15;1506;ITIK;333.837,00;KG;2021
52;15;1507;AYAM KAMPUNG;1.318.110,00;KG;2021
53;15;1507;AYAM PETELUR;48.578,20;KG;2021
54;15;1507;ITIK;552.685,00;KG;2021
55;15;1508;AYAM KAMPUNG;714.803,00;KG;2021
56;15;1508;AYAM PETELUR;170.048,00;KG;2021
57;15;1508;ITIK;409.847,00;KG;2021
58;15;1509;AYAM KAMPUNG;445.233,00;KG;2021
59;15;1509;AYAM PETELUR;180.832,00;KG;2021
60;15;1509;ITIK;437.434,00;KG;2021
61;15;1571;AYAM KAMPUNG;90.547,00;KG;2021
62;15;1571;AYAM PETELUR;136.529,00;KG;2021
63;15;1571;ITIK;45.551,00;KG;2021
64;15;1572;AYAM KAMPUNG;424.842,00;KG;2021
65;15;1572;AYAM PETELUR;2.246.815,00;KG;2021
66;15;1572;ITIK;462.336,00;KG;2021
67;15;1501;AYAM KAMPUNG;321.577,84;KG;2022
68;15;1501;AYAM RAS PETELUR;894.516,46;KG;2022
69;15;1501;ITIK;617.146,02;KG;2022
70;15;1502;AYAM KAMPUNG;2.814.032,72;KG;2022
71;15;1502;AYAM RAS PETELUR;317.911,59;KG;2022
72;15;1502;ITIK;174.271,10;KG;2022
73;15;1503;AYAM KAMPUNG;153.168,95;KG;2022
74;15;1503;AYAM RAS PETELUR;49.446,01;KG;2022
75;15;1503;ITIK;62.381,20;KG;2022
76;15;1504;AYAM KAMPUNG;2.343.346,90;KG;2022
77;15;1504;AYAM RAS PETELUR;227.432,90;KG;2022
78;15;1504;ITIK;417.438,88;KG;2022
79;15;1505;AYAM KAMPUNG;1.482.886,32;KG;2022
80;15;1505;AYAM RAS PETELUR;33.540.561,54;KG;2022
81;15;1505;ITIK;218.063,77;KG;2022
82;15;1506;AYAM KAMPUNG;4.345.316,49;KG;2022
83;15;1506;AYAM RAS PETELUR;3.112.718,55;KG;2022
84;15;1506;ITIK;353.541,00;KG;2022
85;15;1507;AYAM KAMPUNG;1.326.252,59;KG;2022
86;15;1507;AYAM RAS PETELUR;45.132,07;KG;2022
87;15;1507;ITIK;515.022,81;KG;2022
88;15;1508;AYAM KAMPUNG;875.614,86;KG;2022
89;15;1508;AYAM RAS PETELUR;214.708,01;KG;2022
90;15;1508;ITIK;392.349,36;KG;2022
91;15;1509;AYAM KAMPUNG;525.254,57;KG;2022
92;15;1509;AYAM RAS PETELUR;487.881,44;KG;2022
93;15;1509;ITIK;427.317,01;KG;2022
94;15;1571;AYAM KAMPUNG;105.291,15;KG;2022
95;15;1571;AYAM RAS PETELUR;178.252,26;KG;2022
96;15;1571;ITIK;50.637,39;KG;2022
97;15;1572;AYAM KAMPUNG;437.861,91;KG;2022
98;15;1572;AYAM RAS PETELUR;2.087.167,02;KG;2022
99;15;1572;ITIK;403.475,69;KG;2022
