NO;kode_provinsi;kode_kabupaten_kota;kategori;jumlah;satuan;tahun
1;15;1501;SAPI PERAH;0,00;KG;2020
2;15;1502;SAPI PERAH;0,00;KG;2020
3;15;1503;SAPI PERAH;0,00;KG;2020
4;15;1504;SAPI PERAH;0,00;KG;2020
5;15;1505;SAPI PERAH;2.535,00;KG;2020
6;15;1506;SAPI PERAH;0,00;KG;2020
7;15;1507;SAPI PERAH;0,00;KG;2020
8;15;1508;SAPI PERAH;0,00;KG;2020
9;15;1509;SAPI PERAH;0,00;KG;2020
10;15;1571;SAPI PERAH;2.535,00;KG;2020
11;15;1572;SAPI PERAH;0,00;KG;2020
12;15;1501;SAPI PERAH;0,00;KG;2021
13;15;1502;SAPI PERAH;0,00;KG;2021
14;15;1503;SAPI PERAH;0,00;KG;2021
15;15;1504;SAPI PERAH;0,00;KG;2021
16;15;1505;SAPI PERAH;1.127,00;KG;2021
17;15;1506;SAPI PERAH;0,00;KG;2021
18;15;1507;SAPI PERAH;0,00;KG;2021
19;15;1508;SAPI PERAH;0,00;KG;2021
20;15;1509;SAPI PERAH;0,00;KG;2021
21;15;1571;SAPI PERAH;2.816,00;KG;2021
22;15;1572;SAPI PERAH;0,00;KG;2021
23;15;1501;SAPI PERAH;0,00;KG;2022
24;15;1502;SAPI PERAH;0,00;KG;2022
25;15;1503;SAPI PERAH;0,00;KG;2022
26;15;1504;SAPI PERAH;0,00;KG;2022
27;15;1505;SAPI PERAH;1.888,19;KG;2022
28;15;1506;SAPI PERAH;0,00;KG;2022
29;15;1507;SAPI PERAH;0,00;KG;2022
30;15;1508;SAPI PERAH;0,00;KG;2022
31;15;1509;SAPI PERAH;0,00;KG;2022
32;15;1571;SAPI PERAH;6.923,35;KG;2022
33;15;1572;SAPI PERAH;0,00;KG;2022
