id;kode_provinsi;nama_provinsi;instansi_pemerintahan;laki-laki;perempuan;jumlah
1;15;JAMBI;Sekretaris Daerah;1;0;1
2;15;JAMBI;Asisten dan Staf Ahli;6;0;6
3;15;JAMBI;Biro Pemerintahan Dan Otonomi Daerah;13;10;23
4;15;JAMBI;Biro Hukum;14;17;31
;15;JAMBI;Badan Kepegawaian Daerah;39;42;81
;15;JAMBI;Biro Perekonomian;11;17;28
;15;JAMBI;Biro Kesejahteraan Rakyat dan Kemasyarakatan;23;24;47
;15;JAMBI;Biro Organisasi;19;12;31
;15;JAMBI;Biro Administrasi Pembangunan;20;18;38
;15;JAMBI;Biro Pengelolaan Barang Jasa;25;16;41
;15;JAMBI;Biro Administrasi Pimpinan / Humas & Protokol;28;18;46
;15;JAMBI;Sekretariat DPRD;41;26;67
;15;JAMBI;Badan Pengelola Keuangan dan Pendapatatn Daerah;197;108;305
;15;JAMBI;Dinas Perkebunan;44;40;84
;15;JAMBI;Dinas Tenaga Kerja, dan Transmigrasi;83;38;121
;15;JAMBI;Dinas Kehutanan;235;69;304
;15;JAMBI;Dinas Tanaman Pangan, Holtikultura dan Peternakan;124;109;233
;15;JAMBI;Dinas Perindustrian dan Perdagangan ;48;45;93
;15;JAMBI;Dinas Energi dan Sumber Daya Mineral;40;28;68
;15;JAMBI;Dinas Kebudayaan dan Pariwisata;47;50;97
;15;JAMBI;Dinas Kelautan dan Perikanan;86;60;146
;15;JAMBI;Dinas Pekerjaan Umum dan Perumahan Rakyat;148;93;241
;15;JAMBI;Dinas Kesehatan;87;193;280
;15;JAMBI;Dinas Pendidikan;1988;2864;4852
;15;JAMBI;Dinas Perhubungan;46;13;59
;15;JAMBI;Dinas Sosial, Kependudukan dan Catatan Sipil;66;56;122
;15;JAMBI;Dinas Koperasi, Usaha Kecil dan Menengah;25;30;55
;15;JAMBI;Dinas Kepemudaan dan Olahraga;56;29;85
;15;JAMBI;Inspektorat Daerah;50;47;97
;15;JAMBI;Dinas Penanaman Modal Dan PTSP;33;34;67
;15;JAMBI;Badan Perencanaan dan Pembangunan Daerah ;38;49;87
;15;JAMBI;Dinas Lingkungan Hidup Daerah;43;57;100
;15;JAMBI;Biro Umum;65;31;96
;15;JAMBI;Badan Kesatuan Bangsa dan Politik;29;19;48
;15;JAMBI;Badan Pengembangan Sumber Daya Manusia;45;38;83
;15;JAMBI;Badan Penelitian dan Pengembangan Daerah;19;26;45
;15;JAMBI;Dinas Perpustakaan Dan Arsip Daerah;35;43;78
;15;JAMBI;Rumah Sakit Jiwa Daerah;80;170;250
;15;JAMBI;Rumah sakit Umum Daerah Raden Mattaher Jambi;196;625;821
;15;JAMBI;Satuan Polisi Pamong Paraja dan Pemadam Kebakaran;161;11;172
;15;JAMBI;Dinas Komunikasi dan Informatika;43;24;67
;15;JAMBI;Badan Penghubung Daerah Jambi;21;27;48
;15;JAMBI;Dinas P3A dan Pengendalian Penduduk;21;46;67
;15;JAMBI;Badan Penanggulangan Bencana Daerah;15;7;22
;15;JAMBI;Dinas Ketahanan Pangan;24;36;60
