id_provinsi;provinsi;bulan;persentase;tahun
15;JAMBI;Januari;43,85;2019
15;JAMBI;Februari;40,76;2019
15;JAMBI;Maret;42,66;2019
15;JAMBI;April;42,42;2019
15;JAMBI;Mei;38,58;2019
15;JAMBI;Juni;36,51;2019
15;JAMBI;Juli;45,12;2019
15;JAMBI;Agustus;46,35;2019
15;JAMBI;September;45,2;2019
15;JAMBI;Oktober;48,91;2019
15;JAMBI;November;49,79;2019
15;JAMBI;Desember;49,51;2019
15;JAMBI;Januari;41,66;2020
15;JAMBI;Februari;42,69;2020
15;JAMBI;Maret;35,19;2020
15;JAMBI;April;15,68;2020
15;JAMBI;Mei;15,73;2020
15;JAMBI;Juni;25,32;2020
15;JAMBI;Juli;32,54;2020
15;JAMBI;Agustus;37,81;2020
15;JAMBI;September;41,55;2020
15;JAMBI;Oktober;38,88;2020
15;JAMBI;November;40,93;2020
15;JAMBI;Desember;40,74;2020
15;JAMBI;Januari;26,5;2021
15;JAMBI;Februari;38,42;2021
15;JAMBI;Maret;41,57;2021
15;JAMBI;April;43,75;2021
15;JAMBI;Mei;33,67;2021
15;JAMBI;Juni;45,13;2021
15;JAMBI;Juli;28,78;2021
15;JAMBI;Agustus;32,2;2021
15;JAMBI;September;41,79;2021
15;JAMBI;Oktober;44,57;2021
15;JAMBI;November;41,78;2021
15;JAMBI;Desember;48,42;2021
15;JAMBI;Januari;37,88;2022
15;JAMBI;Februari;36,38;2022
15;JAMBI;Maret;43,63;2022
15;JAMBI;April;38,09;2022
15;JAMBI;Mei;48,28;2022
15;JAMBI;Juni;50,95;2022
15;JAMBI;Juli;52,25;2022
15;JAMBI;Agustus;47,97;2022
15;JAMBI;September;54,07;2022
15;JAMBI;Oktober;56,62;2022
15;JAMBI;November;58,31;2022
15;JAMBI;Desember;58,24;2022
15;JAMBI;Januari;43,91;2023
15;JAMBI;Februari;53,18;2023
15;JAMBI;Maret;45,66;2023
15;JAMBI;April;42,99;2023
15;JAMBI;Mei;56,33;2023
15;JAMBI;Juni;52,38;2023
15;JAMBI;Juli;61,49;2023
15;JAMBI;Agustus;56,18;2023
15;JAMBI;September;56,21;2023
15;JAMBI;Oktober;60,63;2023
15;JAMBI;November;60,9;2023
15;JAMBI;Desember;60,2;2023
15;JAMBI;Januari;39,33;2024
15;JAMBI;Februari;46,2;2024
15;JAMBI;Maret;46,36;2024
15;JAMBI;April;48,31;2024
15;JAMBI;Mei;54,69;2024
15;JAMBI;Juni;54,05;2024
15;JAMBI;Juli;55,66;2024
15;JAMBI;Agustus;54,69;2024
15;JAMBI;September;-;2024
15;JAMBI;Oktober;-;2024
15;JAMBI;November;-;2024
15;JAMBI;Desember;-;2024
