NO;kabupaten/kota;jumlah_keluarga_sasaran;jumlah_keluarga_berisiko_stunting;%_keluarga_berisiko_stunting
1;KERINCI;48.262;14.536;30,12
2;MERANGIN;70.083;25.799;36,81
3;SAROLANGUN;51.886;19.822;38,20
4;BATANGHARI;49.380;17.139;34,71
5;MUARO JAMBI;72.968;24.520;33,60
6;TANJUNG JABUNG BARAT;54.340;33.378;61,42
7;TANJUNG JABUNG TIMUR;40.231;25.166;62,55
8;BUNGO;63.971;22.702;35,49
9;TEBO;62.780;19.666;31,33
10;KOTA JAMBI;80.176;17.549;21,89
11;KOTA SUNGAI PENUH;15.384;4.482;29,13
12;PROVINSI JAMBI;609.461;224.759;36,88
