NO;kabupaten/kota;jumlah_keluarga_sasaran;jumlah_keluarga_berisiko_stunting;%_keluarga_berisiko_stunting
1;KERINCI;48.563;11.231;23,13
2;MERANGIN;70.625;22.909;32,44
3;SAROLANGUN;53.138;17.638;33,19
4;BATANGHARI;49.793;15.708;31,55
5;MUARO JAMBI;73.850;21.491;29,10
6;TANJUNG JABUNG BARAT;55.278;31.135;56,32
7;TANJUNG JABUNG TIMUR;40.777;21.401;52,48
8;BUNGO;65.199;19.413;29,77
9;TEBO;64.603;14.153;21,91
10;KOTA JAMBI;83.611;13.608;16,28
11;KOTA SUNGAI PENUH;15.853;3.251;20,51
12;PROVINSI JAMBI;621.290;191.938;30,89
