NO;kabupaten/kota;jumlah_keluarga_berisiko_stunting;jumlah_keluarga_yang_tidak_mempunyai_sumber_air_minum_yang_layak;jumlah_keluarga_yang_tidak_mempunyai_jamban_layak;pus_terlalu_muda_bukan_peserta_kb_modern;pus_terlalu_tua_bukan_peserta_kb_modern;pus_terlalu_dekat_bukan_peserta_kb_modern;pus_terlalu_banyak_bukan_peserta_kb_modern;jumlah_keluarga_pus_4_terlalu_bukan_peserta_kb_modern
1;KERINCI;7.267;1.417;4.282;233;1.652;35;765;2.395
2;MERANGIN;13.152;4.124;6.867;436;2.892;44;1.793;4.536
3;SAROLANGUN;11.615;4.581;5.135;215;2.914;45;2.186;4.643
4;BATANGHARI;11.152;4.376;4.129;254;2.718;59;1.949;4.331
5;MUARO JAMBI;14.706;4.169;4.767;179;4.717;82;3.443;7.397
6;TEBO;9.908;3.401;3.848;238;2.874;31;1.599;4.232
7;TANJUNG JABUNG BARAT;25.781;20.237;8.309;134;3.250;52;2.427;5.134
8;BUNGO;13.835;3.827;6.935;326;3.498;56;2.544;5.647
9;TANJUNG JABUNG TIMUR;15.734;10.466;6.493;89;2.038;29;1.293;3.085
10;KOTA JAMBI;11.877;741;1.512;43;6.850;127;3.924;9.901
11;KOTA SUNGAI PENUH;2.068;218;1.120;47;635;12;420;995
12;PROVINSI JAMBI;137.095;57.557;53.397;2.194;34.038;572;22.343;52.296
