NO;kabupaten/kota;jumlah_keluarga_berisiko_stunting;jumlah_keluarga_yang_tidak_mempunyai_sumber_air_minum_yang_layak;jumlah_keluarga_yang_tidak_mempunyai_jamban_layak;pus_terlalu_muda_bukan_peserta_kb_modern;terlalu_tua_bukan_peserta_kb_modern;pus_terlalu_dekat_bukan_peserta_kb_modern;pus_terlalu_banyak_bukan_peserta_kb_modern;jumlah_keluarga_pus_4_terlalu_bukan_peserta_kb_modern
1;KERINCI;11.231;2203;7569;127;1992;22;1321;3120
2;MERANGIN;22.909;9013;13871;188;3123;31;2867;5529
3;SAROLANGUN;17.638;6099;10620;135;3176;37;3316;5812
4;BATANGHARI;15.708;5621;7511;101;3064;34;2977;5454
5;MUARO JAMBI;21.491;6741;8747;78;5449;67;5065;9396
6;TEBO;31.135;21753;13479;73;4159;52;4004;7250
7;TANJUNG JABUNG BARAT;21.401;14709;10192;82;2593;24;2147;4344
8;BUNGO;19.413;4996;11526;162;4000;43;4078;7321
9;TANJUNG JABUNG TIMUR;14.153;4292;7421;137;3073;24;2500;5177
10;KOTA JAMBI;13.608;985;3010;27;6640;91;4532;10186
11;KOTA SUNGAI PENUH;3.251;257;2089;24;775;9;624;1315
12;PROVINSI JAMBI;191.938;76669;96035;1134;38044;434;33431;64904
