id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;keterangan;satuan;jumlah_kejadian
1;15;JAMBI;1501;150116;11/06/2024;MENINGGAL DUNIA;JIWA;0
2;15;JAMBI;1501;150116;11/06/2024;HILANG;JIWA;0
3;15;JAMBI;1501;150116;11/06/2024;LUKA;JIWA;0
4;15;JAMBI;1501;150116;11/06/2024;MENDERITA;JIWA;0
5;15;JAMBI;1501;150116;11/06/2024;MENGUNGSI;JIWA;0
6;15;JAMBI;1501;150116;11/06/2024;RUMAH RUSAK BERAT;UNIT;0
7;15;JAMBI;1501;150116;11/06/2024;RUMAH RUSAK SEDANG;UNIT;0
8;15;JAMBI;1501;150116;11/06/2024;RUMAH RUSAK RINGAN;UNIT;0
9;15;JAMBI;1501;150116;11/06/2024;RUMAH TERENDAM;UNIT;0
10;15;JAMBI;1501;150116;11/06/2024;SARANA PENDIDIKAN;UNIT;0
11;15;JAMBI;1501;150116;11/06/2024;SARANA IBADAH;UNIT;0
12;15;JAMBI;1501;150116;11/06/2024;SARANA KESEHATAN;UNIT;0
13;15;JAMBI;1501;150116;11/06/2024;PERKANTORAN;UNIT;0
14;15;JAMBI;1501;150116;11/06/2024;BANGUNAN LAIN;UNIT;0
15;15;JAMBI;1501;150116;11/06/2024;JEMBATAN;UNIT;0
16;15;JAMBI;1501;150116;11/06/2024;JALAN;KM;100
17;15;JAMBI;1501;150116;11/06/2024;SAWAH;HA;0
18;15;JAMBI;1501;150116;11/06/2024;KEBUN/HUTAN;HA;0
19;15;JAMBI;1501;150116;11/06/2024;KOLAM;HA;0
20;15;JAMBI;1501;150116;11/06/2024;IRIGASI;HA;0
21;15;JAMBI;1501;150106;11/06/2024;MENINGGAL DUNIA;JIWA;0
22;15;JAMBI;1501;150106;11/06/2024;HILANG;JIWA;0
23;15;JAMBI;1501;150106;11/06/2024;LUKA;JIWA;0
24;15;JAMBI;1501;150106;11/06/2024;MENDERITA;JIWA;0
25;15;JAMBI;1501;150106;11/06/2024;MENGUNGSI;JIWA;0
26;15;JAMBI;1501;150106;11/06/2024;RUMAH RUSAK BERAT;UNIT;0
27;15;JAMBI;1501;150106;11/06/2024;RUMAH RUSAK SEDANG;UNIT;0
28;15;JAMBI;1501;150106;11/06/2024;RUMAH RUSAK RINGAN;UNIT;0
29;15;JAMBI;1501;150106;11/06/2024;RUMAH TERENDAM;UNIT;0
30;15;JAMBI;1501;150106;11/06/2024;SARANA PENDIDIKAN;UNIT;0
31;15;JAMBI;1501;150106;11/06/2024;SARANA IBADAH;UNIT;0
32;15;JAMBI;1501;150106;11/06/2024;SARANA KESEHATAN;UNIT;0
33;15;JAMBI;1501;150106;11/06/2024;PERKANTORAN;UNIT;0
34;15;JAMBI;1501;150106;11/06/2024;BANGUNAN LAIN;UNIT;0
35;15;JAMBI;1501;150106;11/06/2024;JEMBATAN;UNIT;0
36;15;JAMBI;1501;150106;11/06/2024;JALAN;KM;50
37;15;JAMBI;1501;150106;11/06/2024;SAWAH;HA;0
38;15;JAMBI;1501;150106;11/06/2024;KEBUN/HUTAN;HA;0
39;15;JAMBI;1501;150106;11/06/2024;KOLAM;HA;0
40;15;JAMBI;1501;150106;11/06/2024;IRIGASI;HA;0
41;15;JAMBI;1572;157208;10/06/2024;MENINGGAL DUNIA;JIWA;0
42;15;JAMBI;1572;157208;10/06/2024;HILANG;JIWA;0
43;15;JAMBI;1572;157208;10/06/2024;LUKA;JIWA;0
44;15;JAMBI;1572;157208;10/06/2024;MENDERITA;JIWA;13
