id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;Tahun_2019;Tahun_2021;Tahun_2022;Tahun_2023
1;15;JAMBI;1501;KERINCI;34,3;26,7;24,2;8,7
2;15;JAMBI;1502;MERANGIN;16;19,7;14,5;14,9
3;15;JAMBI;1503;SAROLANGUN;19,7;21,4;16,8;4,8
4;15;JAMBI;1504;BATANGHARI;27,2;24,5;26,3;10,1
5;15;JAMBI;1505;MUARO JAMBI;8,6;27,2;18,6;12
6;15;JAMBI;1506;TANJUNG JABUNG BARAT;20,3;19,8;9,9;14,1
7;15;JAMBI;1507;TANJUNG JABUNG TIMUR;20,3;25,6;22,5;23,7
8;15;JAMBI;1508;BUNGO;27,9;22,9;15,4;13,7
9;15;JAMBI;1509;TEBO;29,5;26,2;25;22,7
10;15;JAMBI;1571;KOTA JAMBI;17;17,4;14;13,5
11;15;JAMBI;1572;KOTA SUNGAI PENUH;24,7;25;26;4,1
