NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;tahun_2021;tahun_2022;tahun_2023;tahun_2024
1;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;42,24;14,90;5,70;3,35
2;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;35,81;9,45;8,28;8,60
3;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;49,41;44,88;30,78;22,24
4;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;56,12;32,72;23,84;12,02
5;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;50,84;27,28;26,84;20,50
6;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;50,60;21,82;12,11;8,05
7;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;54,01;30,73;29,46;22,38
8;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;43,68;18,09;16,36;8,87
9;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;70,47;56,75;49,10;19,98
10;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;53,28;24,83;21,99;11,95
11;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;52,86;21,69;19,72;8,16
12;15;JAMBI;1501;KERINCI;150109;KAYU ARO;52,60;31,79;30,40;20,43
13;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;40,75;17,89;11,82;10,90
14;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;61,86;47,47;26,63;5,46
15;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;45,54;29,58;26,75;22,86
16;15;JAMBI;1501;KERINCI;150116;SIULAK;53,35;33,55;24,41;18,94
17;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;47,80;38,13;22,63;17,50
18;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;46,09;33,31;22,49;14,52
19;15;JAMBI;1502;MERANGIN;150202;BANGKO;53,24;25,47;21,48;8,90
20;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;52,37;37,00;35,56;30,46
21;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;56,47;29,52;29,24;16,23
22;15;JAMBI;1502;MERANGIN;150201;JANGKAT;66,06;49,18;44,51;11,15
23;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;79,61;65,70;64,76;25,99
24;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;76,85;62,34;61,85;15,85
25;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;53,59;31,13;22,86;16,48
26;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;70,18;45,10;40,40;12,58
27;15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;61,64;38,77;38,93;10,78
28;15;JAMBI;1502;MERANGIN;150206;PAMENANG;55,83;32,91;25,60;15,43
29;15;JAMBI;1502;MERANGIN;150213;PAMENANG BARAT;59,69;31,27;25,12;12,20
30;15;JAMBI;1502;MERANGIN;150220;PAMENANG SELATAN;57,36;26,94;21,50;19,34
31;15;JAMBI;1502;MERANGIN;150217;PANGKALAN JAMBU;59,43;25,99;26,35;7,56
32;15;JAMBI;1502;MERANGIN;150219;RENAH PAMENANG;49,96;14,22;8,76;5,87
33;15;JAMBI;1502;MERANGIN;150216;RENAH PEMBARAP;60,87;29,42;22,64;18,80
34;15;JAMBI;1502;MERANGIN;150204;SUNGAI MANAU;72,54;50,83;44,86;24,84
35;15;JAMBI;1502;MERANGIN;150205;TABIR;68,02;46,73;46,82;33,62
36;15;JAMBI;1502;MERANGIN;150223;TABIR BARAT;88,89;75,68;75,64;29,94
37;15;JAMBI;1502;MERANGIN;150214;TABIR ILIR;61,56;39,64;28,42;19,28
38;15;JAMBI;1502;MERANGIN;150222;TABIR LINTAS;55,12;31,91;22,16;15,58
39;15;JAMBI;1502;MERANGIN;150208;TABIR SELATAN;51,37;21,18;18,61;11,59
40;15;JAMBI;1502;MERANGIN;150215;TABIR TIMUR;57,32;37,98;35,57;29,72
41;15;JAMBI;1502;MERANGIN;150207;TABIR ULU;70,54;51,44;42,44;36,66
42;15;JAMBI;1502;MERANGIN;150224;TIANG PUMPUNG;56,60;31,24;17,81;11,37
43;15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;58,80;34,13;33,82;25,36
44;15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;77,20;81,91;81,74;68,33
45;15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;48,59;31,12;30,06;12,42
46;15;JAMBI;1503;SAROLANGUN;150310;CERMIN NAN GEDANG;62,34;32,50;18,04;15,16
47;15;JAMBI;1503;SAROLANGUN;150302;LIMUN;70,25;51,03;32,09;26,82
48;15;JAMBI;1503;SAROLANGUN;150306;MANDIANGIN;61,60;48,29;46,66;20,37
49;15;JAMBI;1503;SAROLANGUN;150311;MANDIANGIN TIMUR;0,00;40,02;40,00;9,42
50;15;JAMBI;1503;SAROLANGUN;150304;PAUH;63,36;39,81;32,15;23,54
51;15;JAMBI;1503;SAROLANGUN;150305;PELAWAN;56,28;36,26;26,41;17,47
52;15;JAMBI;1503;SAROLANGUN;150303;SAROLANGUN;52,29;28,30;27,19;15,88
53;15;JAMBI;1503;SAROLANGUN;150309;SINGKUT;51,70;28,03;22,60;10,21
54;15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;65,88;42,27;36,08;24,56
55;15;JAMBI;1504;BATANGHARI;150404;BATIN XXIV;55,87;34,13;32,98;24,78
56;15;JAMBI;1504;BATANGHARI;150408;MARO SEBO ILIR;48,50;19,62;23,25;15,28
57;15;JAMBI;1504;BATANGHARI;150406;MARO SEBO ULU;68,61;49,00;47,04;28,09
58;15;JAMBI;1504;BATANGHARI;150401;MERSAM;50,87;21,01;19,01;10,01
59;15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;55,10;36,60;33,01;23,32
60;15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;56,57;28,00;25,05;19,78
61;15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;52,54;33,37;27,00;19,78
62;15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;53,60;28,10;25,08;12,17
63;15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;52,48;29,00;21,71;12,22
64;15;JAMBI;1505;MUARO JAMBI;150501;JAMBI LUAR KOTA;55,13;30,70;29,15;19,99
65;15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;67,28;53,22;45,48;33,19
66;15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;53,98;31,80;31,31;21,94
67;15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;62,14;41,39;30,02;23,16
68;15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;54,15;34,67;30,22;14,87
69;15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;58,03;41,22;35,00;18,76
70;15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI BAHAR;47,17;22,17;15,13;11,73
71;15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI GELAM;52,16;27,95;24,31;15,52
72;15;JAMBI;1505;MUARO JAMBI;150511;TAMAN RAJO;64,22;38,81;30,17;21,03
73;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;59,35;35,75;35,04;18,80
74;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;74,67;64,20;63,94;46,86
75;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;89,27;89,17;83,19;77,84
76;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;96,46;99,22;95,96;95,00
77;15;JAMBI;1506;TANJUNG JABUNG BARAT;150605;MERLUNG;49,90;20,07;14,09;10,82
78;15;JAMBI;1506;TANJUNG JABUNG BARAT;150609;MUARA PAPALIK;47,34;18,86;11,20;4,35
79;15;JAMBI;1506;TANJUNG JABUNG BARAT;150603;PENGABUAN;94,85;93,93;93,92;91,22
80;15;JAMBI;1506;TANJUNG JABUNG BARAT;150608;RENAH MENDALUH;55,20;42,28;42,23;22,79
81;15;JAMBI;1506;TANJUNG JABUNG BARAT;150610;SEBERANG KOTA;94,74;90,18;79,06;91,41
82;15;JAMBI;1506;TANJUNG JABUNG BARAT;150613;SENYERANG;95,16;97,15;95,77;72,64
83;15;JAMBI;1506;TANJUNG JABUNG BARAT;150606;TEBING TINGGI;51,00;52,14;41,05;13,71
84;15;JAMBI;1506;TANJUNG JABUNG BARAT;150602;TUNGKAL ILIR;73,31;64,48;54,23;49,23
85;15;JAMBI;1506;TANJUNG JABUNG BARAT;150601;TUNGKAL ULU;54,77;21,72;18,89;9,65
86;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150711;BERBAK;68,26;59,57;30,58;28,26
87;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150706;DENDANG;66,11;58,72;49,19;30,58
88;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150710;GERAGAI;60,05;40,85;30,53;18,53
89;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150708;KUALA JAMBI;91,69;90,28;79,27;71,45
90;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150703;MENDAHARA;96,06;92,56;92,54;72,84
91;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150709;MENDAHARA ULU;73,79;59,40;54,95;22,11
92;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150707;MUARA SABAK BARAT;58,39;37,74;26,56;18,51
93;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150701;MUARA SABAK TIMUR;76,49;63,86;60,01;37,30
94;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150702;NIPAH PANJANG;92,97;81,16;70,00;62,32
95;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150704;RANTAU RASAU;76,46;50,08;29,58;10,15
96;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150705;S A D U;74,34;61,25;53,09;36,75
97;15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;60,58;34,30;24,00;16,15
98;15;JAMBI;1508;BUNGO;150811;BATHIN III;52,83;28,63;23,90;19,05
99;15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;84,71;69,68;58,57;37,39
