id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;tahun_2021;tahun_2022;tahun_2023;tahun_2024
1;15;JAMBI;1501;50,52;30,12;23,13;14,76
2;15;JAMBI;1502;60,89;36,81;32,44;17,29
3;15;JAMBI;1503;58,28;38,20;33,19;20,36
4;15;JAMBI;1504;57,52;34,71;31,55;21,52
5;15;JAMBI;1505;55,54;33,60;29,10;18,87
6;15;JAMBI;1506;71,25;61,42;56,32;45,03
7;15;JAMBI;1507;76,08;62,55;52,48;35,96
8;15;JAMBI;1508;54,64;35,49;29,77;20,50
9;15;JAMBI;1509;55,76;31,33;21,91;14,46
10;15;JAMBI;1571;47,54;21,89;16,28;12,09
11;15;JAMBI;1572;50,53;29,13;20,51;12,19
