NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;tahun_2021;tahun_2022;tahun_2023;tahun_2024
1;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;874;303;109;65
2;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;690;180;155;164
3;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;1.889;1.671;1.172;841
4;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;1.293;766;564;284
5;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;1.245;668;615;512
6;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;1.260;536;300;212
7;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;1.037;566;507;405
8;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;1.259;514;468;264
9;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;1.892;1.504;1.305;551
10;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;795;374;340;176
11;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;1.610;733;669;270
12;15;JAMBI;1501;KERINCI;150109;KAYU ARO;2.404;1.417;1.359;1.011
13;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;1.766;726;513;482
14;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;1.390;1.069;620;113
15;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;792;522;473;404
16;15;JAMBI;1501;KERINCI;150116;SIULAK;2.582;1.569;1.146;850
17;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;1.130;880;548;409
18;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;766;538;368;254
19;15;JAMBI;1502;MERANGIN;150202;BANGKO;3.956;1.851;1.567;786
20;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;1.170;803;782;668
21;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;1.143;586;565;432
22;15;JAMBI;1502;MERANGIN;150201;JANGKAT;1.528;1.135;1.079;302
23;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;1.706;1.408;1.325;633
24;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;2.071;1.670;1.629;465
25;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;1.711;994;732;537
26;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;1.565;998;896;300
27;15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;2.042;1.283;1.435;436
28;15;JAMBI;1502;MERANGIN;150206;PAMENANG;3.517;2.078;1.630;991
29;15;JAMBI;1502;MERANGIN;150213;PAMENANG BARAT;2.134;1.118;926;459
30;15;JAMBI;1502;MERANGIN;150220;PAMENANG SELATAN;1.118;525;430;394
31;15;JAMBI;1502;MERANGIN;150217;PANGKALAN JAMBU;832;368;366;125
32;15;JAMBI;1502;MERANGIN;150219;RENAH PAMENANG;1.412;406;250;183
33;15;JAMBI;1502;MERANGIN;150216;RENAH PEMBARAP;1.585;766;601;504
34;15;JAMBI;1502;MERANGIN;150204;SUNGAI MANAU;1.572;1.136;964;567
35;15;JAMBI;1502;MERANGIN;150205;TABIR;3.831;2.787;2.735;2.054
36;15;JAMBI;1502;MERANGIN;150223;TABIR BARAT;1.728;1.416;1.379;582
37;15;JAMBI;1502;MERANGIN;150214;TABIR ILIR;1.281;825;596;440
38;15;JAMBI;1502;MERANGIN;150222;TABIR LINTAS;931;539;370;276
39;15;JAMBI;1502;MERANGIN;150208;TABIR SELATAN;2.796;1.204;1.089;681
40;15;JAMBI;1502;MERANGIN;150215;TABIR TIMUR;995;649;616;526
41;15;JAMBI;1502;MERANGIN;150207;TABIR ULU;1.250;911;750;697
42;15;JAMBI;1502;MERANGIN;150224;TIANG PUMPUNG;622;343;197;114
43;15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;2.700;1.438;1.611;1.275
44;15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;2.401;2.793;2.748;2.412
45;15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;1.779;1.254;1.193;524
46;15;JAMBI;1503;SAROLANGUN;150310;CERMIN NAN GEDANG;1.470;766;430;395
47;15;JAMBI;1503;SAROLANGUN;150302;LIMUN;2.361;1.714;1.054;874
48;15;JAMBI;1503;SAROLANGUN;150306;MANDIANGIN;4.466;2.116;2.108;1.066
49;15;JAMBI;1503;SAROLANGUN;150311;MANDIANGIN TIMUR;0;1.034;972;245
50;15;JAMBI;1503;SAROLANGUN;150304;PAUH;2.519;1.583;1.334;1.135
51;15;JAMBI;1503;SAROLANGUN;150305;PELAWAN;3.106;2.151;1.554;1.050
52;15;JAMBI;1503;SAROLANGUN;150303;SAROLANGUN;5.131;2.867;2.826;1.745
53;15;JAMBI;1503;SAROLANGUN;150309;SINGKUT;3.918;2.106;1.808;894
54;15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;4.550;2.820;2.383;1.677
55;15;JAMBI;1504;BATANGHARI;150404;BATIN XXIV;2.938;1.795;1.728;1.322
56;15;JAMBI;1504;BATANGHARI;150408;MARO SEBO ILIR;1.312;518;650;456
57;15;JAMBI;1504;BATANGHARI;150406;MARO SEBO ULU;4.297;3.184;3.119;2.011
58;15;JAMBI;1504;BATANGHARI;150401;MERSAM;2.554;1.135;1.008;564
59;15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;5.565;4.056;3.677;2.619
60;15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;3.263;1.647;1.515;1.221
61;15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;3.266;1.984;1.628;1.282
62;15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;1.771;933;825;402
63;15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;1.342;718;555;310
64;15;JAMBI;1505;MUARO JAMBI;150501;JAMBI LUAR KOTA;6.308;3.481;3.451;2.450
65;15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;3.485;2.648;2.250;1.945
66;15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;5.827;3.603;3.463;2.520
67;15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;2.659;1.733;1.258;983
68;15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;4.388;2.599;2.314;1.180
69;15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;4.274;3.162;2.642;1.538
70;15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI BAHAR;2.246;1.027;768;606
71;15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI GELAM;6.565;3.641;3.177;2.219
72;15;JAMBI;1505;MUARO JAMBI;150511;TAMAN RAJO;1.646;975;788;553
73;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;3.595;2.123;2.125;1.199
74;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;3.838;3.285;3.218;2.419
75;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;2.778;2.807;2.716;2.687
76;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;2.454;2.425;2.378;2.375
77;15;JAMBI;1506;TANJUNG JABUNG BARAT;150605;MERLUNG;1.480;585;411;324
78;15;JAMBI;1506;TANJUNG JABUNG BARAT;150609;MUARA PAPALIK;1.060;408;241;89
79;15;JAMBI;1506;TANJUNG JABUNG BARAT;150603;PENGABUAN;4.365;4.363;4.277;4.324
80;15;JAMBI;1506;TANJUNG JABUNG BARAT;150608;RENAH MENDALUH;1.545;1.199;1.171;653
81;15;JAMBI;1506;TANJUNG JABUNG BARAT;150610;SEBERANG KOTA;1.496;1.396;1.231;1.458
82;15;JAMBI;1506;TANJUNG JABUNG BARAT;150613;SENYERANG;4.427;4.392;4.413;3.901
83;15;JAMBI;1506;TANJUNG JABUNG BARAT;150606;TEBING TINGGI;3.467;3.342;2.890;997
84;15;JAMBI;1506;TANJUNG JABUNG BARAT;150602;TUNGKAL ILIR;6.418;6.491;5.584;5.114
85;15;JAMBI;1506;TANJUNG JABUNG BARAT;150601;TUNGKAL ULU;1.372;562;480;241
86;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150711;BERBAK;1.370;1.195;581;555
87;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150706;DENDANG;1.943;1.674;1.371;1.004
88;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150710;GERAGAI;2.927;1.974;1.522;978
89;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150708;KUALA JAMBI;2.285;2.219;1.858;1.787
90;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150703;MENDAHARA;4.345;4.245;4.131;3.235
91;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150709;MENDAHARA ULU;2.281;1.835;1.848;764
92;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150707;MUARA SABAK BARAT;2.343;1.486;1.071;794
93;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150701;MUARA SABAK TIMUR;4.014;3.372;3.247;2.055
94;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150702;NIPAH PANJANG;3.978;3.348;3.082;2.903
95;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150704;RANTAU RASAU;3.171;2.288;1.349;541
96;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150705;S A D U;1.776;1.530;1.341;1.118
97;15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;936;530;407;282
98;15;JAMBI;1508;BUNGO;150811;BATHIN III;2.352;1.324;1.122;911
99;15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;1.451;1.193;974;740
100;15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;1.384;860;689;486
