NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda_tidak_menggunakan_kb;pus_terlalu_tua_tidak_menggunakan_kb;pus_terlalu_dekat_tidak_menggunakan_kb;pus_terlalu_banyak_tidak_menggunakan_kb
1;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;65;0;30;2;30;0;6
2;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;164;3;36;4;96;0;37
3;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;841;583;320;19;79;0;29
4;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;284;40;163;6;89;4;52
5;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;512;149;252;19;161;3;74
6;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;212;15;96;7;94;0;26
7;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;405;75;169;4;119;7;91
8;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;264;7;145;9;83;2;41
9;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;551;55;441;25;76;2;40
10;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;176;38;79;9;59;1;31
11;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;270;10;178;16;50;1;33
12;15;JAMBI;1501;KERINCI;150109;KAYU ARO;1.011;184;715;28;179;4;104
13;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;482;194;169;20;92;2;55
14;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;113;5;26;5;56;3;32
15;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;404;11;302;7;103;1;28
16;15;JAMBI;1501;KERINCI;150116;SIULAK;850;38;666;40;136;1;47
17;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;409;6;362;11;48;1;5
18;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;254;4;133;2;102;3;34
19;15;JAMBI;1502;MERANGIN;150202;BANGKO;786;90;67;12;454;12;263
20;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;668;513;135;5;82;3;57
21;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;432;79;165;9;146;1;137
22;15;JAMBI;1502;MERANGIN;150201;JANGKAT;302;25;55;44;132;1;101
23;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;633;191;462;42;56;0;45
24;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;465;27;369;35;57;1;15
25;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;537;190;372;44;46;1;37
26;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;300;74;138;18;78;0;53
27;15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;436;27;116;4;246;3;100
28;15;JAMBI;1502;MERANGIN;150206;PAMENANG;991;294;465;21;235;3;100
29;15;JAMBI;1502;MERANGIN;150213;PAMENANG BARAT;459;150;190;20;129;1;80
30;15;JAMBI;1502;MERANGIN;150220;PAMENANG SELATAN;394;163;229;8;64;1;49
31;15;JAMBI;1502;MERANGIN;150217;PANGKALAN JAMBU;125;7;59;11;39;2;15
32;15;JAMBI;1502;MERANGIN;150219;RENAH PAMENANG;183;47;26;6;90;0;31
33;15;JAMBI;1502;MERANGIN;150216;RENAH PEMBARAP;504;165;249;18;107;5;116
34;15;JAMBI;1502;MERANGIN;150204;SUNGAI MANAU;567;154;327;17;80;1;78
35;15;JAMBI;1502;MERANGIN;150205;TABIR;2.054;767;1.469;36;262;1;163
36;15;JAMBI;1502;MERANGIN;150223;TABIR BARAT;582;223;413;7;91;1;52
37;15;JAMBI;1502;MERANGIN;150214;TABIR ILIR;440;102;372;14;42;2;18
38;15;JAMBI;1502;MERANGIN;150222;TABIR LINTAS;276;70;152;6;62;0;29
39;15;JAMBI;1502;MERANGIN;150208;TABIR SELATAN;681;212;164;19;245;4;151
40;15;JAMBI;1502;MERANGIN;150215;TABIR TIMUR;526;258;243;13;70;0;46
41;15;JAMBI;1502;MERANGIN;150207;TABIR ULU;697;254;567;20;49;1;48
42;15;JAMBI;1502;MERANGIN;150224;TIANG PUMPUNG;114;42;63;7;30;0;9
43;15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;1.275;578;532;17;268;2;181
44;15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;2.412;1.531;1.540;39;245;3;295
45;15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;524;122;213;10;203;0;100
46;15;JAMBI;1503;SAROLANGUN;150310;CERMIN NAN GEDANG;395;145;220;27;69;0;74
47;15;JAMBI;1503;SAROLANGUN;150302;LIMUN;874;322;575;9;90;1;78
48;15;JAMBI;1503;SAROLANGUN;150306;MANDIANGIN;1.066;387;575;22;336;2;206
49;15;JAMBI;1503;SAROLANGUN;150311;MANDIANGIN TIMUR;245;64;75;8;118;1;41
50;15;JAMBI;1503;SAROLANGUN;150304;PAUH;1.135;631;300;18;218;3;173
51;15;JAMBI;1503;SAROLANGUN;150305;PELAWAN;1.050;246;352;15;369;17;282
52;15;JAMBI;1503;SAROLANGUN;150303;SAROLANGUN;1.745;314;446;33;703;13;574
53;15;JAMBI;1503;SAROLANGUN;150309;SINGKUT;894;241;307;17;295;3;182
54;15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;1.677;1.148;481;25;280;5;166
55;15;JAMBI;1504;BATANGHARI;150404;BATIN XXIV;1.322;453;644;15;302;4;166
56;15;JAMBI;1504;BATANGHARI;150408;MARO SEBO ILIR;456;128;178;9;127;2;77
57;15;JAMBI;1504;BATANGHARI;150406;MARO SEBO ULU;2.011;355;1.346;70;334;3;251
58;15;JAMBI;1504;BATANGHARI;150401;MERSAM;564;134;225;17;182;2;106
59;15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;2.619;1.090;452;39;860;25;685
60;15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;1.221;522;431;44;293;11;216
61;15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;1.282;546;372;35;340;7;282
62;15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;402;60;154;10;125;2;93
63;15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;310;47;79;10;124;7;103
64;15;JAMBI;1505;MUARO JAMBI;150501;JAMBI LUAR KOTA;2.450;564;563;24;931;27;764
65;15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;1.945;102;1.718;27;175;1;92
66;15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;2.520;775;704;15;904;12;671
67;15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;983;726;278;24;96;1;70
68;15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;1.180;511;434;19;385;8;178
69;15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;1.538;522;309;8;582;5;422
70;15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI BAHAR;606;73;71;18;290;5;238
71;15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI GELAM;2.219;526;380;12;970;10;685
72;15;JAMBI;1505;MUARO JAMBI;150511;TAMAN RAJO;553;263;77;12;135;4;127
73;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;1.199;182;399;23;451;12;432
74;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;2.419;1.914;440;6;339;4;205
75;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;2.687;2.503;697;11;199;3;147
76;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;2.375;2.361;628;16;112;2;66
