NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_kecamatan;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda_tidak_menggunakan_kb;pus_terlalu_tua_tidak_menggunakan_kb;pus_terlalu_dekat_tidak_menggunakan_kb;pus_terlalu_banyak_tidak_menggunakan_kb
1;15;JAMBI;1501;KERINCI;AIR HANGAT;11.231;2.203;7.569;127;1.992;22;1.321
2;15;JAMBI;1502;MERANGIN;AIR HANGAT BARAT;22.909;9.013;13.871;188;3.123;31;2.867
3;15;JAMBI;1503;SAROLANGUN;AIR HANGAT TIMUR;17.638;6.099;10.620;135;3.176;37;3.316
4;15;JAMBI;1504;BATANGHARI;BATANG MERANGIN;15.708;5.621;7.511;101;3.064;34;2.977
5;15;JAMBI;1505;MUARO JAMBI;BUKITKERMAN;21.491;6.741;8.747;78;5.449;67;5.065
6;15;JAMBI;1506;TANJUNG JABUNG BARAT;DANAU KERINCI;31.135;21.753;13.479;73;4.159;52;4.004
7;15;JAMBI;1507;TANJUNG JABUNG TIMUR;DANAU KERINCI BARAT;21.401;14.709;10.192;82;2.593;24;2.147
8;15;JAMBI;1508;BUNGO;DEPATI TUJUH;19.413;4.996;11.526;162;4.000;43;4.078
9;15;JAMBI;1509;TEBO;GUNUNG KERINCI;14.153;4.292;7.421;137;3.073;24;2.500
10;15;JAMBI;1571;KOTA JAMBI;GUNUNG RAYA;13.608;985;3.010;27;6.640;91;4.532
11;15;JAMBI;1572;KOTA SUNGAI PENUH;GUNUNG TUJUH;3.251;257;2.089;24;775;9;624
