NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda_tidak_menggunakan_kb;pus_terlalu_tua_tidak_menggunakan_kb;pus_terlalu_dekat_tidak_menggunakan_kb;pus_terlalu_banyak_tidak_menggunakan_kb
;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;303;17;184;10;433;4;320
;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;180;6;87;20;374;0;325
;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;1.671;1.152;637;61;827;2;511
;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;766;116;561;27;598;12;647
;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;668;180;351;43;564;12;584
;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;536;34;224;18;638;12;656
;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;566;121;229;10;450;8;442
;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;514;6;240;22;655;7;686
;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;1.504;343;1.326;81;547;5;701
;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;374;114;187;13;321;4;347
;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;733;71;514;71;807;7;937
;15;JAMBI;1501;KERINCI;150109;KAYU ARO;1.417;265;1.000;83;1.075;8;999
;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;726;250;272;47;940;18;744
;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;1.069;147;834;20;546;7;355
;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;522;18;345;11;398;10;294
;15;JAMBI;1501;KERINCI;150116;SIULAK;1.569;79;1.264;112;1.037;10;912
;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;880;130;743;66;480;6;363
;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;538;18;358;9;359;7;235
;15;JAMBI;1502;MERANGIN;150202;BANGKO;1.851;278;827;32;2.037;38;2.257
;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;803;548;206;23;533;6;593
;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;586;75;307;9;464;11;682
;15;JAMBI;1502;MERANGIN;150201;JANGKAT;1.135;850;408;64;431;6;600
;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;1.408;868;792;71;401;3;739
;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;1.670;1.196;778;50;637;9;796
;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;994;388;648;98;722;8;581
;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;998;452;758;47;468;7;704
;15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;1.283;361;801;57;811;22;982
;15;JAMBI;1502;MERANGIN;150206;PAMENANG;2.078;443;1.330;50;1.663;21;1.702
;15;JAMBI;1502;MERANGIN;150213;PAMENANG BARAT;1.118;522;467;62;958;16;1.005
;15;JAMBI;1502;MERANGIN;150220;PAMENANG SELATAN;525;170;244;33;504;11;615
;15;JAMBI;1502;MERANGIN;150217;PANGKALAN JAMBU;368;101;208;22;311;2;470
;15;JAMBI;1502;MERANGIN;150219;RENAH PAMENANG;406;97;95;20;751;16;684
;15;JAMBI;1502;MERANGIN;150216;RENAH PEMBARAP;766;264;397;74;526;16;1.013
;15;JAMBI;1502;MERANGIN;150204;SUNGAI MANAU;1.136;532;570;53;487;14;935
;15;JAMBI;1502;MERANGIN;150205;TABIR;2.787;997;2.246;101;1.307;18;1.646
;15;JAMBI;1502;MERANGIN;150223;TABIR BARAT;1.416;768;1.102;12;449;2;615
;15;JAMBI;1502;MERANGIN;150214;TABIR ILIR;825;159;696;55;530;2;431
;15;JAMBI;1502;MERANGIN;150222;TABIR LINTAS;539;112;337;19;374;6;386
;15;JAMBI;1502;MERANGIN;150208;TABIR SELATAN;1.204;396;414;25;1.537;32;1.441
;15;JAMBI;1502;MERANGIN;150215;TABIR TIMUR;649;310;324;37;418;2;363
;15;JAMBI;1502;MERANGIN;150207;TABIR ULU;911;392;755;44;401;3;485
;15;JAMBI;1502;MERANGIN;150224;TIANG PUMPUNG;343;223;185;25;224;3;259
;15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;1.438;662;827;23;1.076;16;1.076
;15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;2.793;2.002;1.877;86;703;29;1.422
;15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;1.254;196;859;38;1.028;23;1.002
;15;JAMBI;1503;SAROLANGUN;150310;CERMIN NAN GEDANG;766;260;538;40;536;22;971
;15;JAMBI;1503;SAROLANGUN;150302;LIMUN;1.714;618;1.125;76;788;16;1.398
