NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda_tidak_menggunakan_kb;pus_terlalu_tua_tidak_menggunakan_kb;pus_terlalu_dekat_tidak_menggunakan_kb;pus_terlalu_banyak_tidak_menggunakan_kb
;15;JAMBI;1501;KERINCI;14.536;3.067;9.356;724;11.049;139;10.058
;15;JAMBI;1502;MERANGIN;25.799;10.502;14.895;1.083;16.944;274;19.984
;15;JAMBI;1503;SAROLANGUN;19.822;7.049;11.495;588;12.899;277;17.075
;15;JAMBI;1504;BATANGHARI;17.139;6.009;7.906;441;12.377;262;15.648
;15;JAMBI;1505;MUARO JAMBI;24.520;8.386;9.800;323;19.260;394;21.800
;15;JAMBI;1506;TANJUNG JABUNG BARAT;33.378;23.710;14.263;372;13.802;318;16.298
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;25.166;18.489;11.540;286;10.314;192;11.382
;15;JAMBI;1508;BUNGO;22.702;5.975;13.196;786;15.636;338;19.809
;15;JAMBI;1509;TEBO;19.666;7.058;9.929;596;15.834;245;17.212
;15;JAMBI;1571;KOTA JAMBI;17.549;1.380;4.012;120;21.881;666;24.120
;15;JAMBI;1572;KOTA SUNGAI PENUH;4.482;437;2.863;90;3.681;67;4.157
