NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda;pus_terlalu_tua;pus_terlalu_dekat;pus_terlalu_banyak
;15;JAMBI;1501;KERINCI;24.674;2.620;8.305;546;11.219;539;9.661
;15;JAMBI;1502;MERANGIN;42.496;11.160;13.521;1.259;16.634;310;20.064
;15;JAMBI;1503;SAROLANGUN;29.851;6.419;7.128;526;12.872;1.054;16.020
;15;JAMBI;1504;BATANGHARI;27.745;5.925;6.117;405;12.086;689;13.578
;15;JAMBI;1505;MUARO JAMBI;40.511;8.272;6.059;273;19.317;1.413;19.691
;15;JAMBI;1506;TANJUNG JABUNG BARAT;38.295;22.879;8.988;334;13.601;841;15.308
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;30.433;19.301;10.629;287;10.053;318;10.947
;15;JAMBI;1508;BUNGO;33.263;5.450;8.604;599;14.658;811;17.183
;15;JAMBI;1509;TEBO;34.068;6.665;7.698;471;15.568;749;16.866
;15;JAMBI;1571;KOTA JAMBI;39.444;1.469;1.355;139;21.959;1.377;21.781
;15;JAMBI;1572;KOTA SUNGAI PENUH;7.920;483;1.610;58;3.777;197;4.138
