NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4;peringkat_kesejahteraan_belum_diketahui
;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;109;9;8;13;9;69;1
;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;155;14;16;24;20;68;13
;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;1.172;231;169;163;108;420;81
;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;564;85;79;58;38;291;13
;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;615;171;92;74;50;228;0
;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;300;51;46;48;26;114;15
;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;507;67;74;77;61;228;0
;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;468;88;68;52;52;181;27
;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;1.305;278;201;205;150;443;28
;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;340;96;53;43;22;112;14
;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;669;66;75;96;100;244;88
;15;JAMBI;1501;KERINCI;150109;KAYU ARO;1.359;187;186;208;171;574;33
;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;513;47;60;60;71;227;48
;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;620;47;45;70;57;348;53
;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;473;98;95;84;49;138;9
;15;JAMBI;1501;KERINCI;150116;SIULAK;1.146;234;168;162;110;419;53
;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;548;141;91;83;31;132;70
;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;368;68;37;52;37;163;11
;15;JAMBI;1502;MERANGIN;150202;BANGKO;1.567;58;163;150;137;1.019;40
;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;782;134;230;115;85;203;15
;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;565;83;99;69;58;256;0
;15;JAMBI;1502;MERANGIN;150201;JANGKAT;1.079;201;287;140;121;250;80
;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;1.325;575;390;157;95;108;0
;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;1.629;427;452;250;157;343;0
;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;732;177;191;119;71;110;64
;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;896;315;263;103;63;133;19
;15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;1.435;239;268;164;137;354;273
;15;JAMBI;1502;MERANGIN;150206;PAMENANG;1.630;204;319;271;201;575;60
;15;JAMBI;1502;MERANGIN;150213;PAMENANG BARAT;926;156;190;130;97;284;69
;15;JAMBI;1502;MERANGIN;150220;PAMENANG SELATAN;430;98;112;68;49;84;19
;15;JAMBI;1502;MERANGIN;150217;PANGKALAN JAMBU;366;29;49;53;49;186;0
;15;JAMBI;1502;MERANGIN;150219;RENAH PAMENANG;250;21;41;43;34;109;2
;15;JAMBI;1502;MERANGIN;150216;RENAH PEMBARAP;601;174;152;80;42;128;25
;15;JAMBI;1502;MERANGIN;150204;SUNGAI MANAU;964;251;249;128;86;240;10
;15;JAMBI;1502;MERANGIN;150205;TABIR;2.735;710;729;393;310;593;0
;15;JAMBI;1502;MERANGIN;150223;TABIR BARAT;1.379;367;457;178;138;239;0
;15;JAMBI;1502;MERANGIN;150214;TABIR ILIR;596;166;134;72;32;169;23
;15;JAMBI;1502;MERANGIN;150222;TABIR LINTAS;370;59;96;57;33;100;25
;15;JAMBI;1502;MERANGIN;150208;TABIR SELATAN;1.089;57;161;183;139;495;54
;15;JAMBI;1502;MERANGIN;150215;TABIR TIMUR;616;101;175;81;61;168;30
;15;JAMBI;1502;MERANGIN;150207;TABIR ULU;750;350;191;60;26;93;30
;15;JAMBI;1502;MERANGIN;150224;TIANG PUMPUNG;197;79;51;22;13;24;8
;15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;1.611;161;237;224;225;467;297
;15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;2.748;554;529;399;365;858;43
;15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;1.193;102;92;105;128;755;11
;15;JAMBI;1503;SAROLANGUN;150310;CERMIN NAN GEDANG;430;120;76;45;43;107;39
;15;JAMBI;1503;SAROLANGUN;150302;LIMUN;1.054;241;228;158;147;262;18
;15;JAMBI;1503;SAROLANGUN;150306;MANDIANGIN;2.108;351;317;295;246;805;94
;15;JAMBI;1503;SAROLANGUN;150311;MANDIANGIN TIMUR;972;284;215;153;118;202;0
;15;JAMBI;1503;SAROLANGUN;150304;PAUH;1.334;342;275;176;136;322;83
;15;JAMBI;1503;SAROLANGUN;150305;PELAWAN;1.554;314;260;199;199;559;23
;15;JAMBI;1503;SAROLANGUN;150303;SAROLANGUN;2.826;196;288;302;327;1.564;149
;15;JAMBI;1503;SAROLANGUN;150309;SINGKUT;1.808;323;292;188;197;606;202
;15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;2.383;212;360;411;296;1.064;40
;15;JAMBI;1504;BATANGHARI;150404;BATIN XXIV;1.728;298;331;303;236;441;119
;15;JAMBI;1504;BATANGHARI;150408;MARO SEBO ILIR;650;58;98;94;74;197;129
;15;JAMBI;1504;BATANGHARI;150406;MARO SEBO ULU;3.119;839;646;523;281;702;128
;15;JAMBI;1504;BATANGHARI;150401;MERSAM;1.008;121;182;192;125;382;6
;15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;3.677;436;527;579;439;1.574;122
;15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;1.515;257;323;227;183;451;74
;15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;1.628;352;337;311;192;399;37
;15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;825;98;133;93;114;381;6
;15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;555;63;101;61;100;202;28
;15;JAMBI;1505;MUARO JAMBI;150501;JAMBI LUAR KOTA;3.451;243;420;369;407;1.819;193
;15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;2.250;176;336;241;268;1.177;52
;15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;3.463;201;444;376;505;1.937;0
;15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;1.258;201;303;187;163;350;54
;15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;2.314;311;418;284;349;879;73
;15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;2.642;278;417;347;358;1.220;22
;15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI BAHAR;768;33;106;101;102;337;89
;15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI GELAM;3.177;169;431;336;402;1.732;107
;15;JAMBI;1505;MUARO JAMBI;150511;TAMAN RAJO;788;88;118;89;112;344;37
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;2.125;228;255;245;310;968;119
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;3.218;433;679;562;603;874;67
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;2.716;530;580;450;372;607;177
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;2.378;498;534;475;427;299;145
