NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4;peringkat_kesejahteraan_belum_diketahui
;15;JAMBI;1501;KERINCI;11.231;1.978;1.563;1.572;1.162;4.399;557
;15;JAMBI;1502;MERANGIN;22.909;5.031;5.449;3.086;2.234;6.263;846
;15;JAMBI;1503;SAROLANGUN;17.638;2.988;2.809;2.244;2.131;6.507;959
;15;JAMBI;1504;BATANGHARI;15.708;2.573;2.804;2.640;1.826;5.210;655
;15;JAMBI;1505;MUARO JAMBI;21.491;1.861;3.227;2.484;2.880;10.378;661
;15;JAMBI;1506;TANJUNG JABUNG BARAT;31.135;5.489;6.208;5.348;4.602;7.984;1.504
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;21.401;3.627;2.687;2.960;3.193;7.956;978
;15;JAMBI;1508;BUNGO;19.413;2.820;2.705;2.777;2.193;8.043;875
;15;JAMBI;1509;TEBO;14.153;1.764;2.631;1.581;1.406;5.847;924
;15;JAMBI;1571;KOTA JAMBI;13.608;1.535;1.315;1.463;1.318;6.951;1.026
;15;JAMBI;1572;KOTA SUNGAI PENUH;3.251;166;241;357;435;1.735;317
