NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4
;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;303;28;25;36;30;184
;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;180;17;25;25;21;92
;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;1671;411;265;232;162;601
;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;766;80;81;71;61;473
;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;668;176;94;77;55;266
;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;536;90;64;74;52;256
;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;566;65;77;82;67;275
;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;514;92;69;53;51;249
;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;1.504;302;231;223;177;571
;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;374;81;59;46;21;167
;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;733;96;104;112;114;307
;15;JAMBI;1501;KERINCI;150109;KAYU ARO;1.417;204;194;220;169;630
;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;726;48;86;112;99;381
;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;1.069;78;86;112;114;679
;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;522;83;96;79;50;214
;15;JAMBI;1501;KERINCI;150116;SIULAK;1.569;306;237;218;165;643
;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;880;274;168;153;59;226
;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;538;80;60;72;56;270
;15;JAMBI;1502;MERANGIN;150202;BANGKO;1.851;70;196;191;170;1.224
;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;803;136;244;108;92;223
;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;586;73;98;62;59;294
;15;JAMBI;1502;MERANGIN;150201;JANGKAT;1.135;229;341;168;136;261
;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;1.408;603;421;170;107;107
;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;1.670;428;462;256;152;372
;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;994;196;250;159;129;260
;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;998;389;288;125;62;134
;15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;1.283;392;350;151;121;269
;15;JAMBI;1502;MERANGIN;150206;PAMENANG;2.078;247;407;342;269;813
