NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4
;15;JAMBI;1501;KERINCI;14.536;2.511;2.021;1.997;1.523;6.484
;15;JAMBI;1502;MERANGIN;25.799;5.639;6.332;3.573;2.611;7.644
;15;JAMBI;1503;SAROLANGUN;19.822;3.438;3.304;2.566;2.428;8.086
;15;JAMBI;1504;BATANGHARI;17.139;2.658;2.991;2.884;1.985;6.621
;15;JAMBI;1505;MUARO JAMBI;24.520;2.060;3.744;2.775;3.208;12.733
;15;JAMBI;1506;TANJUNG JABUNG BARAT;33.378;5.735;6.633;5.862;5.012;10.136
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;25.166;4.489;3.269;3.593;3.886;9.929
;15;JAMBI;1508;BUNGO;22.702;3.137;3.182;3.269;2.644;10.470
;15;JAMBI;1509;TEBO;19.666;2.389;3.808;2.341;2.067;9.061
;15;JAMBI;1571;KOTA JAMBI;17.549;2.278;1.854;1.974;1.674;9.769
;15;JAMBI;1572;KOTA SUNGAI PENUH;4.482;261;357;515;642;2.707
;;;;;;;;;;
