NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;indikator;sub_indikator;nama_indikator;terget;capaian;periode
;15;JAMBI;1501;KERINCI;PILAR 2;PILAR 2C1;TERLAKSANANYA FORUM KOMUNIKASI PERUBAHAN PERILAKU DALAM PENURUNAN STUNTING LINTAS AGAMA;100;100;SEMESTER I (2024)
;15;JAMBI;1502;MERANGIN;PILAR 2;PILAR 2C1;TERLAKSANANYA FORUM KOMUNIKASI PERUBAHAN PERILAKU DALAM PENURUNAN STUNTING LINTAS AGAMA;100;100;SEMESTER I (2024)
;15;JAMBI;1503;SAROLANGUN;PILAR 2;PILAR 2C1;TERLAKSANANYA FORUM KOMUNIKASI PERUBAHAN PERILAKU DALAM PENURUNAN STUNTING LINTAS AGAMA;100;100;SEMESTER I (2024)
;15;JAMBI;1504;BATANGHARI;PILAR 2;PILAR 2C1;TERLAKSANANYA FORUM KOMUNIKASI PERUBAHAN PERILAKU DALAM PENURUNAN STUNTING LINTAS AGAMA;100;100;SEMESTER I (2024)
;15;JAMBI;1505;MUARO JAMBI;PILAR 2;PILAR 2C1;TERLAKSANANYA FORUM KOMUNIKASI PERUBAHAN PERILAKU DALAM PENURUNAN STUNTING LINTAS AGAMA;100;100;SEMESTER I (2024)
;15;JAMBI;1506;TANJUNG JABUNG BARAT;PILAR 2;PILAR 2C1;TERLAKSANANYA FORUM KOMUNIKASI PERUBAHAN PERILAKU DALAM PENURUNAN STUNTING LINTAS AGAMA;100;100;SEMESTER I (2024)
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;PILAR 2;PILAR 2C1;TERLAKSANANYA FORUM KOMUNIKASI PERUBAHAN PERILAKU DALAM PENURUNAN STUNTING LINTAS AGAMA;100;100;SEMESTER I (2024)
;15;JAMBI;1508;BUNGO;PILAR 2;PILAR 2C1;TERLAKSANANYA FORUM KOMUNIKASI PERUBAHAN PERILAKU DALAM PENURUNAN STUNTING LINTAS AGAMA;100;100;SEMESTER I (2024)
;15;JAMBI;1509;TEBO;PILAR 2;PILAR 2C1;TERLAKSANANYA FORUM KOMUNIKASI PERUBAHAN PERILAKU DALAM PENURUNAN STUNTING LINTAS AGAMA;100;100;SEMESTER I (2024)
;15;JAMBI;1571;KOTA JAMBI;PILAR 2;PILAR 2C1;TERLAKSANANYA FORUM KOMUNIKASI PERUBAHAN PERILAKU DALAM PENURUNAN STUNTING LINTAS AGAMA;100;100;SEMESTER I (2024)
;15;JAMBI;1572;KOTA SUNGAI PENUH;PILAR 2;PILAR 2C1;TERLAKSANANYA FORUM KOMUNIKASI PERUBAHAN PERILAKU DALAM PENURUNAN STUNTING LINTAS AGAMA;100;100;SEMESTER I (2024)
;15;JAMBI;1501;KERINCI;PILAR 5;PILAR 5A6;TERSELENGGARANYA PEMANTAUAN DAN EVALUASI PERCEPATAN PENURUNAN STUNTING DI PEMERINTAH DAERAH KABUPATEN/KOTA;100;100;SEMESTER I (2024)
;15;JAMBI;1502;MERANGIN;PILAR 5;PILAR 5A6;TERSELENGGARANYA PEMANTAUAN DAN EVALUASI PERCEPATAN PENURUNAN STUNTING DI PEMERINTAH DAERAH KABUPATEN/KOTA;100;100;SEMESTER I (2024)
