NO;kode_provinsi;nama_provinsi;indikator;sub_indikator;nama_indikator;terget;capaian;periode
;15;JAMBI;SPESIFIK;SPESIFIK1;IBU HAMIL KEK YANG MENDAPATKAN TAMBAHAN ASUPAN GIZI;90;82,1;TRIWULAN II (2024)
;15;JAMBI;SPESIFIK;SPESIFIK2;BUMIL KONSUMSI TTD MINIMAL 90 TABLET;80;85,4;TRIWULAN II (2024)
;15;JAMBI;SPESIFIK;SPESIFIK3;REMAJA PUTRI KONSUMSI TTD;58;30,7;TRIWULAN II (2024)
;15;JAMBI;SPESIFIK;SPESIFIK4;BAYI <6 BULAN  ASI EKSKLUSIF;80;75,5;TRIWULAN II (2024)
;15;JAMBI;SPESIFIK;SPESIFIK5;ANAK 6-23 BULAN MENDAPAT MP-ASI;80;92,9;TRIWULAN II (2024)
;15;JAMBI;SPESIFIK;SPESIFIK6;BALITA GIZI BURUK DITATALAKSANA;90;94,4;TRIWULAN II (2024)
;15;JAMBI;SPESIFIK;SPESIFIK7;BALITA DIPANTAU TUMBUH KEMBANG;90;64,2;TRIWULAN II (2024)
;15;JAMBI;SPESIFIK;SPESIFIK8;BALITA GIZI KURANG DAPAT ASUPAN GIZI;90;79,1;TRIWULAN II (2024)
;15;JAMBI;SPESIFIK;SPESIFIK9;BALITA IMUNISASI DASAR LENGKAP;90;80,41;TRIWULAN II (2024)
;15;JAMBI;SENSITIF;SENSITIF1;PERSENTASE PELAYANAN KELUARGA BERENCANA (KB) PASCAPERSALINAN;70;75,9724174;SEMESTER I (2024)
;15;JAMBI;SENSITIF;SENSITIF1;PERSENTASE PELAYANAN KELUARGA BERENCANA (KB) PASCAPERSALINAN;70;61,82;SEMESTER I (2024)
;15;JAMBI;SENSITIF;SENSITIF2;PERSENTASE KEHAMILAN YANG TIDAK DIINGINKAN;15,5;8,238993372;SEMESTER I (2024)
;15;JAMBI;SENSITIF;SENSITIF3;CAKUPAN CALON PASANGAN USIA SUBUR (PUS) YANG MEMPEROLEH PEMERIKSAAN KESEHATAN SEBAGAI BAGIAN DARI PELAYANAN NIKAH;90;78,52515244;SEMESTER I (2024)
;15;JAMBI;SENSITIF;SENSITIF4;PERSENTASE RUMAH TANGGA YANG MENDAPATKAN AKSES AIR MINUM LAYAK DI KABUPATEN/KOTA LOKASI PRIORITAS;100;66,74545455;SEMESTER I (2024)
;15;JAMBI;SENSITIF;SENSITIF5;PERSENTASE RUMAH TANGGA YANG MENDAPATKAN AKSES SANITASI (AIR LIMBAH DOMESTIK) LAYAK DI KABUPATEN/KOTA LOKASI PRIORITAS;90;69,29454545;SEMESTER I (2024)
;15;JAMBI;SENSITIF;SENSITIF6;CAKUPAN BANTUAN JAMINAN NASIONAL PENERIMA BANTUAN IURAN (PBI) KESEHATAN (JUTA);-;1524401;SEMESTER I (2024)
;15;JAMBI;SENSITIF;SENSITIF7;CAKUPAN KELUARGA BERISIKO STUNTING YANG MEMPEROLEH PENDAMPINGAN;90;43,4754788;SEMESTER I (2024)
;15;JAMBI;SENSITIF;SENSITIF8;JUMLAH KELUARGA MISKIN DAN RENTAN YANG MEMPEROLEH BANTUAN TUNAI BERSYARAT;-;45,73818182;SEMESTER I (2024)
;15;JAMBI;SENSITIF;SENSITIF9;PERSENTASE TARGET SASARAN YANG MEMILIKI PEMAHAMAN YANG BAIK TENTANG STUNTING DI LOKASI PRIORITAS;70;82,9;SEMESTER I (2024)
;15;JAMBI;SENSITIF;SENSITIF10;JUMLAH KELUARGA MISKIN DAN RENTAN YANG MENERIMA BANTUAN SOSIAL PANGAN;-;41,82272727;SEMESTER I (2024)
;15;JAMBI;SENSITIF;SENSITIF11;PERSENTASE DESA/KELURAHAN STOP BUANG AIR BESAR SEMBARANGAN (BABS) ATAU OPEN DEFECATION FREE (ODF);90;71;SEMESTER I (2024)
;15;JAMBI;PILAR 1;PILAR 1A4;TERSEDIANYA KEBIJAKAN/PERATURAN BUPATI/WALIKOTA TENTANG KEWENANGAN DESA/KELURAHAN DALAM PENURUNAN STUNTING;100;100;SEMESTER I (2024)
;15;JAMBI;PILAR 1;PILAR 1A8;PERSENTASE PEMERINTAH DAERAH KABUPATEN/KOTA YANG MENINGKATKAN ALOKASI ANGGARAN PENDAPATAN DAN BELANJA DAERAH UNTUK PERCEPATAN PENURUNAN STUNTING;100;100;SEMESTER I (2024)
;15;JAMBI;PILAR 2;PILAR 2B1;JUMLAH KABUPATEN/KOTA YANG MEMILIKI MINIMAL 20 TENAGA PELATIH BERJENJANG TINGKAT DASAR SERTA PENDIDIKAN DAN PELATIHAN PENGASUHAN STIMULASI PENANGANAN STUNTING BAGI GURU PENDIDIKAN ANAK USIA DINI (PAUD);100;100;SEMESTER I (2024)
;15;JAMBI;PILAR 3;PILAR 3A2;PERSENTASE KABUPATEN/KOTA YANG MELAKSANAKAN AKSI KONVERGENSI PERCEPATAN PENURUNAN STUNTING;100;100;SEMESTER I (2024)
;15;JAMBI;PILAR 3;PILAR 3A14;PERSENTASE KABUPATEN/KOTA YANG MENGINTERVENSI KEAMANAN PANGAN UNTUK MENDUKUNG PERCEPATAN PENURUNAN STUNTING;100;100;SEMESTER I (2024)
;15;JAMBI;PILAR 3;PILAR 3A15;PERSENTASE KABUPATEN/KOTA YANG MENDAPATKAN FASILITASI SEBAGAI DAERAH RAMAH PEREMPUAN DAN LAYAK ANAK DALAM PERCEPATAN PENURUNAN STUNTING;100;81,82;SEMESTER I (2024)
;15;JAMBI;PILAR 3;PILAR 3B5;PERSENTASE KABUPATEN/KOTA DENGAN AGE SPESIFIC FERTILITY RATE /ASFR (15-19) PALING SEDIKIT 18 PER 1000;90;9,09;SEMESTER I (2024)
;15;JAMBI;PILAR 5;PILAR 5A5;TERSELENGGARANYA PEMANTAUAN DAN EVALUASI PERCEPATAN PENURUNAN STUNTING DI PEMERINTAH DAERAH PROVINSI;2;100;SEMESTER I (2024)
