NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;tahun;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4;peringkat_kesejahteraan_belum_diketahui
1;15;JAMBI;1501;KERINCI;2021;24.674;3.602;3.473;3.673;3.006;10.884;36
2;15;JAMBI;1502;MERANGIN;2021;42.496;7.673;10.766;6.879;5.127;12.043;8
3;15;JAMBI;1503;SAROLANGUN;2021;29.851;4.846;5.474;4.443;4.278;10.788;22
4;15;JAMBI;1504;BATANGHARI;2021;27.745;4.542;5.549;5.398;3.671;8.524;61
5;15;JAMBI;1505;MUARO JAMBI;2021;40.511;3.262;6.927;5.392;6.234;18.601;95
6;15;JAMBI;1506;TANJUNG JABUNG BARAT;2021;38.295;6.200;7.456;7.040;6.297;10.986;316
7;15;JAMBI;1507;TANJUNG JABUNG TIMUR;2021;30.433;5.224;3.895;4.514;4.953;11.823;24
8;15;JAMBI;1508;BUNGO;2021;33.263;4.279;4.865;5.637;4.811;13.628;43
9;15;JAMBI;1509;TEBO;2021;34.068;4.071;7.047;4.650;4.162;14.108;30
10;15;JAMBI;1571;KOTA JAMBI;2021;39.444;5.916;4.854;4.899;4.532;19.150;93
11;15;JAMBI;1572;KOTA SUNGAI PENUH;2021;7.920;470;698;1.073;1.289;4.370;20
12;15;JAMBI;1501;KERINCI;2022;14.536;2.511;2.021;1.997;1.523;6.484;0
13;15;JAMBI;1502;MERANGIN;2022;25.799;5.639;6.332;3.573;2.611;7.644;0
14;15;JAMBI;1503;SAROLANGUN;2022;19.822;3.438;3.304;2.566;2.428;8.086;0
15;15;JAMBI;1504;BATANGHARI;2022;17.139;2.658;2.991;2.884;1.985;6.621;0
16;15;JAMBI;1505;MUARO JAMBI;2022;24.520;2.060;3.744;2.775;3.208;12.733;0
17;15;JAMBI;1506;TANJUNG JABUNG BARAT;2022;33.378;5.735;6.633;5.862;5.012;10.136;0
18;15;JAMBI;1507;TANJUNG JABUNG TIMUR;2022;25.166;4.489;3.269;3.593;3.886;9.929;0
19;15;JAMBI;1508;BUNGO;2022;22.702;3.137;3.182;3.269;2.644;10.470;0
20;15;JAMBI;1509;TEBO;2022;19.666;2.389;3.808;2.341;2.067;9.061;0
21;15;JAMBI;1571;KOTA JAMBI;2022;17.549;2.278;1.854;1.974;1.674;9.769;0
22;15;JAMBI;1572;KOTA SUNGAI PENUH;2022;4.482;261;357;515;642;2.707;0
23;15;JAMBI;1501;KERINCI;2023;11.231;1.978;1.563;1.572;1.162;4.399;557
24;15;JAMBI;1502;MERANGIN;2023;22.909;5.031;5.449;3.086;2.234;6.263;846
25;15;JAMBI;1503;SAROLANGUN;2023;17.638;2.988;2.809;2.244;2.131;6.507;959
26;15;JAMBI;1504;BATANGHARI;2023;15.708;2.573;2.804;2.640;1.826;5.210;655
27;15;JAMBI;1505;MUARO JAMBI;2023;21.491;1.861;3.227;2.484;2.880;10.378;661
28;15;JAMBI;1506;TANJUNG JABUNG BARAT;2023;31.135;5.489;6.208;5.348;4.602;7.984;1.504
29;15;JAMBI;1507;TANJUNG JABUNG TIMUR;2023;21.401;3.627;2.687;2.960;3.193;7.956;978
30;15;JAMBI;1508;BUNGO;2023;19.413;2.820;2.705;2.777;2.193;8.043;875
31;15;JAMBI;1509;TEBO;2023;14.153;1.764;2.631;1.581;1.406;5.847;924
32;15;JAMBI;1571;KOTA JAMBI;2023;13.608;1.535;1.315;1.463;1.318;6.951;1.026
33;15;JAMBI;1572;KOTA SUNGAI PENUH;2023;3.251;166;241;357;435;1.735;317
34;15;JAMBI;1501;KERINCI;2024;7.267;1.380;1.321;709;662;2.778;417
35;15;JAMBI;1502;MERANGIN;2024;13.152;3.419;1.292;1.623;1.645;4.427;746
36;15;JAMBI;1503;SAROLANGUN;2024;11.615;2.306;1.498;1.538;1.227;4.600;446
37;15;JAMBI;1504;BATANGHARI;2024;11.152;2.080;1.787;1.463;1.124;4.160;538
38;15;JAMBI;1505;MUARO JAMBI;2024;14.706;1.761;1.226;1.000;2.263;7.967;489
39;15;JAMBI;1506;TANJUNG JABUNG BARAT;2024;25.781;4.874;5.310;3.060;2.903;8.988;646
40;15;JAMBI;1507;TANJUNG JABUNG TIMUR;2024;15.734;2.735;2.350;1.177;2.181;7.012;279
41;15;JAMBI;1508;BUNGO;2024;13.835;2.175;2.316;1.019;1.518;6.300;507
42;15;JAMBI;1509;TEBO;2024;9.908;1.623;1.537;1.106;1.017;4.301;324
43;15;JAMBI;1571;KOTA JAMBI;2024;11.877;1.223;976;1.222;1.163;6.982;311
44;15;JAMBI;1572;KOTA SUNGAI PENUH;2024;2.068;174;111;136;171;1.371;105
