NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;tahun;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4;peringkat_kesejahteraan_belum_diketahui
1;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;2021;874;65;76;107;105;521;0
2;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;2021;690;62;99;110;90;329;0
3;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;2021;1.889;382;278;263;183;782;1
4;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;2021;1.293;204;239;196;147;504;3
5;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;2021;1.245;252;155;159;134;545;0
6;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;2021;1.260;168;179;190;146;574;3
7;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;2021;1.037;137;140;132;132;496;0
8;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;2021;1.259;197;181;183;160;538;0
9;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;2021;1.892;338;281;294;229;750;0
10;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;2021;795;170;144;114;61;306;0
11;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;2021;1.610;163;220;286;283;654;4
12;15;JAMBI;1501;KERINCI;150109;KAYU ARO;2021;2.404;275;333;413;342;1.034;7
13;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;2021;1.766;124;213;294;259;873;3
14;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;2021;1.390;103;134;158;163;828;4
15;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;2021;792;129;147;115;94;304;3
16;15;JAMBI;1501;KERINCI;150116;SIULAK;2021;2.582;436;361;366;289;1.123;7
17;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;2021;1.130;274;201;183;97;374;1
18;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;2021;766;123;92;110;92;349;0
19;15;JAMBI;1502;MERANGIN;150202;BANGKO;2021;3.956;170;495;436;457;2.398;0
20;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;2021;1.170;206;363;194;166;238;3
21;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;2021;1.143;148;228;163;143;461;0
22;15;JAMBI;1502;MERANGIN;150201;JANGKAT;2021;1.528;265;439;238;189;397;0
23;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;2021;1.706;680;497;224;136;169;0
24;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;2021;2.071;530;620;338;186;397;0
25;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;2021;1.711;209;366;284;251;601;0
26;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;2021;1.565;581;447;205;122;210;0
