NO;kode_provinsi;nama_provinsi;;;tahun;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda;pus_terlalu_tua;pus_terlalu_dekat;pus_terlalu_banyak
1;15;JAMBI;1501;KERINCI;2021;24.674;2.620;8.305;546;11.219;539;9.661
2;15;JAMBI;1502;MERANGIN;2021;42.496;11.160;13.521;1.259;16.634;310;20.064
3;15;JAMBI;1503;SAROLANGUN;2021;29.851;6.419;7.128;526;12.872;1.054;16.020
4;15;JAMBI;1504;BATANGHARI;2021;27.745;5.925;6.117;405;12.086;689;13.578
5;15;JAMBI;1505;MUARO JAMBI;2021;40.511;8.272;6.059;273;19.317;1.413;19.691
6;15;JAMBI;1506;TANJUNG JABUNG BARAT;2021;38.295;22.879;8.988;334;13.601;841;15.308
7;15;JAMBI;1507;TANJUNG JABUNG TIMUR;2021;30.433;19.301;10.629;287;10.053;318;10.947
8;15;JAMBI;1508;BUNGO;2021;33.263;5.450;8.604;599;14.658;811;17.183
9;15;JAMBI;1509;TEBO;2021;34.068;6.665;7.698;471;15.568;749;16.866
10;15;JAMBI;1571;KOTA JAMBI;2021;39.444;1.469;1.355;139;21.959;1.377;21.781
11;15;JAMBI;1572;KOTA SUNGAI PENUH;2021;7.920;483;1.610;58;3.777;197;4.138
12;15;JAMBI;1501;KERINCI;2022;14.536;3.067;9.356;724;11.049;139;10.058
13;15;JAMBI;1502;MERANGIN;2022;25.799;10.502;14.895;1.083;16.944;274;19.984
14;15;JAMBI;1503;SAROLANGUN;2022;19.822;7.049;11.495;588;12.899;277;17.075
15;15;JAMBI;1504;BATANGHARI;2022;17.139;6.009;7.906;441;12.377;262;15.648
16;15;JAMBI;1505;MUARO JAMBI;2022;24.520;8.386;9.800;323;19.260;394;21.800
17;15;JAMBI;1506;TANJUNG JABUNG BARAT;2022;33.378;23.710;14.263;372;13.802;318;16.298
18;15;JAMBI;1507;TANJUNG JABUNG TIMUR;2022;25.166;18.489;11.540;286;10.314;192;11.382
19;15;JAMBI;1508;BUNGO;2022;22.702;5.975;13.196;786;15.636;338;19.809
20;15;JAMBI;1509;TEBO;2022;19.666;7.058;9.929;596;15.834;245;17.212
21;15;JAMBI;1571;KOTA JAMBI;2022;17.549;1.380;4.012;120;21.881;666;24.120
22;15;JAMBI;1572;KOTA SUNGAI PENUH;2022;4.482;437;2.863;90;3.681;67;4.157
23;15;JAMBI;1501;KERINCI;2023;11.231;2.203;7.569;127;1.992;22;1.321
24;15;JAMBI;1502;MERANGIN;2023;22.909;9.013;13.871;188;3.123;31;2.867
25;15;JAMBI;1503;SAROLANGUN;2023;17.638;6.099;10.620;135;3.176;37;3.316
26;15;JAMBI;1504;BATANGHARI;2023;15.708;5.621;7.511;101;3.064;34;2.977
27;15;JAMBI;1505;MUARO JAMBI;2023;21.491;6.741;8.747;78;5.449;67;5.065
28;15;JAMBI;1506;TANJUNG JABUNG BARAT;2023;31.135;21.753;13.479;73;4.159;52;4.004
29;15;JAMBI;1507;TANJUNG JABUNG TIMUR;2023;21.401;14.709;10.192;82;2.593;24;2.147
30;15;JAMBI;1508;BUNGO;2023;19.413;4.996;11.526;162;4.000;43;4.078
31;15;JAMBI;1509;TEBO;2023;14.153;4.292;7.421;137;3.073;24;2.500
32;15;JAMBI;1571;KOTA JAMBI;2023;13.608;985;3.010;27;6.640;91;4.532
33;15;JAMBI;1572;KOTA SUNGAI PENUH;2023;3.251;257;2.089;24;775;9;624
34;15;JAMBI;1501;KERINCI;2024;7.267;1.417;4.282;233;1.652;35;765
35;15;JAMBI;1502;MERANGIN;2024;13.152;4.124;6.867;436;2.892;44;1.793
36;15;JAMBI;1503;SAROLANGUN;2024;11.615;4.581;5.135;215;2.914;45;2.186
37;15;JAMBI;1504;BATANGHARI;2024;11.152;4.376;4.129;254;2.718;59;1.949
38;15;JAMBI;1505;MUARO JAMBI;2024;14.706;4.169;4.767;179;4.717;82;3.443
39;15;JAMBI;1506;TANJUNG JABUNG BARAT;2024;25.781;20.237;8.309;134;3.250;52;2.427
40;15;JAMBI;1507;TANJUNG JABUNG TIMUR;2024;15.734;10.466;6.493;89;2.038;29;1.293
41;15;JAMBI;1508;BUNGO;2024;13.835;3.827;6.935;326;3.498;56;2.544
42;15;JAMBI;1509;TEBO;2024;9.908;3.401;3.848;238;2.874;31;1.599
43;15;JAMBI;1571;KOTA JAMBI;2024;11.877;741;1.512;43;6.850;127;3.924
44;15;JAMBI;1572;KOTA SUNGAI PENUH;2024;2.068;218;1.120;47;635;12;420
