NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;tahun;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda_tidak_menggunakan_KB;pus_terlalu_tua_tidak_menggunakan_KB;pus_terlalu_dekat_tidak_menggunakan_KB;pus_terlalu_banyak_tidak_menggunakan_KB
1;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;2021;874;25;217;7;473;28;314
2;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;2021;690;2;65;13;380;27;326
3;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;2021;1.889;792;490;40;843;8;484
4;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;2021;1.293;124;464;24;580;37;593
5;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;2021;1.245;167;314;29;573;34;551
6;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;2021;1.260;27;199;14;646;57;668
7;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;2021;1.037;113;307;7;464;38;426
8;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;2021;1.259;8;155;18;666;27;640
9;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;2021;1.892;283;1.229;68;574;20;646
10;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;2021;795;209;195;11;331;55;366
11;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;2021;1.610;60;405;59;718;23;852
12;15;JAMBI;1501;KERINCI;150109;KAYU ARO;2021;2.404;211;922;78;1.114;19;954
13;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;2021;1.766;200;219;29;956;44;773
14;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;2021;1.390;139;838;11;567;9;334
15;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;2021;792;32;245;6;393;19;277
16;15;JAMBI;1501;KERINCI;150116;SIULAK;2021;2.582;112;1.187;87;1.087;67;911
17;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;2021;1.130;106;552;37;488;10;310
18;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;2021;766;10;302;8;366;17;236
19;15;JAMBI;1502;MERANGIN;150202;BANGKO;2021;3.956;380;192;37;2.029;49;2.378
20;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;2021;1.170;332;178;16;532;15;557
21;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;2021;1.143;118;285;19;460;10;696
22;15;JAMBI;1502;MERANGIN;150201;JANGKAT;2021;1.528;850;408;64;431;6;601
23;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;2021;1.706;868;792;71;401;3;739
24;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;2021;2.071;1.166;737;81;615;5;809
25;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;2021;1.711;388;648;98;722;8;581
26;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;2021;1.565;709;640;65;462;12;752
27;15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;2021;2.042;361;804;58;811;22;983
28;15;JAMBI;1502;MERANGIN;150206;PAMENANG;2021;3.517;846;709;58;1.588;24;1.728
29;15;JAMBI;1502;MERANGIN;150213;PAMENANG BARAT;2021;2.134;522;467;62;958;16;1.005
30;15;JAMBI;1502;MERANGIN;150220;PAMENANG SELATAN;2021;1.118;170;244;33;504;11;615
31;15;JAMBI;1502;MERANGIN;150217;PANGKALAN JAMBU;2021;832;88;236;27;313;2;493
32;15;JAMBI;1502;MERANGIN;150219;RENAH PAMENANG;2021;1.412;193;112;24;770;8;681
33;15;JAMBI;1502;MERANGIN;150216;RENAH PEMBARAP;2021;1.585;264;397;74;526;16;1.013
34;15;JAMBI;1502;MERANGIN;150204;SUNGAI MANAU;2021;1.572;520;556;48;482;14;902
35;15;JAMBI;1502;MERANGIN;150205;TABIR;2021;3.831;705;2.236;165;1.253;28;1.602
36;15;JAMBI;1502;MERANGIN;150223;TABIR BARAT;2021;1.728;1.199;1.207;27;429;9;643
37;15;JAMBI;1502;MERANGIN;150214;TABIR ILIR;2021;1.281;159;696;55;530;2;431
38;15;JAMBI;1502;MERANGIN;150222;TABIR LINTAS;2021;931;112;337;19;374;6;386
39;15;JAMBI;1502;MERANGIN;150208;TABIR SELATAN;2021;2.796;501;340;38;1.390;30;1.364
40;15;JAMBI;1502;MERANGIN;150215;TABIR TIMUR;2021;995;94;359;51;429;8;361
