NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;tahun;jumlah_keluarga_sasaran;jumlah_keluarga_berisiko_stunting;persentase_keluarga_berisiko_stunting
1;15;JAMBI;1501;KERINCI;2021;48.843;24.674;50,52
2;15;JAMBI;1502;MERANGIN;2021;69.792;42.496;60,89
3;15;JAMBI;1503;SAROLANGUN;2021;51.219;29.851;58,28
4;15;JAMBI;1504;BATANGHARI;2021;48.238;27.745;57,52
5;15;JAMBI;1505;MUARO JAMBI;2021;72.937;40.511;55,54
6;15;JAMBI;1506;TANJUNG JABUNG BARAT;2021;53.748;38.295;71,25
7;15;JAMBI;1507;TANJUNG JABUNG TIMUR;2021;40.002;30.433;76,08
8;15;JAMBI;1508;BUNGO;2021;60.874;33.263;54,64
9;15;JAMBI;1509;TEBO;2021;61.100;34.068;55,76
10;15;JAMBI;1571;KOTA JAMBI;2021;82.970;39.444;47,54
11;15;JAMBI;1572;KOTA SUNGAI PENUH;2021;15.675;7.920;50,53
12;15;JAMBI;1501;KERINCI;2022;48.262;14.536;30,12
13;15;JAMBI;1502;MERANGIN;2022;70.083;25.799;36,81
14;15;JAMBI;1503;SAROLANGUN;2022;51.886;19.822;38,20
15;15;JAMBI;1504;BATANGHARI;2022;49.380;17.139;34,71
16;15;JAMBI;1505;MUARO JAMBI;2022;72.968;24.520;33,60
17;15;JAMBI;1506;TANJUNG JABUNG BARAT;2022;54.340;33.378;61,42
18;15;JAMBI;1507;TANJUNG JABUNG TIMUR;2022;40.231;25.166;62,55
19;15;JAMBI;1508;BUNGO;2022;63.971;22.702;35,49
20;15;JAMBI;1509;TEBO;2022;62.780;19.666;31,33
21;15;JAMBI;1571;KOTA JAMBI;2022;80.176;17.549;21,89
22;15;JAMBI;1572;KOTA SUNGAI PENUH;2022;15.384;4.482;29,13
23;15;JAMBI;1501;KERINCI;2023;48.563;11.231;23,13
24;15;JAMBI;1502;MERANGIN;2023;70.625;22.909;32,44
25;15;JAMBI;1503;SAROLANGUN;2023;53.138;17.638;33,19
26;15;JAMBI;1504;BATANGHARI;2023;49.793;15.708;31,55
27;15;JAMBI;1505;MUARO JAMBI;2023;73.850;21.491;29,10
28;15;JAMBI;1506;TANJUNG JABUNG BARAT;2023;55.278;31.135;56,32
29;15;JAMBI;1507;TANJUNG JABUNG TIMUR;2023;40.777;21.401;52,48
30;15;JAMBI;1508;BUNGO;2023;65.199;19.413;29,77
31;15;JAMBI;1509;TEBO;2023;64.603;14.153;21,91
32;15;JAMBI;1571;KOTA JAMBI;2023;83.611;13.608;16,28
33;15;JAMBI;1572;KOTA SUNGAI PENUH;2023;15.853;3.251;20,51
34;15;JAMBI;1501;KERINCI;2024;49.231;7.267;14,76
35;15;JAMBI;1502;MERANGIN;2024;76.070;13.152;17,29
36;15;JAMBI;1503;SAROLANGUN;2024;57.056;11.615;20,36
37;15;JAMBI;1504;BATANGHARI;2024;51.826;11.152;21,52
38;15;JAMBI;1505;MUARO JAMBI;2024;77.918;14.706;18,87
39;15;JAMBI;1506;TANJUNG JABUNG BARAT;2024;57.258;25.781;45,03
40;15;JAMBI;1507;TANJUNG JABUNG TIMUR;2024;43.752;15.734;35,96
41;15;JAMBI;1508;BUNGO;2024;67.485;13.835;20,50
42;15;JAMBI;1509;TEBO;2024;68.539;9.908;14,46
43;15;JAMBI;1571;KOTA JAMBI;2024;98.240;11.877;12,09
44;15;JAMBI;1572;KOTA SUNGAI PENUH;2024;16.965;2.068;12,19
