NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;tahun;target;angka_prevalensi_stunting
1;15;JAMBI;1501;2019;-;34,3
2;15;JAMBI;1502;2019;-;16,0
3;15;JAMBI;1503;2019;-;19,7
4;15;JAMBI;1504;2019;-;27,2
5;15;JAMBI;1505;2019;-;8,6
6;15;JAMBI;1506;2019;-;20,3
7;15;JAMBI;1507;2019;-;20,3
8;15;JAMBI;1508;2019;-;27,9
9;15;JAMBI;1509;2019;-;29,5
10;15;JAMBI;1571;2019;-;17,0
11;15;JAMBI;1572;2019;-;24,7
12;15;JAMBI;1501;2021;-;26,7
13;15;JAMBI;1502;2021;-;19,7
14;15;JAMBI;1503;2021;-;21,4
15;15;JAMBI;1504;2021;-;24,5
16;15;JAMBI;1505;2021;-;27,2
17;15;JAMBI;1506;2021;-;19,8
18;15;JAMBI;1507;2021;-;25,6
19;15;JAMBI;1508;2021;-;22,9
20;15;JAMBI;1509;2021;-;26,2
21;15;JAMBI;1571;2021;-;17,4
22;15;JAMBI;1572;2021;-;25,0
23;15;JAMBI;1501;2022;20,0;24,2
24;15;JAMBI;1502;2022;13,0;14,5
25;15;JAMBI;1503;2022;15,0;16,8
26;15;JAMBI;1504;2022;18,0;26,3
27;15;JAMBI;1505;2022;20,0;18,6
28;15;JAMBI;1506;2022;18,0;9,9
29;15;JAMBI;1507;2022;13,0;22,5
30;15;JAMBI;1508;2022;16,0;15,4
31;15;JAMBI;1509;2022;20,0;25,0
32;15;JAMBI;1571;2022;11,0;14,0
33;15;JAMBI;1572;2022;19,0;26,0
34;15;JAMBI;1501;2023;18,0;8,7
35;15;JAMBI;1502;2023;11,0;14,9
36;15;JAMBI;1503;2023;13,0;4,8
37;15;JAMBI;1504;2023;16,0;10,1
38;15;JAMBI;1505;2023;18,0;12,0
39;15;JAMBI;1506;2023;11,0;14,1
40;15;JAMBI;1507;2023;16,0;23,7
41;15;JAMBI;1508;2023;14,0;13,7
42;15;JAMBI;1509;2023;18,0;22,7
43;15;JAMBI;1571;2023;9,0;13,5
44;15;JAMBI;1572;2023;17,0;4,1
45;15;JAMBI;1501;2024;16,0;-
46;15;JAMBI;1502;2024;9,0;-
47;15;JAMBI;1503;2024;11,0;-
48;15;JAMBI;1504;2024;14,0;-
49;15;JAMBI;1505;2024;16,0;-
50;15;JAMBI;1506;2024;9,0;-
51;15;JAMBI;1507;2024;14,0;-
52;15;JAMBI;1508;2024;12,0;-
53;15;JAMBI;1509;2024;16,0;-
54;15;JAMBI;1571;2024;7,0;-
55;15;JAMBI;1572;2024;15,0;-
