NO;kode_provinsi;komoditi;tanaman_belum_menghasilkan;tanaman_menghasilkan;tanaman_tidak_menghasilkan;jumlah;satuan;tahun;
1;15;JAMBI;KARET / Rubber;149.457;372.249;92.787;654.413;HEKTAR;2022
2;15;JAMBI;KELAPA SAWIT / Oil Palm;116.504;418.977;102.466;637.947;HEKTAR;2022
3;15;JAMBI;KELAPA DALAM / Tall Coconut;5.316;94.065;15.909;115.29;HEKTAR;2022
4;15;JAMBI;KELAPA HYBRIDA / Hybrid Coconut;3;216;78;297;HEKTAR;2022
5;15;JAMBI;KOPI ROBUSTA/Robusta Coffee;5.401;14.029;1.39;20.82;HEKTAR;2022
6;15;JAMBI;KOPI ARABICA/Arabica Coffee;1.796;1.582;436;3.814;HEKTAR;2022
7;15;JAMBI;KOPI LIBERIKA/Liberica Coffe;1.007;4.267;1.078;6.352;HEKTAR;2022
8;15;JAMBI;CASSIAVERA / Cinnamon;30.802;14.975;566;46.343;HEKTAR;2022
9;15;JAMBI;LADA / Pepper;2;42;4;48;HEKTAR;2022
10;15;JAMBI;CENGKEH / Clove;72;70;75;217;HEKTAR;2022
11;15;JAMBI;KAKAO / Cocoa;585;1.51;422;2.517;HEKTAR;2022
12;15;JAMBI;PINANG / Areca;5.539;18.753;802;25.094;HEKTAR;2022
13;15;JAMBI;KEMIRI / Candle Nut;103;434;166;703;HEKTAR;2022
14;15;JAMBI;AREN / Sugar Palm;69;158;48;275;HEKTAR;2022
15;15;JAMBI;PANILI / Vanili;0;0;0;0;HEKTAR;2022
16;15;JAMBI;KAPUK / Kapuk;0;0;0;0;HEKTAR;2022
17;15;JAMBI;PALA / Pals;0;0;0;0;HEKTAR;2022
