id;kode_provinsi;komoditi;luas_tanaman_belum_menghasilkan;luas_tanaman_menghasilkan;luas_tanaman_tidak_menghasilkan;jumlah;satuan;tahun
1;15;KARET / Rubber;149.457;372.249;92.787;654.413;HEKTAR;2022
2;15;KELAPA SAWIT / Oil Palm;116.504;418.977;102.466;637.947;HEKTAR;2022
3;15;KELAPA DALAM / Tall Coconut;5.316;94.065;15.909;115.29;HEKTAR;2022
4;15;KELAPA HYBRIDA / Hybrid Coconut;3;216;78;297;HEKTAR;2022
5;15;KOPI ROBUSTA/Robusta Coffee;5.401;14.029;1.39;20.82;HEKTAR;2022
6;15;KOPI ARABICA/Arabica Coffee;1.796;1.582;436;3.814;HEKTAR;2022
7;15;KOPI LIBERIKA/Liberica Coffe;1.007;4.267;1.078;6.352;HEKTAR;2022
8;15;CASSIAVERA / Cinnamon;30.802;14.975;566;46.343;HEKTAR;2022
9;15;LADA / Pepper;2;42;4;48;HEKTAR;2022
10;15;CENGKEH / Clove;72;70;75;217;HEKTAR;2022
11;15;KAKAO / Cocoa;585;1.51;422;2.517;HEKTAR;2022
12;15;PINANG / Areca;5.539;18.753;802;25.094;HEKTAR;2022
13;15;KEMIRI / Candle Nut;103;434;166;703;HEKTAR;2022
14;15;AREN / Sugar Palm;69;158;48;275;HEKTAR;2022
15;15;PANILI / Vanili;0;0;0;0;HEKTAR;2022
16;15;KAPUK / Kapuk;0;0;0;0;HEKTAR;2022
17;15;PALA / Pals;0;0;0;0;HEKTAR;2022
