id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,jenis_kelamin,satuan,semester,jumlah_penduduk,tahun
1,15,JAMBI,1504,BATANGHARI,150407,BAJUBANG,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,22170,2022
2,15,JAMBI,1504,BATANGHARI,150404,BATIN XXIV,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,16577,2022
3,15,JAMBI,1504,BATANGHARI,150408,MARO SEBO ILIR,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,8029,2022
4,15,JAMBI,1504,BATANGHARI,150406,MARO SEBO ULU,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,20452,2022
5,15,JAMBI,1504,BATANGHARI,150401,MERSAM,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,17197,2022
6,15,JAMBI,1504,BATANGHARI,150403,MUARA BULIAN,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,36028,2022
7,15,JAMBI,1504,BATANGHARI,150402,MUARA TEMBESI,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,17903,2022
8,15,JAMBI,1504,BATANGHARI,150405,PEMAYUNG,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,19344,2022
9,15,JAMBI,1508,BUNGO,150815,BATHIN II PELAYANG,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,4604,2022
10,15,JAMBI,1508,BUNGO,150811,BATHIN III,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,13320,2022
11,15,JAMBI,1508,BUNGO,150814,BATHIN III ULU,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,4847,2022
12,15,JAMBI,1508,BUNGO,150810,BATIN II BABEKO,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,7226,2022
13,15,JAMBI,1508,BUNGO,150812,BUNGO DANI,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,13713,2022
14,15,JAMBI,1508,BUNGO,150804,JUJUHAN,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,9638,2022
15,15,JAMBI,1508,BUNGO,150816,JUJUHAN ILIR,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,5210,2022
16,15,JAMBI,1508,BUNGO,150807,LIMBUR LUBUK MENGKUANG,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,8460,2022
17,15,JAMBI,1508,BUNGO,150808,MUKO-MUKO BATHIN VII,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,7773,2022
18,15,JAMBI,1508,BUNGO,150803,PASAR MUARO BUNGO,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,10746,2022
19,15,JAMBI,1508,BUNGO,150806,PELEPAT,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,18032,2022
20,15,JAMBI,1508,BUNGO,150809,PELEPAT ILIR,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,26074,2022
21,15,JAMBI,1508,BUNGO,150802,RANTAU PANDAN,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,5312,2022
22,15,JAMBI,1508,BUNGO,150813,RIMBO TENGAH,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,16663,2022
23,15,JAMBI,1508,BUNGO,150805,TANAH SEPENGGAL,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,12161,2022
24,15,JAMBI,1508,BUNGO,150817,TANAH SEPENGGAL LINTAS,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,12393,2022
25,15,JAMBI,1508,BUNGO,150801,TANAH TUMBUH,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,7544,2022
26,15,JAMBI,1501,KERINCI,150105,AIR HANGAT,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,5719,2022
27,15,JAMBI,1501,KERINCI,150121,AIR HANGAT BARAT,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,4929,2022
28,15,JAMBI,1501,KERINCI,150111,AIR HANGAT TIMUR,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,10090,2022
29,15,JAMBI,1501,KERINCI,150107,BATANG MERANGIN,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,6367,2022
30,15,JAMBI,1501,KERINCI,150120,BUKITKERMAN,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,6716,2022
31,15,JAMBI,1501,KERINCI,150102,DANAU KERINCI,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,6769,2022
32,15,JAMBI,1501,KERINCI,150123,DANAU KERINCI BARAT,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,6045,2022
33,15,JAMBI,1501,KERINCI,150117,DEPATI TUJUH,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,8299,2022
34,15,JAMBI,1501,KERINCI,150106,GUNUNG KERINCI,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,6620,2022
35,15,JAMBI,1501,KERINCI,150101,GUNUNG RAYA,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,4325,2022
36,15,JAMBI,1501,KERINCI,150115,GUNUNG TUJUH,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,7896,2022
37,15,JAMBI,1501,KERINCI,150109,KAYU ARO,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,10467,2022
38,15,JAMBI,1501,KERINCI,150119,KAYU ARO BARAT,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,10766,2022
39,15,JAMBI,1501,KERINCI,150108,KELILING DANAU,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,6675,2022
40,15,JAMBI,1501,KERINCI,150104,SITINJAU LAUT,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,5024,2022
41,15,JAMBI,1501,KERINCI,150116,SIULAK,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,11505,2022
42,15,JAMBI,1501,KERINCI,150118,SIULAK MUKAI,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,5956,2022
43,15,JAMBI,1501,KERINCI,150122,TANAH COGOK,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,4650,2022
44,15,JAMBI,1571,KOTA JAMBI,157109,ALAM BARAJO,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,55665,2022
45,15,JAMBI,1571,KOTA JAMBI,157110,DANAU SIPIN,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,21749,2022
46,15,JAMBI,1571,KOTA JAMBI,157106,DANAU TELUK,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,6662,2022
47,15,JAMBI,1571,KOTA JAMBI,157102,JAMBI SELATAN,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,29175,2022
48,15,JAMBI,1571,KOTA JAMBI,157103,JAMBI TIMUR,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,33703,2022
49,15,JAMBI,1571,KOTA JAMBI,157108,JELUTUNG,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,30283,2022
50,15,JAMBI,1571,KOTA JAMBI,157107,KOTA BARU,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,42441,2022
51,15,JAMBI,1571,KOTA JAMBI,157111,PAAL MERAH,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,55099,2022
52,15,JAMBI,1571,KOTA JAMBI,157104,PASAR JAMBI,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,5681,2022
53,15,JAMBI,1571,KOTA JAMBI,157105,PELAYANGAN,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,6839,2022
54,15,JAMBI,1571,KOTA JAMBI,157101,TELANAIPURA,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,25104,2022
55,15,JAMBI,1572,KOTA SUNGAI PENUH,157203,HAMPARAN RAWANG,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,7951,2022
56,15,JAMBI,1572,KOTA SUNGAI PENUH,157207,KOTO BARU,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,4948,2022
57,15,JAMBI,1572,KOTA SUNGAI PENUH,157205,KUMUN DEBAI,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,5521,2022
58,15,JAMBI,1572,KOTA SUNGAI PENUH,157202,PESISIR BUKIT,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,6259,2022
59,15,JAMBI,1572,KOTA SUNGAI PENUH,157206,PONDOK TINGGI,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,9390,2022
60,15,JAMBI,1572,KOTA SUNGAI PENUH,157208,SUNGAI BUNGKAL,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,5509,2022
61,15,JAMBI,1572,KOTA SUNGAI PENUH,157201,SUNGAI PENUH,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,5274,2022
62,15,JAMBI,1572,KOTA SUNGAI PENUH,157204,TANAH KAMPUNG,JUMLAH PENDUDUK,LAKI-LAKI,JIWA,1,5485,2022
