id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah,tahun
719,15,JAMBI,1504,BATANGHARI,150407,BAJUBANG,AKTA LAHIR,MEMILIKI,JIWA,1,12165,2022
720,15,JAMBI,1504,BATANGHARI,150404,BATIN XXIV,AKTA LAHIR,MEMILIKI,JIWA,1,9473,2022
721,15,JAMBI,1504,BATANGHARI,150408,MARO SEBO ILIR,AKTA LAHIR,MEMILIKI,JIWA,1,4390,2022
722,15,JAMBI,1504,BATANGHARI,150406,MARO SEBO ULU,AKTA LAHIR,MEMILIKI,JIWA,1,11870,2022
723,15,JAMBI,1504,BATANGHARI,150401,MERSAM,AKTA LAHIR,MEMILIKI,JIWA,1,10044,2022
724,15,JAMBI,1504,BATANGHARI,150403,MUARA BULIAN,AKTA LAHIR,MEMILIKI,JIWA,1,20959,2022
725,15,JAMBI,1504,BATANGHARI,150402,MUARA TEMBESI,AKTA LAHIR,MEMILIKI,JIWA,1,10552,2022
726,15,JAMBI,1504,BATANGHARI,150405,PEMAYUNG,AKTA LAHIR,MEMILIKI,JIWA,1,10998,2022
727,15,JAMBI,1508,BUNGO,150815,BATHIN II PELAYANG,AKTA LAHIR,MEMILIKI,JIWA,1,2780,2022
728,15,JAMBI,1508,BUNGO,150811,BATHIN III,AKTA LAHIR,MEMILIKI,JIWA,1,8360,2022
729,15,JAMBI,1508,BUNGO,150814,BATHIN III ULU,AKTA LAHIR,MEMILIKI,JIWA,1,2979,2022
730,15,JAMBI,1508,BUNGO,150810,BATIN II BABEKO,AKTA LAHIR,MEMILIKI,JIWA,1,4471,2022
731,15,JAMBI,1508,BUNGO,150812,BUNGO DANI,AKTA LAHIR,MEMILIKI,JIWA,1,8369,2022
732,15,JAMBI,1508,BUNGO,150804,JUJUHAN,AKTA LAHIR,MEMILIKI,JIWA,1,5985,2022
733,15,JAMBI,1508,BUNGO,150816,JUJUHAN ILIR,AKTA LAHIR,MEMILIKI,JIWA,1,2547,2022
734,15,JAMBI,1508,BUNGO,150807,LIMBUR LUBUK MENGKUANG,AKTA LAHIR,MEMILIKI,JIWA,1,5147,2022
735,15,JAMBI,1508,BUNGO,150808,MUKO-MUKO BATHIN VII,AKTA LAHIR,MEMILIKI,JIWA,1,4959,2022
736,15,JAMBI,1508,BUNGO,150803,PASAR MUARO BUNGO,AKTA LAHIR,MEMILIKI,JIWA,1,6226,2022
737,15,JAMBI,1508,BUNGO,150806,PELEPAT,AKTA LAHIR,MEMILIKI,JIWA,1,10900,2022
738,15,JAMBI,1508,BUNGO,150809,PELEPAT ILIR,AKTA LAHIR,MEMILIKI,JIWA,1,15477,2022
739,15,JAMBI,1508,BUNGO,150802,RANTAU PANDAN,AKTA LAHIR,MEMILIKI,JIWA,1,3195,2022
740,15,JAMBI,1508,BUNGO,150813,RIMBO TENGAH,AKTA LAHIR,MEMILIKI,JIWA,1,10775,2022
741,15,JAMBI,1508,BUNGO,150805,TANAH SEPENGGAL,AKTA LAHIR,MEMILIKI,JIWA,1,6868,2022
742,15,JAMBI,1508,BUNGO,150817,TANAH SEPENGGAL LINTAS,AKTA LAHIR,MEMILIKI,JIWA,1,7053,2022
743,15,JAMBI,1508,BUNGO,150801,TANAH TUMBUH,AKTA LAHIR,MEMILIKI,JIWA,1,4198,2022
744,15,JAMBI,1501,KERINCI,150105,AIR HANGAT,AKTA LAHIR,MEMILIKI,JIWA,1,2491,2022
745,15,JAMBI,1501,KERINCI,150121,AIR HANGAT BARAT,AKTA LAHIR,MEMILIKI,JIWA,1,2283,2022
