id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah_penduduk,tahun
1151,15,JAMBI,1504,BATANGHARI,150407,BAJUBANG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,4365,2022
1152,15,JAMBI,1504,BATANGHARI,150404,BATIN XXIV,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2992,2022
1153,15,JAMBI,1504,BATANGHARI,150408,MARO SEBO ILIR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1386,2022
1154,15,JAMBI,1504,BATANGHARI,150406,MARO SEBO ULU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,4662,2022
1155,15,JAMBI,1504,BATANGHARI,150401,MERSAM,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,3135,2022
1156,15,JAMBI,1504,BATANGHARI,150403,MUARA BULIAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,10113,2022
1157,15,JAMBI,1504,BATANGHARI,150402,MUARA TEMBESI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,3649,2022
1158,15,JAMBI,1504,BATANGHARI,150405,PEMAYUNG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,3227,2022
1159,15,JAMBI,1508,BUNGO,150815,BATHIN II PELAYANG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,949,2022
1160,15,JAMBI,1508,BUNGO,150811,BATHIN III,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2492,2022
1161,15,JAMBI,1508,BUNGO,150814,BATHIN III ULU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,965,2022
1162,15,JAMBI,1508,BUNGO,150810,BATIN II BABEKO,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1612,2022
1163,15,JAMBI,1508,BUNGO,150812,BUNGO DANI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2708,2022
1164,15,JAMBI,1508,BUNGO,150804,JUJUHAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,3266,2022
