id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah,tahun
287,15,JAMBI,1504,BATANGHARI,150407,BAJUBANG,PEREKAMAN KTP,WAJIB KTP,JIWA,1,31118,2022
288,15,JAMBI,1504,BATANGHARI,150404,BATIN XXIV,PEREKAMAN KTP,WAJIB KTP,JIWA,1,23267,2022
289,15,JAMBI,1504,BATANGHARI,150408,MARO SEBO ILIR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,11284,2022
290,15,JAMBI,1504,BATANGHARI,150406,MARO SEBO ULU,PEREKAMAN KTP,WAJIB KTP,JIWA,1,28307,2022
291,15,JAMBI,1504,BATANGHARI,150401,MERSAM,PEREKAMAN KTP,WAJIB KTP,JIWA,1,24043,2022
292,15,JAMBI,1504,BATANGHARI,150403,MUARA BULIAN,PEREKAMAN KTP,WAJIB KTP,JIWA,1,50842,2022
293,15,JAMBI,1504,BATANGHARI,150402,MUARA TEMBESI,PEREKAMAN KTP,WAJIB KTP,JIWA,1,24749,2022
294,15,JAMBI,1504,BATANGHARI,150405,PEMAYUNG,PEREKAMAN KTP,WAJIB KTP,JIWA,1,27336,2022
295,15,JAMBI,1508,BUNGO,150815,BATHIN II PELAYANG,PEREKAMAN KTP,WAJIB KTP,JIWA,1,6172,2022
296,15,JAMBI,1508,BUNGO,150811,BATHIN III,PEREKAMAN KTP,WAJIB KTP,JIWA,1,17824,2022
297,15,JAMBI,1508,BUNGO,150814,BATHIN III ULU,PEREKAMAN KTP,WAJIB KTP,JIWA,1,6543,2022
298,15,JAMBI,1508,BUNGO,150810,BATIN II BABEKO,PEREKAMAN KTP,WAJIB KTP,JIWA,1,9692,2022
299,15,JAMBI,1508,BUNGO,150812,BUNGO DANI,PEREKAMAN KTP,WAJIB KTP,JIWA,1,18714,2022
300,15,JAMBI,1508,BUNGO,150804,JUJUHAN,PEREKAMAN KTP,WAJIB KTP,JIWA,1,12805,2022
301,15,JAMBI,1508,BUNGO,150816,JUJUHAN ILIR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,7674,2022
302,15,JAMBI,1508,BUNGO,150807,LIMBUR LUBUK MENGKUANG,PEREKAMAN KTP,WAJIB KTP,JIWA,1,11582,2022
303,15,JAMBI,1508,BUNGO,150808,MUKO-MUKO BATHIN VII,PEREKAMAN KTP,WAJIB KTP,JIWA,1,10726,2022
304,15,JAMBI,1508,BUNGO,150803,PASAR MUARO BUNGO,PEREKAMAN KTP,WAJIB KTP,JIWA,1,14857,2022
305,15,JAMBI,1508,BUNGO,150806,PELEPAT,PEREKAMAN KTP,WAJIB KTP,JIWA,1,23869,2022
306,15,JAMBI,1508,BUNGO,150809,PELEPAT ILIR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,35745,2022
307,15,JAMBI,1508,BUNGO,150802,RANTAU PANDAN,PEREKAMAN KTP,WAJIB KTP,JIWA,1,7287,2022
308,15,JAMBI,1508,BUNGO,150813,RIMBO TENGAH,PEREKAMAN KTP,WAJIB KTP,JIWA,1,22166,2022
309,15,JAMBI,1508,BUNGO,150805,TANAH SEPENGGAL,PEREKAMAN KTP,WAJIB KTP,JIWA,1,17025,2022
310,15,JAMBI,1508,BUNGO,150817,TANAH SEPENGGAL LINTAS,PEREKAMAN KTP,WAJIB KTP,JIWA,1,17136,2022
311,15,JAMBI,1508,BUNGO,150801,TANAH TUMBUH,PEREKAMAN KTP,WAJIB KTP,JIWA,1,10936,2022
312,15,JAMBI,1501,KERINCI,150105,AIR HANGAT,PEREKAMAN KTP,WAJIB KTP,JIWA,1,9068,2022
313,15,JAMBI,1501,KERINCI,150121,AIR HANGAT BARAT,PEREKAMAN KTP,WAJIB KTP,JIWA,1,7746,2022
314,15,JAMBI,1501,KERINCI,150111,AIR HANGAT TIMUR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,15837,2022
315,15,JAMBI,1501,KERINCI,150107,BATANG MERANGIN,PEREKAMAN KTP,WAJIB KTP,JIWA,1,9069,2022
316,15,JAMBI,1501,KERINCI,150120,BUKITKERMAN,PEREKAMAN KTP,WAJIB KTP,JIWA,1,9991,2022
317,15,JAMBI,1501,KERINCI,150102,DANAU KERINCI,PEREKAMAN KTP,WAJIB KTP,JIWA,1,10097,2022
318,15,JAMBI,1501,KERINCI,150123,DANAU KERINCI BARAT,PEREKAMAN KTP,WAJIB KTP,JIWA,1,9801,2022
319,15,JAMBI,1501,KERINCI,150117,DEPATI TUJUH,PEREKAMAN KTP,WAJIB KTP,JIWA,1,13152,2022
320,15,JAMBI,1501,KERINCI,150106,GUNUNG KERINCI,PEREKAMAN KTP,WAJIB KTP,JIWA,1,9416,2022
321,15,JAMBI,1501,KERINCI,150101,GUNUNG RAYA,PEREKAMAN KTP,WAJIB KTP,JIWA,1,6600,2022
322,15,JAMBI,1501,KERINCI,150115,GUNUNG TUJUH,PEREKAMAN KTP,WAJIB KTP,JIWA,1,10869,2022
323,15,JAMBI,1501,KERINCI,150109,KAYU ARO,PEREKAMAN KTP,WAJIB KTP,JIWA,1,14389,2022
324,15,JAMBI,1501,KERINCI,150119,KAYU ARO BARAT,PEREKAMAN KTP,WAJIB KTP,JIWA,1,15474,2022
