kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_pemilih_daftar_laki-laki;jumlah_pemilih_daftar_perempuan;jumlah;total_pengguna_hak_pilih;persentase_pemilihan
15;JAMBI;1501;KERINCI;97.976;99.681;197.657;171.273;85,31%
15;JAMBI;1502;MERANGIN;139.669;136.907;276.576;241.590;85,83%
15;JAMBI;1503;SAROLANGUN;105.925;103.707;209.632;181.370;84,68%
15;JAMBI;1504;BATANGHARI;113.325;108.878;222.203;183.749;81,70%
15;JAMBI;1505;MUARO JAMBI;160.556;153.384;313.940;264.464;82,52%
15;JAMBI;1506;TANJAB BARAT;120.577;114.006;234.583;195.151;81,77%
15;JAMBI;1507;TANJAB TIMUR;88.675;85.790;174.465;150.531;84,95%
15;JAMBI;1508;BUNGO;131.081;129.388;260.469;222.984;84,43%
15;JAMBI;1509;TEBO;134.063;128.198;262.261;220.760;82,62%
15;JAMBI;1571;KOTA JAMBI;222.497;229.226;451.723;368.002;79,84%
15;JAMBI;1572;KOTA SUNGAI PENUH;35.807;36.791;72.598;60.359;82,47%
