id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jumlah_pemilih_daftar_laki-laki;jumlah_pemilih_daftar_perempuan;jumlah;total_pengguna_hak_pilih;persentase_pemilihan
1;15;JAMBI;1501;97.976;99.681;197.657;171.273;85,31%
2;15;JAMBI;1502;139.669;136.907;276.576;241.590;85,83%
3;15;JAMBI;1503;105.925;103.707;209.632;181.370;84,68%
4;15;JAMBI;1504;113.325;108.878;222.203;183.749;81,70%
5;15;JAMBI;1505;160.556;153.384;313.940;264.464;82,52%
6;15;JAMBI;1506;120.577;114.006;234.583;195.151;81,77%
7;15;JAMBI;1507;88.675;85.790;174.465;150.531;84,95%
8;15;JAMBI;1508;131.081;129.388;260.469;222.984;84,43%
9;15;JAMBI;1509;134.063;128.198;262.261;220.760;82,62%
10;15;JAMBI;1571;222.497;229.226;451.723;368.002;79,84%
11;15;JAMBI;1572;35.807;36.791;72.598;60.359;82,47%
