NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;KELAPA DALAM;1010;KG/HA;2022
2;15;JAMBI;1505;MUARO JAMBI;KELAPA DALAM;928;KG/HA;2022
3;15;JAMBI;1508;BUNGO;KELAPA DALAM;840;KG/HA;2022
4;15;JAMBI;1509;TEBO;KELAPA DALAM;657;KG/HA;2022
5;15;JAMBI;1502;MERANGIN;KELAPA DALAM;702;KG/HA;2022
6;15;JAMBI;1503;SAROLANGUN;KELAPA DALAM;795;KG/HA;2022
7;15;JAMBI;1506;TANJAB BARAT;KELAPA DALAM;1345;KG/HA;2022
8;15;JAMBI;1507;TANJAB TIMUR;KELAPA DALAM;1138;KG/HA;2022
9;15;JAMBI;1501;KERINCI;KELAPA DALAM;481;KG/HA;2022
10;15;JAMBI;1572;SUNGAI PENUH;KELAPA DALAM;1000;KG/HA;2022
