NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;PINANG;405;KG/HA;2022
2;15;JAMBI;1505;MUARO JAMBI;PINANG;232;KG/HA;2022
3;15;JAMBI;1508;BUNGO;PINANG;630;KG/HA;2022
4;15;JAMBI;1509;TEBO;PINANG;221;KG/HA;2022
5;15;JAMBI;1502;MERANGIN;PINANG;296;KG/HA;2022
6;15;JAMBI;1503;SAROLANGUN;PINANG;236;KG/HA;2022
7;15;JAMBI;1506;TANJAB BARAT;PINANG;1443;KG/HA;2022
8;15;JAMBI;1507;TANJAB TIMUR;PINANG;2399;KG/HA;2022
9;15;JAMBI;1501;KERINCI;PINANG;463;KG/HA;2022
10;15;JAMBI;1572;SUNGAI PENUH;PINANG;328;KG/HA;2022
