id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kloter;bandara;jumlah;satuan;tahun
1;15;JAMBI;1506;TANJUNG JABUNG BARAT;BTH 17;JED;356;ORANG;2023
2;15;JAMBI;1506;TANJUNG JABUNG BARAT;BTH 18;JED;27;ORANG;2023
3;15;JAMBI;1507;TANJUNG JABUNG TIMUR;BTH 18;MED;99;ORANG;2023
4;15;JAMBI;1571;KOTA JAMBI;BTH 18;MED;238;ORANG;2023
5;15;JAMBI;1571;KOTA JAMBI;BTH 19;MED;342;ORANG;2023
6;15;JAMBI;1505;MUARO JAMBI;BTH 19;MED;22;ORANG;2023
7;15;JAMBI;1502;MERANGIN;BTH 20;MED;165;ORANG;2023
8;15;JAMBI;1503;SAROLANGUN;BTH 20;MED;196;ORANG;2023
9;15;JAMBI;1505;MUARO JAMBI;BTH 20;MED;2;ORANG;2023
10;15;JAMBI;1502;MERANGIN;BTH 21;MED;179;ORANG;2023
11;15;JAMBI;1501;KERINCI;BTH 21;MED;184;ORANG;2023
12;15;JAMBI;1504;BATANGHARI;BTH 22;MED;1;ORANG;2023
13;15;JAMBI;1508;BUNGO;BTH 22;MED;223;ORANG;2023
14;15;JAMBI;1509;TEBO;BTH 22;MED;140;ORANG;2023
15;15;JAMBI;1504;BATANGHARI;BTH 23;MED;138;ORANG;2023
16;15;JAMBI;1505;MUARO JAMBI;BTH 23;MED;112;ORANG;2023
17;15;JAMBI;1572;KOTA SUNGAI PENUH;BTH 23;MED;116;ORANG;2023
18;15;JAMBI;1501;KERINCI;BTH 24;MED;227;ORANG;2023
19;15;JAMBI;1509;TEBO;BTH 24;MED;104;ORANG;2023
20;15;JAMBI;1502;MERANGIN;BTH 24;MED;1;ORANG;2023
