id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kloter;jumlah;satuan;tahun
1;15;JAMBI;1506;BTH 17;356;ORANG;2023
2;15;JAMBI;1506;BTH 18;27;ORANG;2023
3;15;JAMBI;1507;BTH 18;99;ORANG;2023
4;15;JAMBI;1571;BTH 18;238;ORANG;2023
5;15;JAMBI;1571;BTH 19;342;ORANG;2023
6;15;JAMBI;1505;BTH 19;22;ORANG;2023
7;15;JAMBI;1502;BTH 20;165;ORANG;2023
8;15;JAMBI;1503;BTH 20;196;ORANG;2023
9;15;JAMBI;1505;BTH 20;2;ORANG;2023
10;15;JAMBI;1502;BTH 21;179;ORANG;2023
11;15;JAMBI;1501;BTH 21;184;ORANG;2023
12;15;JAMBI;1504;BTH 22;1;ORANG;2023
13;15;JAMBI;1508;BTH 22;223;ORANG;2023
14;15;JAMBI;1509;BTH 22;140;ORANG;2023
15;15;JAMBI;1504;BTH 23;138;ORANG;2023
16;15;JAMBI;1505;BTH 23;112;ORANG;2023
17;15;JAMBI;1572;BTH 23;116;ORANG;2023
18;15;JAMBI;1501;BTH 24;227;ORANG;2023
19;15;JAMBI;1509;BTH 24;104;ORANG;2023
20;15;JAMBI;1502;BTH 24;1;ORANG;2023
