NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
1;15;JAMBI;1501;150101;PEREKAMAN KTP;WAJIB KTP;JIWA;1;6600;2022
2;15;JAMBI;1501;150101;PEREKAMAN KTP;REKAM KTP;JIWA;1;6513;2022
3;15;JAMBI;1501;150101;PEREKAMAN KTP;BELUM REKAM;JIWA;1;87;2022
4;15;JAMBI;1501;150101;PEREKAMAN KTP;WAJIB KTP;JIWA;2;6817;2022
5;15;JAMBI;1501;150101;PEREKAMAN KTP;REKAM KTP;JIWA;2;6690;2022
6;15;JAMBI;1501;150102;PEREKAMAN KTP;WAJIB KTP;JIWA;1;10097;2022
7;15;JAMBI;1501;150102;PEREKAMAN KTP;REKAM KTP;JIWA;1;9943;2022
8;15;JAMBI;1501;150102;PEREKAMAN KTP;BELUM REKAM;JIWA;1;154;2022
9;15;JAMBI;1501;150102;PEREKAMAN KTP;WAJIB KTP;JIWA;2;10412;2022
10;15;JAMBI;1501;150102;PEREKAMAN KTP;REKAM KTP;JIWA;2;10148;2022
11;15;JAMBI;1501;150104;PEREKAMAN KTP;WAJIB KTP;JIWA;1;7884;2022
12;15;JAMBI;1501;150104;PEREKAMAN KTP;REKAM KTP;JIWA;1;7788;2022
13;15;JAMBI;1501;150104;PEREKAMAN KTP;BELUM REKAM;JIWA;1;96;2022
14;15;JAMBI;1501;150104;PEREKAMAN KTP;WAJIB KTP;JIWA;2;8070;2022
15;15;JAMBI;1501;150104;PEREKAMAN KTP;REKAM KTP;JIWA;2;7888;2022
16;15;JAMBI;1501;150105;PEREKAMAN KTP;WAJIB KTP;JIWA;1;9068;2022
17;15;JAMBI;1501;150105;PEREKAMAN KTP;REKAM KTP;JIWA;1;8983;2022
18;15;JAMBI;1501;150105;PEREKAMAN KTP;BELUM REKAM;JIWA;1;85;2022
19;15;JAMBI;1501;150105;PEREKAMAN KTP;WAJIB KTP;JIWA;2;8762;2022
20;15;JAMBI;1501;150105;PEREKAMAN KTP;REKAM KTP;JIWA;2;8639;2022
21;15;JAMBI;1501;150106;PEREKAMAN KTP;WAJIB KTP;JIWA;1;9416;2022
22;15;JAMBI;1501;150106;PEREKAMAN KTP;REKAM KTP;JIWA;1;9299;2022
23;15;JAMBI;1501;150106;PEREKAMAN KTP;BELUM REKAM;JIWA;1;117;2022
24;15;JAMBI;1501;150106;PEREKAMAN KTP;WAJIB KTP;JIWA;2;9679;2022
25;15;JAMBI;1501;150106;PEREKAMAN KTP;REKAM KTP;JIWA;2;9480;2022
26;15;JAMBI;1501;150107;PEREKAMAN KTP;WAJIB KTP;JIWA;1;9069;2022
27;15;JAMBI;1501;150107;PEREKAMAN KTP;REKAM KTP;JIWA;1;8969;2022
