NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
1;15;JAMBI;1501;150101;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;4325;2022
2;15;JAMBI;1501;150101;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;4403;2022
3;15;JAMBI;1501;150101;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;4445;2022
4;15;JAMBI;1501;150101;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;4473;2022
5;15;JAMBI;1501;150102;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;6769;2022
6;15;JAMBI;1501;150102;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;6827;2022
7;15;JAMBI;1501;150102;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;6875;2022
8;15;JAMBI;1501;150102;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;6931;2022
9;15;JAMBI;1501;150104;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;5024;2022
10;15;JAMBI;1501;150104;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;5206;2022
11;15;JAMBI;1501;150104;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;5098;2022
12;15;JAMBI;1501;150104;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;5253;2022
13;15;JAMBI;1501;150105;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;5719;2022
14;15;JAMBI;1501;150105;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;5842;2022
15;15;JAMBI;1501;150105;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;5459;2022
16;15;JAMBI;1501;150105;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;5596;2022
17;15;JAMBI;1501;150106;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;6620;2022
18;15;JAMBI;1501;150106;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;6406;2022
19;15;JAMBI;1501;150106;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;6783;2022
20;15;JAMBI;1501;150106;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;6503;2022
21;15;JAMBI;1501;150107;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;6367;2022
22;15;JAMBI;1501;150107;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;6066;2022
23;15;JAMBI;1501;150107;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;6504;2022
24;15;JAMBI;1501;150107;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;6231;2022
25;15;JAMBI;1501;150108;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;6675;2022
26;15;JAMBI;1501;150108;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;6745;2022
27;15;JAMBI;1501;150108;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;6697;2022
