NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
35;15;JAMBI;1501;150101;AKTA LAHIR;MEMILIKI;JIWA;1;2108;2022
179;15;JAMBI;1501;150101;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;157;2022
323;15;JAMBI;1501;150101;AKTA LAHIR;UMUR 0-18;JIWA;1;2265;2022
433;15;JAMBI;1501;150101;AKTA LAHIR;MEMILIKI;JIWA;2;2214;2022
451;15;JAMBI;1501;150101;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;36;2022
31;15;JAMBI;1501;150102;AKTA LAHIR;MEMILIKI;JIWA;1;3320;2022
175;15;JAMBI;1501;150102;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;436;2022
319;15;JAMBI;1501;150102;AKTA LAHIR;UMUR 0-18;JIWA;1;3756;2022
434;15;JAMBI;1501;150102;AKTA LAHIR;MEMILIKI;JIWA;2;3571;2022
452;15;JAMBI;1501;150102;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;89;2022
40;15;JAMBI;1501;150104;AKTA LAHIR;MEMILIKI;JIWA;1;2360;2022
184;15;JAMBI;1501;150104;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;184;2022
328;15;JAMBI;1501;150104;AKTA LAHIR;UMUR 0-18;JIWA;1;2544;2022
435;15;JAMBI;1501;150104;AKTA LAHIR;MEMILIKI;JIWA;2;2439;2022
453;15;JAMBI;1501;150104;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;24;2022
26;15;JAMBI;1501;150105;AKTA LAHIR;MEMILIKI;JIWA;1;2491;2022
170;15;JAMBI;1501;150105;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;180;2022
314;15;JAMBI;1501;150105;AKTA LAHIR;UMUR 0-18;JIWA;1;2671;2022
436;15;JAMBI;1501;150105;AKTA LAHIR;MEMILIKI;JIWA;2;2391;2022
454;15;JAMBI;1501;150105;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;29;2022
34;15;JAMBI;1501;150106;AKTA LAHIR;MEMILIKI;JIWA;1;3439;2022
178;15;JAMBI;1501;150106;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;365;2022
322;15;JAMBI;1501;150106;AKTA LAHIR;UMUR 0-18;JIWA;1;3804;2022
437;15;JAMBI;1501;150106;AKTA LAHIR;MEMILIKI;JIWA;2;3736;2022
455;15;JAMBI;1501;150106;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;72;2022
29;15;JAMBI;1501;150107;AKTA LAHIR;MEMILIKI;JIWA;1;3091;2022
173;15;JAMBI;1501;150107;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;437;2022
317;15;JAMBI;1501;150107;AKTA LAHIR;UMUR 0-18;JIWA;1;3528;2022
438;15;JAMBI;1501;150107;AKTA LAHIR;MEMILIKI;JIWA;2;3489;2022
456;15;JAMBI;1501;150107;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;98;2022
39;15;JAMBI;1501;150108;AKTA LAHIR;MEMILIKI;JIWA;1;2914;2022
183;15;JAMBI;1501;150108;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;234;2022
327;15;JAMBI;1501;150108;AKTA LAHIR;UMUR 0-18;JIWA;1;3148;2022
439;15;JAMBI;1501;150108;AKTA LAHIR;MEMILIKI;JIWA;2;2987;2022
457;15;JAMBI;1501;150108;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;50;2022
37;15;JAMBI;1501;150109;AKTA LAHIR;MEMILIKI;JIWA;1;5842;2022
181;15;JAMBI;1501;150109;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;518;2022
325;15;JAMBI;1501;150109;AKTA LAHIR;UMUR 0-18;JIWA;1;6360;2022
440;15;JAMBI;1501;150109;AKTA LAHIR;MEMILIKI;JIWA;2;6288;2022
458;15;JAMBI;1501;150109;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;74;2022
28;15;JAMBI;1501;150111;AKTA LAHIR;MEMILIKI;JIWA;1;4331;2022
172;15;JAMBI;1501;150111;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;431;2022
316;15;JAMBI;1501;150111;AKTA LAHIR;UMUR 0-18;JIWA;1;4762;2022
441;15;JAMBI;1501;150111;AKTA LAHIR;MEMILIKI;JIWA;2;4599;2022
459;15;JAMBI;1501;150111;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;71;2022
36;15;JAMBI;1501;150115;AKTA LAHIR;MEMILIKI;JIWA;1;4641;2022
180;15;JAMBI;1501;150115;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;266;2022
324;15;JAMBI;1501;150115;AKTA LAHIR;UMUR 0-18;JIWA;1;4907;2022
442;15;JAMBI;1501;150115;AKTA LAHIR;MEMILIKI;JIWA;2;4858;2022
460;15;JAMBI;1501;150115;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;58;2022
41;15;JAMBI;1501;150116;AKTA LAHIR;MEMILIKI;JIWA;1;5830;2022
185;15;JAMBI;1501;150116;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;445;2022
329;15;JAMBI;1501;150116;AKTA LAHIR;UMUR 0-18;JIWA;1;6275;2022
443;15;JAMBI;1501;150116;AKTA LAHIR;MEMILIKI;JIWA;2;6144;2022
