no;kode_provinsi;nama_provinsi;nomor_peraturan_daerah;perihal;tanggal_ditetapkan;tanggal_diundangan;tahun
1;15;JAMBI;1 TAHUN 2024;ANGGARAN PENDAPATAN DAN BELANJA DAERAH TAHUN ANGGARAN 2024;12 JANUARI 2024;12 JANUARI 2024;2024
2;15;JAMBI;2 TAHUN 2024;PENYELENGGARAAN KETENAGAKERJAAN;25-Apr-24;25-Apr-24;2024
3;15;JAMBI;3 TAHUN 2024;PERUBAHAN KEDUA ATAS PERATURAN DAERAH PROVINSI JAMBI NOMOR 8 TAHUN 2016 TENTANG PEMBENTUKAN DAN SUSUNAN PERANGKAT DAERAH PROVINSI JAMBI;31 MEI 2024;31 MEI 2024;2024
4;15;JAMBI;4 TAHUN 2024;PENYERTAAN MODAL PEMERINTAH PROVINSI JAMBI DALAM BARANG MILIK DAERAH PADA PT BANK PEMBANGUNAN DAERAH JAMBI (PERSERODA);27 MEI 2024;27 MEI 2024;2024
5;15;JAMBI;5 TAHUN 2024;PAJAK DAERAH DAN RETRIBUSI DAERAH;25 JUNI 2024;19 JUNI 2024;2024
6;15;JAMBI;6 TAHUN2024;PENYELENGGARAAN TANGGUNG JAWAB SOSIAL DAN LINGKUNGAN BADAN USAHA;25 JUNI 2024;25 JUNI 2024;2024
7;15;JAMBI;7 TAHUN 2024;PENCABUTAN BEBERAPA PERATURAN DAERAH;5 JULI 2024;5 JULI 2024;2024
8;15;JAMBI;8 TAHUN 2024;PENGAKUAN DAN PERLINDUNGAN MASYARAKAT HUKUM ADAT;22 AGUSTUS 2024;22 AGUSTUS 2024;2024
9;15;JAMBI;9 TAHUN 2024;PERTANGGUNGJAWABAN PELAKSANAAN ANGGARAN PENDAPATAN DAN BELANJA DAERAH TAHUN ANGGARAN 2023;20-Sep-24;20-Sep-24;2024
10;15;JAMBI;10 TAHUN 2024;PERTANGGUNGJAWABAN PELAKSANAAN ANGGARAN PENDAPATAN DAN BELANJA DAERAH TAHUN ANGGARAN 2023;20-Sep-24;20-Sep-24;2024
11;15;JAMBI;11 TAHUN 2024;PERUBAHAN ANGGARAN PENDAPATAN DAN BELANJA DAERAH PERUBAHAN PROVINSI JAMBI TAHUN ANGGARAN 2024;18 OKTOBER 2024;18 OKTOBER 2024;2024
12;15;JAMBI;12 TAHUN 2024;RENCANA PEMBANGUNAN JANGKA PANJANG DAERAH PROVINSI JAMBI TAHUN 2025-2045;18 OKTOBER 2024;18 OKTOBER 2024;2024
