id;kode_provinsi;nama_provinsi;Kode_kabupaten_kota;skpd;"Nama_Pengguna_Sewa_Kendaraan/Pemesan_Sewa_Kendaraan
(Berdasarkan Surat Tugas)";jenis_Kendaraan ;Nomor_Kendaraan;Kegiatan;Tanggal_Berangkat;Tanggal_Pulang;Lama_Hari;satuan;tahun
1;15;JAMBI;1571;DINAS PERHUBUNGAN PROVINSI JAMBI;PT. SARI MUSTIKA JAYA;MBUS/BUS;H 7258 OA;BELANJA SEWA KENDARAAN BERMOTOR PENUMPANG-SEWA BUS JAMAAH HAJI EHA TAHUN 2024;02/06/2024;09/06/2024;8;UNIT;2024
2;15;JAMBI;1571;DINAS PERHUBUNGAN PROVINSI JAMBI;PT. SARI MUSTIKA JAYA;MBUS/BUS;H 7260 OA;BELANJA SEWA KENDARAAN BERMOTOR PENUMPANG-SEWA BUS JAMAAH HAJI EHA TAHUN 2024;02/06/2024;09/06/2024;8;UNIT;2024
3;15;JAMBI;1571;DINAS PERHUBUNGAN PROVINSI JAMBI;PT. SARI MUSTIKA JAYA;MBUS/BUS;H 7257 OA;BELANJA SEWA KENDARAAN BERMOTOR PENUMPANG-SEWA BUS JAMAAH HAJI EHA TAHUN 2024;02/06/2024;09/06/2024;8;UNIT;2024
4;15;JAMBI;1571;DINAS PERHUBUNGAN PROVINSI JAMBI;PT. SARI MUSTIKA JAYA;MBUS/BUS;H 1694 OA;BELANJA SEWA KENDARAAN BERMOTOR PENUMPANG-SEWA BUS JAMAAH HAJI EHA TAHUN 2024;02/06/2024;09/06/2024;8;UNIT;2024
5;15;JAMBI;1571;DINAS PERHUBUNGAN PROVINSI JAMBI;PT. SARI MUSTIKA JAYA;MBUS/BUS;H 7155 OA;BELANJA SEWA KENDARAAN BERMOTOR PENUMPANG-SEWA BUS JAMAAH HAJI EHA TAHUN 2024;02/06/2024;09/06/2024;8;UNIT;2024
6;15;JAMBI;1571;DINAS PERHUBUNGAN PROVINSI JAMBI;PT. SARI MUSTIKA JAYA;MBUS/BUS;H 7256 OA;BELANJA SEWA KENDARAAN BERMOTOR PENUMPANG-SEWA BUS JAMAAH HAJI EHA TAHUN 2024;02/06/2024;09/06/2024;8;UNIT;2024
7;15;JAMBI;1571;DINAS PERHUBUNGAN PROVINSI JAMBI;PT. SARI MUSTIKA JAYA;MBUS/BUS;H 7255 OA;BELANJA SEWA KENDARAAN BERMOTOR PENUMPANG-SEWA BUS JAMAAH HAJI EHA TAHUN 2024;02/06/2024;09/06/2024;8;UNIT;2024
8;15;JAMBI;1571;DINAS PERHUBUNGAN PROVINSI JAMBI;PT. SARI MUSTIKA JAYA;MBUS/BUS;H 7254 CA;BELANJA SEWA KENDARAAN BERMOTOR PENUMPANG-SEWA BUS JAMAAH HAJI EHA TAHUN 2024;02/06/2024;09/06/2024;8;UNIT;2024
9;15;JAMBI;1571;DINAS PERHUBUNGAN PROVINSI JAMBI;PT. SARI MUSTIKA JAYA;MBUS/BUS;H 7168 OA;BELANJA SEWA KENDARAAN BERMOTOR PENUMPANG-SEWA BUS JAMAAH HAJI EHA TAHUN 2024;02/06/2024;09/06/2024;8;UNIT;2024
10;15;JAMBI;1571;DINAS PERHUBUNGAN PROVINSI JAMBI;PT. SARI MUSTIKA JAYA;MBUS/BUS;H 1697 CA;BELANJA SEWA KENDARAAN BERMOTOR PENUMPANG-SEWA BUS JAMAAH HAJI EHA TAHUN 2024;02/06/2024;09/06/2024;8;UNIT;2024
