id;kode_provinsi;nama_provinsi;cabang_olahraga;jenis_kelamin;jumlah;satuan;tahun
1;15;JAMBI;SEPAK BOLA;LAKI-LAKI;144;ORANG;2022
2;15;JAMBI;BASKET;LAKI-LAKI;79;ORANG;2022
3;15;JAMBI;BOLA VOLI;LAKI-LAKI;84;ORANG;2022
4;15;JAMBI;BULU TANGKIS;LAKI-LAKI;36;ORANG;2022
5;15;JAMBI;TENIS;LAKI-LAKI;11;ORANG;2022
6;15;JAMBI;TINJU;LAKI-LAKI;5;ORANG;2022
7;15;JAMBI;SILAT;LAKI-LAKI;70;ORANG;2022
8;15;JAMBI;TAKRAW;LAKI-LAKI;47;ORANG;2022
9;15;JAMBI;SEPAK BOLA;PEREMPUAN;0;ORANG;2022
10;15;JAMBI;BASKET;PEREMPUAN;75;ORANG;2022
11;15;JAMBI;BOLA VOLI;PEREMPUAN;78;ORANG;2022
12;15;JAMBI;BULU TANGKIS;PEREMPUAN;25;ORANG;2022
13;15;JAMBI;TENIS;PEREMPUAN;11;ORANG;2022
14;15;JAMBI;TINJU;PEREMPUAN;2;ORANG;2022
15;15;JAMBI;SILAT;PEREMPUAN;54;ORANG;2022
16;15;JAMBI;TAKRAW;PEREMPUAN;0;ORANG;2022
17;15;JAMBI;SEPAK BOLA;LAKI-LAKI;222;ORANG;2023
18;15;JAMBI;BASKET;LAKI-LAKI;162;ORANG;2023
19;15;JAMBI;BOLA VOLI;LAKI-LAKI;130;ORANG;2023
20;15;JAMBI;BULU TANGKIS;LAKI-LAKI;72;ORANG;2023
21;15;JAMBI;TENIS;LAKI-LAKI;104;ORANG;2023
22;15;JAMBI;TINJU;LAKI-LAKI;100;ORANG;2023
23;15;JAMBI;SILAT;LAKI-LAKI;119;ORANG;2023
24;15;JAMBI;TAKRAW;LAKI-LAKI;412;ORANG;2023
25;15;JAMBI;SEPAK BOLA;PEREMPUAN;0;ORANG;2023
26;15;JAMBI;BASKET;PEREMPUAN;135;ORANG;2023
27;15;JAMBI;BOLA VOLI;PEREMPUAN;120;ORANG;2023
28;15;JAMBI;BULU TANGKIS;PEREMPUAN;50;ORANG;2023
29;15;JAMBI;TENIS;PEREMPUAN;72;ORANG;2023
30;15;JAMBI;TINJU;PEREMPUAN;40;ORANG;2023
31;15;JAMBI;SILAT;PEREMPUAN;84;ORANG;2023
32;15;JAMBI;TAKRAW;PEREMPUAN;246;ORANG;2023
33;15;JAMBI;SEPAK BOLA;LAKI-LAKI;0;ORANG;2024
34;15;JAMBI;BASKET;LAKI-LAKI;0;ORANG;2024
35;15;JAMBI;BOLA VOLI;LAKI-LAKI;0;ORANG;2024
36;15;JAMBI;BULU TANGKIS;LAKI-LAKI;0;ORANG;2024
37;15;JAMBI;TENIS;LAKI-LAKI;0;ORANG;2024
38;15;JAMBI;TINJU;LAKI-LAKI;0;ORANG;2024
39;15;JAMBI;SILAT;LAKI-LAKI;0;ORANG;2024
40;15;JAMBI;TAKRAW;LAKI-LAKI;0;ORANG;2024
41;15;JAMBI;SEPAK BOLA;PEREMPUAN;0;ORANG;2024
42;15;JAMBI;BASKET;PEREMPUAN;0;ORANG;2024
43;15;JAMBI;BOLA VOLI;PEREMPUAN;0;ORANG;2024
44;15;JAMBI;BULU TANGKIS;PEREMPUAN;0;ORANG;2024
45;15;JAMBI;TENIS;PEREMPUAN;0;ORANG;2024
46;15;JAMBI;TINJU;PEREMPUAN;0;ORANG;2024
47;15;JAMBI;SILAT;PEREMPUAN;0;ORANG;2024
48;15;JAMBI;TAKRAW;PEREMPUAN;0;ORANG;2024
