id;kode_provinsi;nama_provinsi;cabang_olahrga;jenis_kelamin;jumlah;satuan;tahun
1;15;JAMBI;ATLETIK;LAKI LAKI;2;ORANG;2022
2;15;JAMBI;RENANG;LAKI LAKI;2;ORANG;2022
3;15;JAMBI;SENAM;LAKI LAKI;6;ORANG;2022
4;15;JAMBI;TENIS LAPANGAN;LAKI LAKI;3;ORANG;2022
5;15;JAMBI;ANGKAT BESI;LAKI LAKI;6;ORANG;2022
6;15;JAMBI;PENCAK SILAT;LAKI LAKI;3;ORANG;2022
7;15;JAMBI;TINJU;LAKI LAKI;5;ORANG;2022
8;15;JAMBI;JUDO;LAKI LAKI;3;ORANG;2022
9;15;JAMBI;BULU TANGKIS;LAKI LAKI;1;ORANG;2022
10;15;JAMBI;WUSHU;LAKI LAKI;0;ORANG;2022
11;15;JAMBI;ATLETIK;PEREMPUAN;1;ORANG;2022
12;15;JAMBI;RENANG;PEREMPUAN;0;ORANG;2022
13;15;JAMBI;SENAM;PEREMPUAN;2;ORANG;2022
14;15;JAMBI;TENIS LAPANGAN;PEREMPUAN;1;ORANG;2022
15;15;JAMBI;ANGKAT BESI;PEREMPUAN;3;ORANG;2022
16;15;JAMBI;PENCAK SILAT;PEREMPUAN;3;ORANG;2022
17;15;JAMBI;TINJU;PEREMPUAN;0;ORANG;2022
18;15;JAMBI;JUDO;PEREMPUAN;3;ORANG;2022
19;15;JAMBI;BULU TANGKIS;PEREMPUAN;1;ORANG;2022
20;15;JAMBI;WUSHU;PEREMPUAN;1;ORANG;2022
21;15;JAMBI;ATLETIK;LAKI LAKI;1;ORANG;2023
22;15;JAMBI;RENANG;LAKI LAKI;2;ORANG;2023
23;15;JAMBI;SENAM;LAKI LAKI;2;ORANG;2023
24;15;JAMBI;TENIS LAPANGAN;LAKI LAKI;0;ORANG;2023
25;15;JAMBI;ANGKAT BESI;LAKI LAKI;5;ORANG;2023
26;15;JAMBI;PENCAK SILAT;LAKI LAKI;3;ORANG;2023
27;15;JAMBI;TINJU;LAKI LAKI;6;ORANG;2023
28;15;JAMBI;JUDO;LAKI LAKI;3;ORANG;2023
29;15;JAMBI;BULU TANGKIS;LAKI LAKI;2;ORANG;2023
30;15;JAMBI;WUSHU;LAKI LAKI;2;ORANG;2023
31;15;JAMBI;ATLETIK;PEREMPUAN;2;ORANG;2023
32;15;JAMBI;RENANG;PEREMPUAN;0;ORANG;2023
33;15;JAMBI;SENAM;PEREMPUAN;2;ORANG;2023
34;15;JAMBI;TENIS LAPANGAN;PEREMPUAN;0;ORANG;2023
35;15;JAMBI;ANGKAT BESI;PEREMPUAN;3;ORANG;2023
36;15;JAMBI;PENCAK SILAT;PEREMPUAN;3;ORANG;2023
37;15;JAMBI;TINJU;PEREMPUAN;0;ORANG;2023
38;15;JAMBI;JUDO;PEREMPUAN;3;ORANG;2023
39;15;JAMBI;BULU TANGKIS;PEREMPUAN;0;ORANG;2023
40;15;JAMBI;WUSHU;PEREMPUAN;1;ORANG;2023
41;15;JAMBI;ATLETIK;LAKI LAKI;1;ORANG;2024
42;15;JAMBI;RENANG;LAKI LAKI;2;ORANG;2024
43;15;JAMBI;SENAM;LAKI LAKI;2;ORANG;2024
44;15;JAMBI;TENIS LAPANGAN;LAKI LAKI;0;ORANG;2024
45;15;JAMBI;ANGKAT BESI;LAKI LAKI;3;ORANG;2024
46;15;JAMBI;PENCAK SILAT;LAKI LAKI;4;ORANG;2024
47;15;JAMBI;TINJU;LAKI LAKI;4;ORANG;2024
48;15;JAMBI;JUDO;LAKI LAKI;5;ORANG;2024
49;15;JAMBI;BULU TANGKIS;LAKI LAKI;2;ORANG;2024
50;15;JAMBI;WUSHU;LAKI LAKI;4;ORANG;2024
51;15;JAMBI;ATLETIK;PEREMPUAN;2;ORANG;2024
52;15;JAMBI;RENANG;PEREMPUAN;0;ORANG;2024
53;15;JAMBI;SENAM;PEREMPUAN;2;ORANG;2024
54;15;JAMBI;TENIS LAPANGAN;PEREMPUAN;0;ORANG;2024
55;15;JAMBI;ANGKAT BESI;PEREMPUAN;5;ORANG;2024
56;15;JAMBI;PENCAK SILAT;PEREMPUAN;2;ORANG;2024
57;15;JAMBI;TINJU;PEREMPUAN;2;ORANG;2024
58;15;JAMBI;JUDO;PEREMPUAN;2;ORANG;2024
59;15;JAMBI;BULU TANGKIS;PEREMPUAN;0;ORANG;2024
60;15;JAMBI;WUSHU;PEREMPUAN;1;ORANG;2024
