id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_kelamin;jumlah;bulan;tahun
1;15;JAMBI;1571;LAKI-LAKI;61;JANUARI;2023
2;15;JAMBI;1504;LAKI-LAKI;19;JANUARI;2023
3;15;JAMBI;1509;LAKI-LAKI;4;JANUARI;2023
4;15;JAMBI;1508;LAKI-LAKI;17;JANUARI;2023
5;15;JAMBI;1502;LAKI-LAKI;7;JANUARI;2023
6;15;JAMBI;1503;LAKI-LAKI;183;JANUARI;2023
7;15;JAMBI;1501;LAKI-LAKI;27;JANUARI;2023
8;15;JAMBI;1572;LAKI-LAKI;2;JANUARI;2023
9;15;JAMBI;1505;LAKI-LAKI;50;JANUARI;2023
10;15;JAMBI;1506;LAKI-LAKI;138;JANUARI;2023
11;15;JAMBI;1507;LAKI-LAKI;115;JANUARI;2023
12;15;JAMBI;1571;LAKI-LAKI;27;FEBRUARI;2023
13;15;JAMBI;1504;LAKI-LAKI;34;FEBRUARI;2023
14;15;JAMBI;1509;LAKI-LAKI;4;FEBRUARI;2023
15;15;JAMBI;1508;LAKI-LAKI;37;FEBRUARI;2023
16;15;JAMBI;1502;LAKI-LAKI;8;FEBRUARI;2023
17;15;JAMBI;1503;LAKI-LAKI;68;FEBRUARI;2023
18;15;JAMBI;1501;LAKI-LAKI;5;FEBRUARI;2023
19;15;JAMBI;1572;LAKI-LAKI;1;FEBRUARI;2023
20;15;JAMBI;1505;LAKI-LAKI;13;FEBRUARI;2023
21;15;JAMBI;1506;LAKI-LAKI;79;FEBRUARI;2023
22;15;JAMBI;1507;LAKI-LAKI;88;FEBRUARI;2023
23;15;JAMBI;1571;LAKI-LAKI;19;MARET;2023
24;15;JAMBI;1504;LAKI-LAKI;8;MARET;2023
25;15;JAMBI;1509;LAKI-LAKI;4;MARET;2023
26;15;JAMBI;1508;LAKI-LAKI;5;MARET;2023
27;15;JAMBI;1502;LAKI-LAKI;8;MARET;2023
28;15;JAMBI;1503;LAKI-LAKI;14;MARET;2023
29;15;JAMBI;1501;LAKI-LAKI;3;MARET;2023
30;15;JAMBI;1572;LAKI-LAKI;2;MARET;2023
31;15;JAMBI;1505;LAKI-LAKI;13;MARET;2023
32;15;JAMBI;1506;LAKI-LAKI;50;MARET;2023
33;15;JAMBI;1507;LAKI-LAKI;24;MARET;2023
34;15;JAMBI;1571;LAKI-LAKI;20;APRIL;2023
35;15;JAMBI;1504;LAKI-LAKI;13;APRIL;2023
36;15;JAMBI;1509;LAKI-LAKI;6;APRIL;2023
37;15;JAMBI;1508;LAKI-LAKI;4;APRIL;2023
38;15;JAMBI;1502;LAKI-LAKI;2;APRIL;2023
39;15;JAMBI;1503;LAKI-LAKI;4;APRIL;2023
40;15;JAMBI;1501;LAKI-LAKI;5;APRIL;2023
41;15;JAMBI;1572;LAKI-LAKI;1;APRIL;2023
42;15;JAMBI;1505;LAKI-LAKI;11;APRIL;2023
43;15;JAMBI;1506;LAKI-LAKI;54;APRIL;2023
44;15;JAMBI;1507;LAKI-LAKI;4;APRIL;2023
45;15;JAMBI;1571;LAKI-LAKI;244;MEI;2023
46;15;JAMBI;1504;LAKI-LAKI;65;MEI;2023
47;15;JAMBI;1509;LAKI-LAKI;11;MEI;2023
48;15;JAMBI;1508;LAKI-LAKI;44;MEI;2023
49;15;JAMBI;1502;LAKI-LAKI;23;MEI;2023
50;15;JAMBI;1503;LAKI-LAKI;31;MEI;2023
51;15;JAMBI;1501;LAKI-LAKI;40;MEI;2023
52;15;JAMBI;1572;LAKI-LAKI;7;MEI;2023
53;15;JAMBI;1505;LAKI-LAKI;53;MEI;2023
54;15;JAMBI;1506;LAKI-LAKI;314;MEI;2023
55;15;JAMBI;1507;LAKI-LAKI;30;MEI;2023
56;15;JAMBI;1571;LAKI-LAKI;60;JUNI;2023
57;15;JAMBI;1504;LAKI-LAKI;127;JUNI;2023
58;15;JAMBI;1509;LAKI-LAKI;6;JUNI;2023
59;15;JAMBI;1508;LAKI-LAKI;31;JUNI;2023
60;15;JAMBI;1502;LAKI-LAKI;98;JUNI;2023
61;15;JAMBI;1503;LAKI-LAKI;36;JUNI;2023
62;15;JAMBI;1501;LAKI-LAKI;15;JUNI;2023
63;15;JAMBI;1572;LAKI-LAKI;10;JUNI;2023
64;15;JAMBI;1505;LAKI-LAKI;29;JUNI;2023
65;15;JAMBI;1506;LAKI-LAKI;109;JUNI;2023
66;15;JAMBI;1507;LAKI-LAKI;12;JUNI;2023
67;15;JAMBI;1571;LAKI-LAKI;82;JULI;2023
68;15;JAMBI;1504;LAKI-LAKI;26;JULI;2023
69;15;JAMBI;1509;LAKI-LAKI;9;JULI;2023
70;15;JAMBI;1508;LAKI-LAKI;27;JULI;2023
71;15;JAMBI;1502;LAKI-LAKI;248;JULI;2023
72;15;JAMBI;1503;LAKI-LAKI;54;JULI;2023
73;15;JAMBI;1501;LAKI-LAKI;19;JULI;2023
74;15;JAMBI;1572;LAKI-LAKI;4;JULI;2023
75;15;JAMBI;1505;LAKI-LAKI;15;JULI;2023
