id;kode_provinsi;nama_provinsi;judul_inovasi;admin_opd;jenis;inisiator;urusan_pemerintah;kematangan;tahapan_inovasi;tanggal_penerapan;satuan;tahun
1;15;JAMBI;NOBAR (NO BAKAR);DINAS PERKEBUNAN JAMBI (IGA2020.DISBUN.PROVINSI.JAMBI);NON DIGITAL;OPD;PERTANIAN;99;PENERAPAN;28/12/2022;PERSEN;2023
2;15;JAMBI;IPAN MANJA (INOVASI PANTUN MELAYU NEGERI JAMBI);BALITBANGDA JAMBI (IGA.PROV.JAMBI);NON DIGITAL;OPD;PENDIDIKAN,KEBUDAYAAN,PENELITIAN DAN PENGEMBANGAN;98;PENERAPAN;26/11/2021;PERSEN;2023
3;15;JAMBI;PUSAKO (PERPUSTAKAAN ONLINE);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);DIGITAL;OPD;"KESEHATAN,KO
MUNIKASI DAN INFORMATIKA";98;PENERAPAN;13/09/2021;PERSEN;2023
4;15;JAMBI;SICETAR (SISTEM CEPAT TEPAT SASARAN AKUNTABEL RASIONAL);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);DIGITAL;OPD;KESEHATAN;98;PENERAPAN;08/01/2021;PERSEN;2023
5;15;JAMBI;SIPADUKO (SISTEM INFORMASI PENDAFTARAN DAN KUNJUNGAN ONLINE);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);DIGITAL;OPD;KESEHATAN;97;PENERAPAN;15/04/2021;PERSEN;2023
6;15;JAMBI;LAKKONIN AJA (LAYANAN KLINIK KONSULTASI INOVASI ANAK JAMBI);BALITBANGDA JAMBI (IGA.PROV.JAMBI);DIGITAL;OPD;"KOMUNIKASI
DAN INFORMATIKA,PE NELITIAN DAN";97;PENERAPAN;13/01/2021;PERSEN;2023
7;15;JAMBI;PIL KB LINDUNG MANTAP (PEMANFAATAN INOVASI LAUNDRY KOMERSIL BERWAWASAN LINGKUNGAN HIDUP);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);NON DIGITAL;OPD;"KESEHATAN,PEK
ERJAAN UMUM DAN PENATAAN RUANG";97;PENERAPAN;08/01/2021;PERSEN;2023
8;15;JAMBI;SIADIK (SISTEM ADMINISTRASI INTERNAL DINAS PENDIDIKAN);"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN,KOMUNIKASI DAN INFORMATIKA;97;PENERAPAN;26/07/2021;PERSEN;2023
9;15;JAMBI;SIPEDAL (SURAT PERINTAH PERJALANAN DINAS ELEKTRONIK);"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN,KOMUNIKASI DAN INFORMATIKA;97;PENERAPAN;04/05/2021;PERSEN;2023
10;15;JAMBI;SI EKO PERAMBAH HAWAI (SISTEM ELEKTRONIK PERHITUNGAN TAMBAHAN PENGHASILAN PEGAWAI);"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN,KEPEGAWAIAN;97;PENERAPAN;15/03/2021;PERSEN;2023
11;15;JAMBI;SICADEL (SISTEM CATATAN DOKTER ELEKTRONIK);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);DIGITAL;ASN;KESEHATAN,KOMUNIKASI DAN INFORMATIKA;96;PENERAPAN;16/03/2021;PERSEN;2023
12;15;JAMBI;MATTA VEDIKA (MATTAHER VERIFIKASI DIGITAL PELAYANAN KESEHATAN);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);DIGITAL;ASN;KESEHATAN,KOMUNIKASI DAN INFORMATIKA;96;PENERAPAN;10/05/2021;PERSEN;2023
13;15;JAMBI;SI IMEL ASIK (SISTEM INFORMASI ELEKTRONIK KEPEGAWAIAN DINAS PENDIDIKAN);DINAS PENDIDIKAN JAMBI (IGA2020.DISDIK.PROVINSI.JAMBI);DIGITAL;OPD;PENDIDIKAN;96;PENERAPAN;16/08/2021;PERSEN;2023
14;15;JAMBI;SI GTK (SISTEM INFORMASI GURU DAN TENAGA KEPENDIDIKAN);DINAS PENDIDIKAN JAMBI (IGA2020.DISDIK.PROVINSI.JAMBI);DIGITAL;OPD;PENDIDIKAN,KOMUNIKASI DAN INFORMATIKA;96;PENERAPAN;07/04/2021;PERSEN;2023
15;15;JAMBI;MANTANKU ASING (PEMANTAUAN KUALITAS AIR SUNGAI LINTAS BATAS KABUPATEN/KOTA);DINAS LINGKUNGAN HIDUP JAMBI (IGA2020.DLH.PROVINSI.JAMBI);NON DIGITAL;OPD;KETENTERAMAN, KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT,LIN GKUNGAN HIDUP;96;PENERAPAN;02/06/2021;PERSEN;2023
16;15;JAMBI;DAKU RINDU ELOK GAMBUT (DOKUMEN RENCANA PERLINDUNGAN DAN PENGELOLAAN EKOSISTEM GAMBUT);DINAS LINGKUNGAN HIDUP JAMBI (IGA2020.DLH.PROVINSI.JAMBI);NON DIGITAL;OPD;"KETENTERAMAN,
KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT,LIN GKUNGAN HIDUP,PARIWISA TA,PERTANIAN,K
EHUTANAN";96;PENERAPAN;22/12/2021;PERSEN;2023
17;15;JAMBI;APLIKASI BACKBONE DINAS PENDIDIKAN PROVINSI JAMBI;"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN,PERPUSTAKAAN;95;PENERAPAN;12/09/2021;PERSEN;2023
18;15;JAMBI;PUISI INDAH (PUSAT INFORMASI INOVASI DAERAH);BALITBANGDA JAMBI (IGA.PROV.JAMBI);DIGITAL;ASN;"KOMUNIKASI
DAN INFORMATIKA,KE ARSIPAN";94;PENERAPAN;01/12/2021;PERSEN;2023
19;15;JAMBI;PAK EMAL (PELATIHAN MANAJERIAL);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);NON DIGITAL;KEPALA DAERAH;KOPERASI, USAHA KECIL, DAN MENENGAH;93;PENERAPAN;11/05/2022;PERSEN;2023
20;15;JAMBI;LUHUT (PENYULUHAN HUKUM BAGI UMKM);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);NON DIGITAL;KEPALA DAERAH;KOPERASI, USAHA KECIL, DAN MENENGAH;93;PENERAPAN;09/08/2022;PERSEN;2023
21;15;JAMBI;TEH MANIS (TEKNOLOGI INFORMASI);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);NON DIGITAL;KEPALA DAERAH;KOPERASI, USAHA KECIL, DAN MENENGAH;93;PENERAPAN;16/06/2022;PERSEN;2023
22;15;JAMBI;KERASAKTI (KERTAS KERJA PENILAIAN KOPERASI);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);NON DIGITAL;KEPALA DAERAH;KOPERASI, USAHA KECIL, DAN MENENGAH;93;PENERAPAN;20/07/2022;PERSEN;2023
23;15;JAMBI;LAJU-HAI (LAYANAN JURNAL KHAZANAH INTELEKTUAL);BALITBANGDA JAMBI (IGA.PROV.JAMBI);DIGITAL;OPD;"PENDIDIKAN,PE
NELITIAN DAN PENGEMBANGA";92;PENERAPAN;04/05/2021;PERSEN;2023
24;15;JAMBI;PROMAGEN (PRODUKSI MANDIRI OKSIGEN);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);NON DIGITAL;ASN;KESEHATAN,TENAGA KERJA;92;PENERAPAN;21/07/2021;PERSEN;2023
25;15;JAMBI;E-KGB (KENAIKAN GAJI BERKALA ONLINE);BADAN KEPEGAWAIAN DAERAH (IGA2020.BKD.PROVINSI.JAMBI);DIGITAL;OPD;KEPEGAWAIAN;92;PENERAPAN;01/10/2021;PERSEN;2023
26;15;JAMBI;PEKAKAS (PELATIHAN KEWIRAUSAHAAN);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);NON DIGITAL;KEPALA DAERAH;PENDIDIKAN;91;PENERAPAN;13/06/2022;PERSEN;2023
27;15;JAMBI;NARSIS (NIB GRATIS);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);DIGITAL;KEPALA DAERAH;"KOPERASI,
USAHA KECIL, DAN MENENGAH";91;PENERAPAN;01/12/2022;PERSEN;2023
28;15;JAMBI;KLIK (KLINIK KUMKM);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);NON DIGITAL;KEPALA DAERAH;KOPERASI, USAHA KECIL, MENENGAH;91;PENERAPAN;02/12/2022;PERSEN;2023
29;15;JAMBI;SIDULEN (SISTEM INFORMASI PENGADUAN ONLINE);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);DIGITAL;OPD;KESEHATAN;91;PENERAPAN;25/01/2021;PERSEN;2023
30;15;JAMBI;SIKAPMU (SISTIM INFORMASI KOORDINASI DAN KOLABORASI PENGELOLAAN PELAPORAN MUTU UNIT);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);DIGITAL;ASN;KESEHATAN,KOMUNIKASI DAN INFORMATIKA;90;PENERAPAN;16/03/2021;PERSEN;2023
31;15;JAMBI;NEW MANEMPEL MELEK (MANAJEMEN PENGELOLAAN LIMBAH MENJADI LIMBAH NILAI EKONOMIS);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);NON DIGITAL;OPD;"KESEHATAN,PEK
ERJAAN UMUM DAN PENATAAN RUANG";90;PENERAPAN;01/07/2022;PERSEN;2023
32;15;JAMBI;RANI KE SUIS (LAPORAN ELEKTRONIK KEGIATAN SUBUH SISWA);"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN,SOSIAL,KEPEMUDAAN DAN OLAHRAGA;86;PENERAPAN;14/09/2022;PERSEN;2023
