NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1504;KELAPA DALAM;1841;KEPALA KELUARGA;2022
2;15;JAMBI;1505;KELAPA DALAM;5829;KEPALA KELUARGA;2022
3;15;JAMBI;1508;KELAPA DALAM;13515;KEPALA KELUARGA;2022
4;15;JAMBI;1509;KELAPA DALAM;1505;KEPALA KELUARGA;2022
5;15;JAMBI;1502;KELAPA DALAM;9201;KEPALA KELUARGA;2022
6;15;JAMBI;1503;KELAPA DALAM;8922;KEPALA KELUARGA;2022
7;15;JAMBI;1506;KELAPA DALAM;19915;KEPALA KELUARGA;2022
8;15;JAMBI;1507;KELAPA DALAM;22862;KEPALA KELUARGA;2022
9;15;JAMBI;1501;KELAPA DALAM;342;KEPALA KELUARGA;2022
10;15;JAMBI;1572;KELAPA DALAM;22;KEPALA KELUARGA;2022
