id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kloter;jumlah;satuan;tahun
1;15;JAMBI;1501;24;273;ORANG;2024
2;15;JAMBI;1502;24;169;ORANG;2024
3;15;JAMBI;1503;22;237;ORANG;2024
4;15;JAMBI;1504;23;175;ORANG;2024
5;15;JAMBI;1505;25;203;ORANG;2024
6;15;JAMBI;1506;25;97;ORANG;2024
7;15;JAMBI;1507;23;142;ORANG;2024
8;15;JAMBI;1508;23;165;ORANG;2024
9;15;JAMBI;1509;28;194;ORANG;2024
10;15;JAMBI;1571;22;205;ORANG;2024
11;15;JAMBI;1572;23;101;ORANG;2024
12;15;JAMBI;1502;28;170;ORANG;2024
13;15;JAMBI;1506;27;300;ORANG;2024
14;15;JAMBI;1571;26;442;ORANG;2024
15;15;JAMBI;1571;27;142;ORANG;2024
16;15;JAMBI;1571;28;2;ORANG;2024
