id;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;KAKAO;199;KEPALA KELUARGA;2022
2;15;JAMBI;1505;MUARO JAMBI;KAKAO;1187;KEPALA KELUARGA;2022
3;15;JAMBI;1508;BUNGO;KAKAO;116;KEPALA KELUARGA;2022
4;15;JAMBI;1509;TEBO;KAKAO;657;KEPALA KELUARGA;2022
5;15;JAMBI;1502;MERANGIN;KAKAO;2094;KEPALA KELUARGA;2022
6;15;JAMBI;1503;SAROLANGUN;KAKAO;55;KEPALA KELUARGA;2022
7;15;JAMBI;1506;TANJAB BARAT;KAKAO;113;KEPALA KELUARGA;2022
8;15;JAMBI;1507;TANJAB TIMUR;KAKAO;752;KEPALA KELUARGA;2022
9;15;JAMBI;1501;KERINCI;KAKAO;424;KEPALA KELUARGA;2022
10;15;JAMBI;1572;KOTA SUNGAI PENUH;KAKAO;264;KEPALA KELUARGA;2022
