id;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;PINANG;364;KEPALA KELUARGA;2022
2;15;JAMBI;1505;MUARO JAMBI;PINANG;1198;KEPALA KELUARGA;2022
3;15;JAMBI;1508;BUNGO;PINANG;2547;KEPALA KELUARGA;2022
4;15;JAMBI;1509;TEBO;PINANG;520;KEPALA KELUARGA;2022
5;15;JAMBI;1502;MERANGIN;PINANG;1503;KEPALA KELUARGA;2022
6;15;JAMBI;1503;SAROLANGUN;PINANG;2852;KEPALA KELUARGA;2022
7;15;JAMBI;1506;TANJAB BARAT;PINANG;9343;KEPALA KELUARGA;2022
8;15;JAMBI;1507;TANJAB TIMUR;PINANG;9463;KEPALA KELUARGA;2022
9;15;JAMBI;1501;KERINCI;PINANG;675;KEPALA KELUARGA;2022
10;15;JAMBI;1572;KOTA SUNGAI PENUH;PINANG;179;KEPALA KELUARGA;2022
